"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"win_spinning_lookforward","Integer","","Recommended","WIN: While the reels were spinning, how much did you LOOK FORWARD to 3 pieces of fruit?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Win condition, participants won money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"win_spinning_anxious","Integer","","Recommended","WIN: While the reels were spinning, how NERVOUS/ANXIOUS were you about the outcome?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Win condition, participants won money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"win_winmoney_happy","Integer","","Recommended","WIN: When the reels landed on 3 pieces of fruit (and you WON MONEY), how (HAPPY) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Win condition, participants won money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"win_winmoney_anxious","Integer","","Recommended","WIN: When the reels landed on 3 pieces of fruit (and you WON MONEY), how (NERVOUS/ANXIOUS) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Win condition, participants won money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"win_winmoney_excited","Integer","","Recommended","WIN: When the reels landed on 3 pieces of fruit (and you WON MONEY), how (EXCITED) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Win condition, participants won money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"win_winmoney_disappointed","Integer","","Recommended","WIN: When the reels landed on 3 pieces of fruit (and you WON MONEY), how (DISAPPOINTED) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Win condition, participants won money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"win_nowin_happy","Integer","","Recommended","WIN: When the reels didn't land on 3 pieces of fruit (and you DIDN'T WIN MONEY), how (HAPPY) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Win condition, participants won money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"win_nowin_anxious","Integer","","Recommended","WIN: When the reels didn't land on 3 pieces of fruit (and you DIDN'T WIN MONEY), how (NERVOUS/ANXIOUS) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Win condition, participants won money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"win_nowin_excited","Integer","","Recommended","WIN: When the reels didn't land on 3 pieces of fruit (and you DIDN'T WIN MONEY), how (EXCITED) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Win condition, participants won money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
"win_nowin_disappointed","Integer","","Recommended","WIN: When the reels didn't land on 3 pieces of fruit (and you DIDN'T WIN MONEY), how (DISAPPOINTED) did you feel?","1::7","1 = not at all; 4 = moderately; 7 = extremely; During the Lose condition, participants lost money if the machine landed on 3 pieces of fruit, and did not win or lose money if it did not",""
