"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"pr_bear","Integer","","Recommended","Practice Required for Bear commands","1::6","Number of tries",""
"pr_dragon","Integer","","Recommended","Practice Required for Dragon commands","1::6","Number of tries",""
"rc_bear_yn","Integer","","Recommended","When the bear tells you to do something, do you do it?","0;1","0 = No; 1 = Yes",""
"rc_bear_tries","Integer","","Recommended","When the bear tells you to do something, do you do it?","1::4","Number of tries for a correct ""yes""",""
"rc_dragon_yn","Integer","","Recommended","When the dragon tells you to do something, do you do it?","0;1","0 = No; 1 = Yes",""
"rc_dragon_tries","Integer","","Recommended","When the dragon tells you to do something, do you do it?","1::4","Number of tries for a correct ""no""",""
"beardragon1","Integer","","Recommended","Bear: Stick out your tongue.","0;1","0 = Child disobeys bear (incorrect); 1 = Child obeys bear (correct)",""
"beardragon2","Integer","","Recommended","Dragon: Touch your ears.","0;1","0 = Child disobeys dragon (correct); 1 = Child obeys dragon (incorrect)",""
"beardragon3","Integer","","Recommended","Bear: Touch your teeth.","0;1","0 = Child disobeys bear (incorrect); 1 = Child obeys bear (correct)",""
"beardragon4","Integer","","Recommended","Dragon: Touch your eyes.","0;1","0 = Child disobeys dragon (correct); 1 = Child obeys dragon (incorrect)",""
"beardragon5","Integer","","Recommended","Bear: Clap your hands.","0;1","0 = Child disobeys bear (incorrect); 1 = Child obeys bear (correct)",""
"beardragon6","Integer","","Recommended","Dragon: Touch your feet.","0;1","0 = Child disobeys dragon (correct); 1 = Child obeys dragon (incorrect)",""
"beardragon7","Integer","","Recommended","Bear: Touch your head.","0;1","0 = Child disobeys bear (incorrect); 1 = Child obeys bear (correct)",""
"beardragon8","Integer","","Recommended","Dragon: Touch your tummy.","0;1","0 = Child disobeys dragon (correct); 1 = Child obeys dragon (incorrect)",""
"beardragon9","Integer","","Recommended","Bear: Touch your nose.","0;1","0 = Child disobeys bear (incorrect); 1 = Child obeys bear (correct)",""
"beardragon10","Integer","","Recommended","Dragon: Wave your hand.","0;1","0 = Child disobeys dragon (correct); 1 = Child obeys dragon (incorrect)",""
"bear_score","Integer","","Recommended","Bear score: total bear commands obeyed","","",""
"dragon_score","Integer","","Recommended","Dragon score: total dragon commands disobeyed","","",""
"beardragon_total","Integer","","Recommended","Bear/Dragon Total Score: sum of correct responses (bear commands obeyed plus dragon commands disobeyed)","","",""
"visit","String","60","Recommended","Visit name","","",""
"perc_tot_correct","Float","","Recommended","Percent of all trials correct","","",""
"perc_obey_correct","Float","","Recommended","Percent of obey trials correct","","",""
"perc_disobey_correct","Float","","Recommended","Percent of disobey trials correct","","",""
"unicorntask_2","Integer","","Recommended","Pass check for understanding?","0;1","0 = No; 1 = Yes",""
"unicorntask","Integer","","Recommended","Was unicorn/dragon task completed?","0;1","0 = No; 1 = Yes",""
"unicorntrials","Integer","","Recommended","Number of trials completed in unicorn/dragon task","","",""
