"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"x74ie_q1fr29","Integer","","Recommended","My friends have settled down.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q2","Integer","","Recommended","My friends enjoy getting drunk.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q3","Integer","","Recommended","My friends get into physical fights.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q4","Integer","","Recommended","My friends work hard.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q5","Integer","","Recommended","My friends smoke cigarettes or chew tobacco.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q6","Integer","","Recommended","My friends are involved in sports.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q7fr29","Integer","","Recommended","My friends prefer being with their families rather than going out with friends.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q8","Integer","","Recommended","My friends use drugs other than alcohol or tobacco.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q9","Integer","","Recommended","My friends can't seem to hold a job.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q10","Integer","","Recommended","My friends do volunteer work in their communities.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q11","Integer","","Recommended","My friends sometimes carry weapons.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q12","Integer","","Recommended","My friends are good citizens.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q13","Integer","","Recommended","My friends know where to buy drugs.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q14","Integer","","Recommended","My friends get into trouble with the police.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q15","Integer","","Recommended","My friends like to party.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q16","Integer","","Recommended","My friends have regular jobs.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q17","Integer","","Recommended","My friends go to church regularly.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q19","Integer","","Recommended","My friends drink alcoholic beverages a lot.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q21","Integer","","Recommended","My friends are involved in music.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q22","Integer","","Recommended","My friends are tough.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ie_q23","Integer","","Recommended","My friends are involved in the arts or other cultural activities.","1::4; 9; -97; -98","1 = All (All or nearly all of my friends are like that); 2 = Most (Most but not all of my friends are like that); 3 = Few (Just a few of my friends are like that); 4 = None (None of my friends are like that); 9 = Missing; -97=Missing Online; -98=Purposely Skipped Online",""
