"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","sgvisit"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"sg1","Integer","","Recommended","I am trying to make sure that nothing bad happens to my close relationships.","1::7","1= Not at all true of me ; 4= Somewhat true of me ; 7= Very true of me",""
"sg2","Integer","","Recommended","I am trying to deepen my relationships with my friends.","1::7","1= Not at all true of me ; 4= Somewhat true of me ; 7= Very true of me",""
"sg3","Integer","","Recommended","I am trying to move toward growth and development in my friendships.","1::7","1= Not at all true of me ; 4= Somewhat true of me ; 7= Very true of me",""
"sg4","Integer","","Recommended","I am trying to stay away from situations that could harm my friendships.","1::7","1= Not at all true of me ; 4= Somewhat true of me ; 7= Very true of me",""
"sg5","Integer","","Recommended","I am trying to enhance the bonding and intimacy in my close relationships.","1::7","1= Not at all true of me ; 4= Somewhat true of me ; 7= Very true of me",""
"sg6","Integer","","Recommended","I am trying to avoid getting embarrassed, betrayed, or hurt by any of my friends.","1::7","1= Not at all true of me ; 4= Somewhat true of me ; 7= Very true of me",""
"sg7","Integer","","Recommended","I am trying to avoid disagreements and conflicts with my friends.","1::7","1= Not at all true of me ; 4= Somewhat true of me ; 7= Very true of me",""
"sg8","Integer","","Recommended","I am trying to share many fun and meaningful experiences with my friends.","1::7","1= Not at all true of me ; 4= Somewhat true of me ; 7= Very true of me",""
"sgapp","Float","","Recommended","Relationship Goals Approach Total","","",""
"sgavoid","Float","","Recommended","Relationship Goals Avoidance Total","","",""
