"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"cei1","Integer","","Recommended","I would describe myself as someone who actively seeks as much information as I can in a new situation.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree Somewhat; 4= Neither Agree nor Disagree; 5= Agree Somewhat; 6= Agree; 7= Strongly Agree",""
"cei2","Integer","","Recommended","When I am participating in an activity, I tend to get so involved that I lose track of time.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree Somewhat; 4= Neither Agree nor Disagree; 5= Agree Somewhat; 6= Agree; 7= Strongly Agree",""
"cei3","Integer","","Recommended","I frequently find myself looking for new opportunities to grow as a person (e.g., information, people, resources).","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree Somewhat; 4= Neither Agree nor Disagree; 5= Agree Somewhat; 6= Agree; 7= Strongly Agree",""
"cei4","Integer","","Recommended","I am not the type of person who probes deeply into new situations or things. (reverse)","1::7","7= Strongly Disagree; 6= Disagree; 5= Disagree Somewhat; 4= Neither Agree nor Disagree; 3= Agree Somewhat; 2= Agree; 1= Strongly Agree",""
"cei5","Integer","","Recommended","When I am actively interested in something, it takes a great deal to interrupt me.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree Somewhat; 4= Neither Agree nor Disagree; 5= Agree Somewhat; 6= Agree; 7= Strongly Agree",""
"cei6","Integer","","Recommended","My friends would describe me as someone who is ""extremely intense"" when in the middle of doing something.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree Somewhat; 4= Neither Agree nor Disagree; 5= Agree Somewhat; 6= Agree; 7= Strongly Agree",""
"cei7","Integer","","Recommended","Everywhere I go, I am out looking for new things or experiences.","1::7","1= Strongly Disagree; 2= Disagree; 3= Disagree Somewhat; 4= Neither Agree nor Disagree; 5= Agree Somewhat; 6= Agree; 7= Strongly Agree",""
"cei_exploration","Integer","","Recommended","CEI Exploration subscale","4::28","",""
"cei_absorption","Integer","","Recommended","CEI Absorption subscale","3::21","",""
"cei_total","Integer","","Recommended","CEI Total","7::49","",""
"cei_mean","Float","","Recommended","CEI Mean","1::7","",""
