"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"mach01","Integer","","Recommended","1. Never tell anyone the real reason you did something unless it is useful to do so.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach02","Integer","","Recommended","2. The best way to handle people is to tell them what they want to hear.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach03","Integer","","Recommended","3. One should take action only when sure it is morally right.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach04","Integer","","Recommended","4. Most people are basically good and kind.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach05","Integer","","Recommended","5. It is safest to assume that all people have a vicious streak and it will come out when they are given a chance.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach06","Integer","","Recommended","6. Honesty is the best policy in all cases.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach07","Integer","","Recommended","7. There is no excuse for lying to someone else.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach08","Integer","","Recommended","""8. Generally speaking, people won't work hard unless they're forced to do so.""","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach09","Integer","","Recommended","""9. All in all, it is better to be humble and honest than to be important and dishonest.""","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach10","Integer","","Recommended","""10. When you ask someone to do something for you, it is best to give the real reasons for wanting it rather than giving reasons which carry more weight.""","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach11","Integer","","Recommended","""11. Most people who get ahead in the world lead clean, moral lives.""","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach12","Integer","","Recommended","12. Anyone who completely trusts anyone else is asking for trouble.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach13","Integer","","Recommended","13. The biggest difference between most criminals and other people is that the criminals are stupid enough to get caught.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach14","Integer","","Recommended","14. Most people are brave.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach15","Integer","","Recommended","15. It is wise to flatter important people.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach16","Integer","","Recommended","16. It is possible to be good in all respects.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach17","Integer","","Recommended","17. P.T. Barnum was wrong when he said that there's a sucker born every minute.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach18","Integer","","Recommended","18. It is hard to get ahead without cutting corners here and there.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach19","Integer","","Recommended","19. People suffering from incurable diseases should have the choice of being put painlessly to death.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach20","Integer","","Recommended","20. Most people forget more easily the death of their parents than the loss of their property.","0; 1; 2; 3; 4","0 = Strongly disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly agree",""
"mach_score","Integer","","Required","Total Score","0 :: 100","",""
