"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cpi1","Integer","","Recommended","I often feel that I made a wrong choice in my occupation.","0;1","1=False; 0=True",""
"cpi2","Integer","","Recommended","When I was going to school, I played hooky quite often.","0;1","1=False; 0=True",""
"cpi3","Integer","","Recommended","I think Lincoln was greater than Washington.","0;1","0=False; 1=True",""
"cpi4","Integer","","Recommended","I would do almost anything on a dare.","0;1","1=False; 0=True",""
"cpi5","Integer","","Recommended","With things going as they are, its hard to keep up hope of amounting to something.","0;1","1=False; 0=True",""
"cpi6","Integer","","Recommended","I think I am more strict about right and wrong than most people.","0;1","0=False; 1=True",""
"cpi7","Integer","","Recommended","I am somewhat afraid of the dark.","0;1","0=False; 1=True",""
"cpi8","Integer","","Recommended","My parents have often disapproved of my friends.","0;1","1=False; 0=True",""
"cpi9","Integer","","Recommended","My home life was always happy.","0;1","0=False; 1=True",""
"cpi10","Integer","","Recommended","I often act on the spur of the moment without stopping to think.","0;1","1=False; 0=True",""
"cpi11","Integer","","Recommended","My parents have generally let me make my own decisions.","0;1","0=False; 1=True",""
"cpi12","Integer","","Recommended","I would rather go without something than ask for a favor.","0;1","1=False; 0=True",""
"cpi13","Integer","","Recommended","I have had more than my share of things to worry about.","0;1","1=False; 0=True",""
"cpi14","Integer","","Recommended","When I meet a stranger, I often think that he/she is better than I am.","0;1","0=False; 1=True",""
"cpi15","Integer","","Recommended","Before I do something, I try to consider how my friends will react to it.","0;1","0=False; 1=True",""
"cpi16","Integer","","Recommended","I have never been in trouble with the law.","0;1","0=False; 1=True",""
"cpi17","Integer","","Recommended","In school I was sometimes sent to the principal for cutting up.","0;1","1=False; 0=True",""
"cpi18","Integer","","Recommended","Most of the time I feel happy.","0;1","0=False; 1=True",""
"cpi19","Integer","","Recommended","I often feel as though I have done something wrong or wicked.","0;1","1=False; 0=True",""
"cpi20","Integer","","Recommended","I have often gone against my parents' wishes.","0;1","1=False; 0=True",""
"cpi21","Integer","","Recommended","I often think about how I look and what impression I am making on others.","0;1","0=False; 1=True",""
"cpi22","Integer","","Recommended","I have never done any heavy drinking.","0;1","0=False; 1=True",""
"cpi23","Integer","","Recommended","I find it easy to ''drop'' or ''break'' with a friend.","0;1","1=False; 0=True",""
"cpi24","Integer","","Recommended","I get nervous when I have to ask someone for a job.","0;1","0=False; 1=True",""
"cpi25","Integer","","Recommended","Sometimes I used to feel that I would like to leave home.","0;1","1=False; 0=True",""
"cpi26","Integer","","Recommended","I never worry about my looks.","0;1","1=False; 0=True",""
"cpi27","Integer","","Recommended","My home life was always very pleasant.","0;1","0=False; 1=True",""
"cpi28","Integer","","Recommended","I seem to do things that I regret more often than other people do.","0;1","1=False; 0=True",""
"cpi29","Integer","","Recommended","My table manners are not quite as good at home as when I am out in company.","0;1","0=False; 1=True",""
"cpi30","Integer","","Recommended","It is pretty easy for people to win arguments with me.","0;1","1=False; 0=True",""
"cpi31","Integer","","Recommended","I know who is responsible for most of my troubles.","0;1","1=False; 0=True",""
"cpi32","Integer","","Recommended","I get pretty discouraged with the law when a smart lawyer gets a criminal free","0;1","0=False; 1=True",""
"cpi33","Integer","","Recommended","I have used alcohol excessively.","0;1","1=False; 0=True",""
"cpi34","Integer","","Recommended","I sometimes wanted to run away from home.","0;1","1=False; 0=True",""
"cpi35","Integer","","Recommended","Life usually hands me a pretty raw deal.","0;1","1=False; 0=True",""
"cpi36","Integer","","Recommended","People often talk about me behind my back.","0;1","1=False; 0=True",""
"cpi37","Integer","","Recommended","I would never play cards (poker) with a stranger.","0;1","0=False; 1=True",""
"cpi38","Integer","","Recommended","I don't think I'm quite as happy as others seem to be.","0;1","1=False; 0=True",""
"cpi39","Integer","","Recommended","I used to steal sometimes when I was a youngster.","0;1","1=False; 0=True",""
"cpi40","Integer","","Recommended","My home as a child was less peaceful and quiet than those of most other people.","0;1","1=False; 0=True",""
"cpi41","Integer","","Recommended","As a youngster in school, I used to give the teachers lots of trouble.","0;1","1=False; 0=True",""
"cpi42","Integer","","Recommended","If the pay was right, I would like to travel with a circus or carnival.","0;1","1=False; 0=True",""
"cpi43","Integer","","Recommended","I never cared much for school.","0;1","1=False; 0=True",""
"cpi44","Integer","","Recommended","The members of my family were always very close to each other.","0;1","0=False; 1=True",""
"cpi45","Integer","","Recommended","My parents never really understood me.","0;1","1=False; 0=True",""
"cpi46","Integer","","Recommended","A person is better off if he doesn't trust anyone.","0;1","1=False; 0=True",""
