"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bavq_1","Integer","","Recommended","My voice is punishing me for something I have done","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_2","Integer","","Recommended","My voice wants to help me","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_3","Integer","","Recommended","My voice is very powerful","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_4","Integer","","Recommended","My voice is persecuting me for no good reason","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_5","Integer","","Recommended","My voice wants to protect me","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_6","Integer","","Recommended","My voice seems to know everything about me","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_7","Integer","","Recommended","My voice is evil","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_8","Integer","","Recommended","My voice is helping to keep me sane","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_9","Integer","","Recommended","My voice makes me do things I really don't want to do","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_10","Integer","","Recommended","My voice wants to harm me","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_11","Integer","","Recommended","My voice is helping me to develop my special powers or abilities","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_12","Integer","","Recommended","I cannot control my voices","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_13","Integer","","Recommended","My voice wants me to do bad things","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_14","Integer","","Recommended","My voice is helping me to achieve my goal in life","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_15","Integer","","Recommended","My voice will harm or kill me if I disobey or resist it","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_16","Integer","","Recommended","My voice is trying to corrupt or destroy me","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_17","Integer","","Recommended","I am grateful for my voice","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_18","Integer","","Recommended","My voice rules my life","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_19","Integer","","Recommended","My voice reassures me","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_20","Integer","","Recommended","My voice frightens me","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_21","Integer","","Recommended","My voice makes me happy","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_22","Integer","","Recommended","My voice makes me feel down","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_23","Integer","","Recommended","My voice makes me feel angry","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_24","Integer","","Recommended","My voice makes me feel calm","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_25","Integer","","Recommended","My voice makes me feel anxious","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_26","Integer","","Recommended","My voice makes me feel confident","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_27","Integer","","Recommended","When I hear my voice, usually I tell it to leave me alone","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_28","Integer","","Recommended","When I hear my voice, usually I try to take my mind off it","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_29","Integer","","Recommended","When I hear my voice, usually I try to stop it","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_30","Integer","","Recommended","When I hear my voice, usually I do things to prevent it talking","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_31","Integer","","Recommended","When I hear my voice, usually I am reluctant to obey it","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_32","Integer","","Recommended","When I hear my voice, usually I listen to it because I want","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_33","Integer","","Recommended","When I hear my voice, usually I willingly follow what my voice tells me to do","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_34","Integer","","Recommended","When I hear my voice, usually I have done things to start to get in contact with my voice","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
"bavq_35","Integer","","Recommended","When I hear my voice, usually I seek the advice of my voice","0::3","0 = Disagree; 1 = Unsure; 2 = Agree Slightly; 3 = Agree Strongly",""
