"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"srpp1_1","Integer","","Recommended","I'm a rebellious person","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp1_1,srpiii_1"
"srpp1_2","Integer","","Recommended","I've never been involved in delinquent gang activity.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp1_2,srpiii_5"
"srpp1_3","Integer","","Recommended","Most people are wimps","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp1_3,srpiii_7"
"srpp1_4","Integer","","Recommended","I've often done something dangerous just for the thrill of it.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp1_4,srpiii_9"
"srpp1_5","Integer","","Recommended","I have tricked someone into giving me money.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp1_5,srpiii_10"
"srpp1_6","Integer","","Recommended","I have assaulted a law enforcement official or social worker.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp1_6,srpiii_12"
"srpp2_1","Integer","","Recommended","I have pretended to be someone else in order to get something.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp2_7,srpiii_13"
"srpp2_2","Integer","","Recommended","I like to see fist-fights.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp2_8,srpiii_15"
"srpp2_3","Integer","","Recommended","I would get a kick out of 'scamming' someone.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp2_9,srpiii_20"
"srpp2_4","Integer","","Recommended","It's fun to see how far you can push people before they get upset.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp2_10,srpiii_27"
"srpp2_5","Integer","","Recommended","I enjoy doing wild things.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp2_11,srpiii_28"
"srpp2_6","Integer","","Recommended","I have broken into a building or vehicle in order to steal something or vandalize.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp2_12,srpiii_29"
"srpp3_1","Integer","","Recommended","I don't bother to keep in touch with my family anymore.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp3_13,srpiii_30"
"srpp3_2","Integer","","Recommended","I rarely follow the rules.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp3_14,srpiii_32"
"srpp3_3","Integer","","Recommended","You should take advantage of other people before they do it to you.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp3_15,srpiii_35"
"srpp3_4","Integer","","Recommended","People sometimes say that I'm cold-hearted.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp3_16,srpiii_37"
"srpp3_5","Integer","","Recommended","I like to have sex with people I barely know.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp3_17,srpiii_39"
"srpp3_6","Integer","","Recommended","I love violent sports and movies.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp3_18,srpiii_40"
"srpp4_1","Integer","","Recommended","Sometimes you have to pretend you like people to get something out of them.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp4_19,srpiii_41"
"srpp4_2","Integer","","Recommended","I was convicted of a serious crime.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp4_20,srpiii_49"
"srpp4_3","Integer","","Recommended","I keep getting in trouble for the same things over and over.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp4_21,srpiii_51"
"srpp4_4","Integer","","Recommended","Every now and then I carry a weapon (knife or gun) for protection.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp4_22,srpiii_52"
"srpp4_5","Integer","","Recommended","You can get what you want by telling people what they want to hear.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp4_23,srpiii_54"
"srpp4_6","Integer","","Recommended","I never feel guilty over hurting others.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp4_24,srpiii_56"
"srpp5_1","Integer","","Recommended","I have threatened people into giving me money, clothes, or makeup.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp5_25,srpiii_57"
"srpp5_2","Integer","","Recommended","A lot of people are ""suckers"" and can easily be fooled.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp5_26,srpiii_58"
"srpp5_3","Integer","","Recommended","I admit that I often ""mouth off"" without thinking.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp5_27,srpiii_59"
"srpp5_4","Integer","","Recommended","I sometimes dump friends that I don't need anymore.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp5_28,srpiii_60"
"srpp5_5","Integer","","Recommended","I purposely tried to hit someone with the vehicle I was driving.","1::5;-99;77;88","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree ; -99= N/A ; 77= Refused ; 88= Missing","srp5_29,srpiii_63"
"srpiii_tough","Integer","","Recommended","I'm more tough-minded than other people","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_2"
"srpiii_lie","Integer","","Recommended","I think I could beat a lie detector","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_3"
"srpiii_drugs","Integer","","Recommended","I have taken illegal drugs","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_4"
"srpiii_veh","Integer","","Recommended","I have never stolen a truck, car, or motorcycle","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_6"
"srpiii_flatter","Integer","","Recommended","I purposely flatter people to get them on my side","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_8"
"srpiii_animal","Integer","","Recommended","It tortures me to see an injured animal","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_11"
"srpiii_plan","Integer","","Recommended","I always plan out my weekly activities","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_14"
"srpiii_tricky","Integer","","Recommended","I'm not tricky or sly","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_16"
"srpiii_fast","Integer","","Recommended","I'd be good at a dangerous job because I make fast decisions","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_17"
"srpiii_force","Integer","","Recommended","I have never tried to force someone to have sex","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_18"
"srpiii_warm","Integer","","Recommended","My friends would say that I am a warm person","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_19"
"srpiii_attack","Integer","","Recommended","I have never attacked someone with the idea of injuring them","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_21"
"srpiii_miss","Integer","","Recommended","I never miss appointments","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_22"
"srpiii_horror","Integer","","Recommended","I avoid horror movies.","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_23"
"srpiii_trust","Integer","","Recommended","I trust other people to be honest.","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_24"
"srpiii_speed","Integer","","Recommended","I hate high speed driving","1::5","1= Disagree strongly ; 2= Disagree ; 3= Neutral ; 4= Agree ; 5= Strongly agree","srpiii_25"
