"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"version_form","String","121","Recommended","Form used/assessment name","","",""
"hgis1","Integer","","Recommended","Please rate your agreement with the following statement: I think it is gross and unfair for a man to use alcohol and drugs to convince a woman to have sex with him","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis2","Integer","","Recommended","Please rate your agreement with the following statement: Physical violence never solves an issue","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis3","Integer","","Recommended","Please rate your agreement with the following statement: Most women need a man in their lives","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis4","Integer","","Recommended","Please rate your agreement with the following statement: I like to see a relationship in which the man and woman have equal power","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis5","Integer","","Recommended","Please rate your agreement with the following statement: Using alcohol or drugs to convince someone to have sex is wrong","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis6","Integer","","Recommended","Please rate your agreement with the following statement: Gays sicken me because they are not real men","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis7","Integer","","Recommended","Please rate your agreement with the following statement: Sex should never be used as a bargaining tool","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis8","Integer","","Recommended","Please rate your agreement with the following statement: A real man fights to win","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis9","Integer","","Recommended","Please rate your agreement with the following statement: Real men look for fast cars and fast women","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis10","Integer","","Recommended","Please rate your agreement with the following statement: A true man knows how to command others","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis11","Integer","","Recommended","Please rate your agreement with the following statement: When a man spends a lot of money on a date, he should expect to get sex for it","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis12","Integer","","Recommended","Please rate your agreement with the following statement: The only thing a lesbian needs is a good, stiff, cock","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis13","Integer","","Recommended","Please rate your agreement with the following statement: I like relationships in which both partners are equals","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis14","Integer","","Recommended","Please rate your agreement with the following statement: Sometimes it does not matter what you do to get sex","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis15","Integer","","Recommended","Please rate your agreement with the following statement: Women should show off their bodies","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis16","Integer","","Recommended","Please rate your agreement with the following statement: Men should be ready to take any risk, if the payoff is large enough","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis17","Integer","","Recommended","Please rate your agreement with the following statement: A woman can be complete with or without a partner","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis18","Integer","","Recommended","Please rate your agreement with the following statement: No wife is obliged to provide sex for anybody, even her husband","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis19","Integer","","Recommended","Please rate your agreement with the following statement: Most women use their sexuality to get men to do what they want","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis20","Integer","","Recommended","Please rate your agreement with the following statement: Most women play hard-to-get","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis21","Integer","","Recommended","Please rate your agreement with the following statement: Women should break dates with female friends when guys ask them out","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis22","Integer","","Recommended","Please rate your agreement with the following statement: Lesbians have chosen a particular life style and should be respected for it","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis23","Integer","","Recommended","Please rate your agreement with the following statement: Men have to expect that most women will be something of a prick-tease","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis24","Integer","","Recommended","Please rate your agreement with the following statement: A real man can get any woman to have sex with him","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis25","Integer","","Recommended","Please rate your agreement with the following statement: Women should be flattered when men whistle at them","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis26","Integer","","Recommended","Please rate your agreement with the following statement: It is important that my partner and I are equally satisfied with our relationship","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis27","Integer","","Recommended","Please rate your agreement with the following statement: Some gay men are good people, and some are not, but it has nothing to do with their sexual orientation","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis28","Integer","","Recommended","Please rate your agreement with the following statement: Women instinctively try to manipulate men","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis29","Integer","","Recommended","Please rate your agreement with the following statement: Most women will lie to get something they want","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis30","Integer","","Recommended","Please rate your agreement with the following statement: Men should not measure their self-worth by their sexual conquests","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis31","Integer","","Recommended","Please rate your agreement with the following statement: Get a woman drunk, high, or hot and she will let you do whatever you want","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis32","Integer","","Recommended","Please rate your agreement with the following statement: Men should be in charge during sex","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis33","Integer","","Recommended","Please rate your agreement with the following statement: If you are not prepared to fight for what is yours, then be prepared to lose it","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis34","Integer","","Recommended","Please rate your agreement with the following statement: It is okay for a man to be a little forceful to get sex","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis35","Integer","","Recommended","Please rate your agreement with the following statement: Women do not mind a little force in sex sometimes because they know it means they must be attractive","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis36","Integer","","Recommended","Please rate your agreement with the following statement: Homosexuals can be just as good at parenting as heterosexuals","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis37","Integer","","Recommended","Please rate your agreement with the following statement: Any man who is a man can do without sex","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis38","Integer","","Recommended","Please rate your agreement with the following statement: Gays and lesbians are generally just like everybody else","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis39","Integer","","Recommended","Please rate your agreement with the following statement: Pick-ups should expect to put out","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis40","Integer","","Recommended","Please rate your agreement with the following statement: Some women are good for only one thing","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis41","Integer","","Recommended","Please rate your agreement with the following statement: Women often dress provocatively to get men to do them favors","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis42","Integer","","Recommended","Please rate your agreement with the following statement: If men pay for a date, they deserve something in return","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis43","Integer","","Recommended","Please rate your agreement with the following statement: It is natural for men to get into fights","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis44","Integer","","Recommended","Please rate your agreement with the following statement: Effeminate men deserve to be ridiculed","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis45","Integer","","Recommended","Please rate your agreement with the following statement: All women, even feminists, are worthy of respect","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis46","Integer","","Recommended","Please rate your agreement with the following statement: If a woman goes out to a bar for some drinks, she is looking for a real good time","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis47","Integer","","Recommended","Please rate your agreement with the following statement: I do what I have to do to get sex","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
"hgis48","Integer","","Recommended","Please rate your agreement with the following statement: Any man who is a man needs to have sex regularly","1::6","1=Strongly disagree; 2=Disagree; 3=Slightly disagree; 4=Slightly agree; 5=Agree; 6=Strongly agree",""
