"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"has_chi","Integer","","Recommended","How much of a hassle was this item for you today? - Your child(ren)","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_par","Integer","","Recommended","How much of a hassle was this item for you today? - Your parents or parents-in-law","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_other_rel","Integer","","Recommended","How much of a hassle was this item for you today? - Other relative(s)","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_spouse","Integer","","Recommended","How much of a hassle was this item for you today? - Your spouse","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_family","Integer","","Recommended","How much of a hassle was this item for you today? - Time spent with family","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_health_fam","Integer","","Recommended","How much of a hassle was this item for you today? - Health or well-being of a family member","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_sex","Integer","","Recommended","How much of a hassle was this item for you today? - Sex","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_intimacy","Integer","","Recommended","How much of a hassle was this item for you today? - Intimacy","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_fam_oblig","Integer","","Recommended","How much of a hassle was this item for you today? - Family-related obligations","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_friends","Integer","","Recommended","How much of a hassle was this item for you today? - Your friend(s)","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_coworkers","Integer","","Recommended","How much of a hassle was this item for you today? - Fellow workers","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_client_relations","Integer","","Recommended","How much of a hassle was this item for you today? - Clients, customers, patients, etc.","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_supervisor","Integer","","Recommended","How much of a hassle was this item for you today? - Your supervisor or employer","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_work","Integer","","Recommended","How much of a hassle was this item for you today? - The nature of your work","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_workload","Integer","","Recommended","How much of a hassle was this item for you today? - Your work load","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_jobsecurity","Integer","","Recommended","How much of a hassle was this item for you today? - Your job security","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_jobdeadline","Integer","","Recommended","How much of a hassle was this item for you today? - Meeting deadlines or goals on the job","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_money_necess","Integer","","Recommended","How much of a hassle was this item for you today? - Enough money for necessities (e.g., food, clothing, housing, health care, taxes, insurance)","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_money_edu","Integer","","Recommended","How much of a hassle was this item for you today? - Enough money for education","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_money_emrg","Integer","","Recommended","How much of a hassle was this item for you today? - Enough money for emergencies","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_money_extra","Integer","","Recommended","How much of a hassle was this item for you today? - Enough money for extras (e.g., entertainment, recreation, vacations)","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_fin_care","Integer","","Recommended","How much of a hassle was this item for you today? - Financial care for someone who doesn't live with you","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_money_invest","Integer","","Recommended","How much of a hassle was this item for you today? - Investments","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_smoking","Integer","","Recommended","How much of a hassle was this item for you today? - Your smoking","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_drinking","Integer","","Recommended","How much of a hassle was this item for you today? - Your drinking","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_otherdrugs","Integer","","Recommended","How much of a hassle was this item for you today? - Mood-altering drugs","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_looks","Integer","","Recommended","How much of a hassle was this item for you today? - Your physical appearance","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_contraception","Integer","","Recommended","How much of a hassle was this item for you today? - Contraception","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_exercise","Integer","","Recommended","How much of a hassle was this item for you today? - Exercise(s)","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_medical_care","Integer","","Recommended","How much of a hassle was this item for you today? - Your medical care","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_health","Integer","","Recommended","How much of a hassle was this item for you today? - Your health","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_phys_ability","Integer","","Recommended","How much of a hassle was this item for you today? - Your physical abilities","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_weather","Integer","","Recommended","How much of a hassle was this item for you today? - The weather","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_news","Integer","","Recommended","How much of a hassle was this item for you today? - News events","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_environment","Integer","","Recommended","How much of a hassle was this item for you today? - Your environment (e.g., quality of air, noise level, greenery)","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_pol_social_issues","Integer","","Recommended","How much of a hassle was this item for you today? - Political or social issues","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
"has_neighborhood","Integer","","Recommended","How much of a hassle was this item for you today? - Your neighborhood (e.g., neighbors, setting)","0::3","0 = None or not applicable; 1 = Somewhat; 2 = Quite a bit; 3 = A great deal",""
