"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"employed","Integer","","Recommended","Have you had either a full-time or part-time job, or were you self-employed, at any time in the past three years?","1;2; 9; -97; -98","1=Yes; 2=No in past 3 years; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qa1","Integer","","Recommended","Please rate the extent to which you engaged in each of these behaviors in the past three years: Found additional productive work to do when your normally scheduled duties were completed.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qa2","Integer","","Recommended","Please rate the extent to which you... Looked for opportunities to learn new knowledge and skills from others at work and from new and challenging job assignments.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qa3","Integer","","Recommended","Please rate the extent to which you... Persisted with unusually high levels of effort, determination and stamina to complete work tasks successfully despite very difficult conditions or obstacles.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qa4","Integer","","Recommended","Please rate the extent to which you... Asked for additional or more challenging work assignments.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qa5","Integer","","Recommended","Please rate the extent to which you... Consistently completed work on or ahead of time, even when deadlines seemed impossibly short.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qa6","Integer","","Recommended","Please rate the extent to which you... Stayed with the organization despite hardship.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qa7","Integer","","Recommended","Please rate the extent to which you... Showed sincere pride and enthusiasm for the organization.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qa8","Integer","","Recommended","Please rate the extent to which you... Actively embraced the organization's missions and objectives.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qa9","Integer","","Recommended","Please rate the extent to which you... Talked with others outside of work about the organization's positive features.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qa10","Integer","","Recommended","Please rate the extent to which you... Offered constructive suggestions for work-place improvement.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qa11","Integer","","Recommended","Please rate the extent to which you... Refused to take on a job assignment because it was the responsibility of another co-worker.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qa12","Integer","","Recommended","Please rate the extent to which you... Was courteous and tactful with co-workers, even when busy or stressed.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qa13","Integer","","Recommended","Please rate the extent to which you... Volunteered to help a co-worker meet a difficult deadline.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qa14","Integer","","Recommended","Please rate the extent to which you... Purposely held back information that would have helped a coworker.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qa15","Integer","","Recommended","Please rate the extent to which you... Went out of my way to congratulate others at work for their achievements.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qb1","Integer","","Recommended","Please rate the extent to which you... Made fun of someone at work.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qb2","Integer","","Recommended","Please rate the extent to which you... Said something hurtful to someone at work.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qb3","Integer","","Recommended","Please rate the extent to which you... Made an ethnic, religious or racial remark at work.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qb4","Integer","","Recommended","Please rate the extent to which you... Cursed at someone at work.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qb5","Integer","","Recommended","Please rate the extent to which you... Played a mean prank on someone at work.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qb6","Integer","","Recommended","Please rate the extent to which you... Acted rudely toward someone at work.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qb7","Integer","","Recommended","Please rate the extent to which you... Publicly embarrassed someone at work.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
"x74ni_qb8","Integer","","Recommended","Please rate the extent to which you... Took property from work without permission.","1::5; 9; -97; -98","1=Never; 2=Rarely; 3=Occasionally; 4=Frequently; 5=Always; 9=Missing; -97=Missing Online; -98=Purposely Skipped Online",""
