"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"ossmb_01","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: View others' personal information (e.g., profiles, photo albums)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_02","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Read friends' news posts (e.g., Facebook feed stories, WeChat moments)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_03","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Read comments on friends' or one's own posts","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_04","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Listen to music or watch soap operas or movies","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_05","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Initiate online entertainment events (e.g., team video game, online singing contest)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_06","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Initiate online interest-based events (e.g., sports, music, politics)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_07","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Send invitations of online entertainment events (e.g., team video game, online singing contest)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_08","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Send invitations of online interest-based events (e.g., sports, music, politics)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_09","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Write comments under topics of your interest (e.g., sports, music, politics)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_10","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Interact with members in internet-based discussion groups (e.g., sports, music, politics)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_11","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Remix, mash-up, or add to one another's works in ongoing media-enabled conversations","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_12","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Modify others' works (e.g., video spoofs from imitating)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_13","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Create audio/video/photographs (e.g., on YouTube)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_14","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Create or modify computer or video games","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_15","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Create digital art content (e.g., designing virtual clothing or furniture items) in virtual social worlds (e.g., on Second Life)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_16","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Write on topics of personal interest or experience (e.g., game-playing, traveling, arts, photography)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_17","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Repost friends' posts on social networking sites","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_18","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Forward entertainment information (e.g., entertainment news, video spoofs)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_19","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Forward public promotion information (e.g., events information, activity publicity, product advertisement)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_20","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Share content of topics in my interest areas (e.g., sports, music, politics)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
"ossmb_21","Integer","","Recommended","During the past week, how often have you engaged in the following social media activities outside of school?: Share links or video from knowledge collaborative communities or interest-based groups (e.g., on Quora)","1::5","1= Never; 2= Seldom; 3= Sometimes; 4= Often; 5= Always",""
