"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bpfsc11_parent_1","Integer","","Recommended","He or she seems to feel very lonely","1::5","1= Not at all true; 2= Hardley ever true; 3= Sometimes true; 4= Often true; 5= Always true",""
"bpfsc11_parent_2","Integer","","Recommended","He or she seems to want to let some people know how much they've hurt him or her","1::5","1= Not at all true; 2= Hardley ever true; 3= Sometimes true; 4= Often true; 5= Always true",""
"bpfsc11_parent_3","Integer","","Recommended","His or her feelings are very strong. For instance, when he or she gets mad, he or she gets really mad. When he or she gets happy, he or she gets really happy","1::5","1= Not at all true; 2= Hardley ever true; 3= Sometimes true; 4= Often true; 5= Always true",""
"bpfsc11_parent_4","Integer","","Recommended","He or she seems to feel that there is something important missing about him or her, he or she doesn't know what it is","1::5","1= Not at all true; 2= Hardley ever true; 3= Sometimes true; 4= Often true; 5= Always true",""
"bpfsc11_parent_5","Integer","","Recommended","He or she is careless with things that are important to him or her","1::5","1= Not at all true; 2= Hardley ever true; 3= Sometimes true; 4= Often true; 5= Always true",""
"bpfsc11_parent_6","Integer","","Recommended","He or she feels that people who were close to him or her have let him or her down","1::5","1= Not at all true; 2= Hardley ever true; 3= Sometimes true; 4= Often true; 5= Always true",""
"bpfsc11_parent_7","Integer","","Recommended","He or she seems to go back and forth between different feelings, like being mad or sad or happy","1::5","1= Not at all true; 2= Hardley ever true; 3= Sometimes true; 4= Often true; 5= Always true",""
"bpfsc11_parent_8","Integer","","Recommended","He or she gets in trouble because he or she does things without thinking","1::5","1= Not at all true; 2= Hardley ever true; 3= Sometimes true; 4= Often true; 5= Always true",""
"bpfsc11_parent_9","Integer","","Recommended","He or she worries that people he or she cares about will leave and not come back","1::5","1= Not at all true; 2= Hardley ever true; 3= Sometimes true; 4= Often true; 5= Always true",""
"bpfsc11_parent_10","Integer","","Recommended","How he or she feels about himself or herself changes a lot","1::5","1= Not at all true; 2= Hardley ever true; 3= Sometimes true; 4= Often true; 5= Always true",""
"bpfsc11_parent_11","Integer","","Recommended","Lots of times, he or she and his or her friends are really mean to each other","1::5","1= Not at all true; 2= Hardley ever true; 3= Sometimes true; 4= Often true; 5= Always true",""
