"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"mars_ib_1","Integer","","Recommended","Matrix Reasoning Item Bank - Item 1","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_2","Integer","","Recommended","Matrix Reasoning Item Bank - Item 2","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_3","Integer","","Recommended","Matrix Reasoning Item Bank - Item 3","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_4","Integer","","Recommended","Matrix Reasoning Item Bank - Item 4","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_5","Integer","","Recommended","Matrix Reasoning Item Bank - Item 5","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_6","Integer","","Recommended","Matrix Reasoning Item Bank - Item 6","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_7","Integer","","Recommended","Matrix Reasoning Item Bank - Item 7","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_8","Integer","","Recommended","Matrix Reasoning Item Bank - Item 8","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_9","Integer","","Recommended","Matrix Reasoning Item Bank - Item 9","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_10","Integer","","Recommended","Matrix Reasoning Item Bank - Item 10","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_11","Integer","","Recommended","Matrix Reasoning Item Bank - Item 11","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_12","Integer","","Recommended","Matrix Reasoning Item Bank - Item 12","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_13","Integer","","Recommended","Matrix Reasoning Item Bank - Item 13","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_14","Integer","","Recommended","Matrix Reasoning Item Bank - Item 14","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_15","Integer","","Recommended","Matrix Reasoning Item Bank - Item 15","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_16","Integer","","Recommended","Matrix Reasoning Item Bank - Item 16","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_17","Integer","","Recommended","Matrix Reasoning Item Bank - Item 17","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_18","Integer","","Recommended","Matrix Reasoning Item Bank - Item 18","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_19","Integer","","Recommended","Matrix Reasoning Item Bank - Item 19","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_20","Integer","","Recommended","Matrix Reasoning Item Bank - Item 20","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_21","Integer","","Recommended","Matrix Reasoning Item Bank - Item 21","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_22","Integer","","Recommended","Matrix Reasoning Item Bank - Item 22","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_23","Integer","","Recommended","Matrix Reasoning Item Bank - Item 23","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_24","Integer","","Recommended","Matrix Reasoning Item Bank - Item 24","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_25","Integer","","Recommended","Matrix Reasoning Item Bank - Item 25","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_26","Integer","","Recommended","Matrix Reasoning Item Bank - Item 26","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_27","Integer","","Recommended","Matrix Reasoning Item Bank - Item 27","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_28","Integer","","Recommended","Matrix Reasoning Item Bank - Item 28","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_29","Integer","","Recommended","Matrix Reasoning Item Bank - Item 29","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_30","Integer","","Recommended","Matrix Reasoning Item Bank - Item 30","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_31","Integer","","Recommended","Matrix Reasoning Item Bank - Item 31","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_32","Integer","","Recommended","Matrix Reasoning Item Bank - Item 32","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_33","Integer","","Recommended","Matrix Reasoning Item Bank - Item 33","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_34","Integer","","Recommended","Matrix Reasoning Item Bank - Item 34","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_35","Integer","","Recommended","Matrix Reasoning Item Bank - Item 35","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_36","Integer","","Recommended","Matrix Reasoning Item Bank - Item 36","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_37","Integer","","Recommended","Matrix Reasoning Item Bank - Item 37","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_38","Integer","","Recommended","Matrix Reasoning Item Bank - Item 38","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_39","Integer","","Recommended","Matrix Reasoning Item Bank - Item 39","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_40","Integer","","Recommended","Matrix Reasoning Item Bank - Item 40","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_41","Integer","","Recommended","Matrix Reasoning Item Bank - Item 41","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_42","Integer","","Recommended","Matrix Reasoning Item Bank - Item 42","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_43","Integer","","Recommended","Matrix Reasoning Item Bank - Item 43","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_44","Integer","","Recommended","Matrix Reasoning Item Bank - Item 44","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_45","Integer","","Recommended","Matrix Reasoning Item Bank - Item 45","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_46","Integer","","Recommended","Matrix Reasoning Item Bank - Item 46","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_47","Integer","","Recommended","Matrix Reasoning Item Bank - Item 47","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_48","Integer","","Recommended","Matrix Reasoning Item Bank - Item 48","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_49","Integer","","Recommended","Matrix Reasoning Item Bank - Item 49","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_50","Integer","","Recommended","Matrix Reasoning Item Bank - Item 50","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_51","Integer","","Recommended","Matrix Reasoning Item Bank - Item 51","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_52","Integer","","Recommended","Matrix Reasoning Item Bank - Item 52","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_53","Integer","","Recommended","Matrix Reasoning Item Bank - Item 53","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_54","Integer","","Recommended","Matrix Reasoning Item Bank - Item 54","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_55","Integer","","Recommended","Matrix Reasoning Item Bank - Item 55","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_56","Integer","","Recommended","Matrix Reasoning Item Bank - Item 56","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_57","Integer","","Recommended","Matrix Reasoning Item Bank - Item 57","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_58","Integer","","Recommended","Matrix Reasoning Item Bank - Item 58","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_59","Integer","","Recommended","Matrix Reasoning Item Bank - Item 59","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_60","Integer","","Recommended","Matrix Reasoning Item Bank - Item 60","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_61","Integer","","Recommended","Matrix Reasoning Item Bank - Item 61","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_62","Integer","","Recommended","Matrix Reasoning Item Bank - Item 62","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_63","Integer","","Recommended","Matrix Reasoning Item Bank - Item 63","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_64","Integer","","Recommended","Matrix Reasoning Item Bank - Item 64","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_65","Integer","","Recommended","Matrix Reasoning Item Bank - Item 65","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_66","Integer","","Recommended","Matrix Reasoning Item Bank - Item 66","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_67","Integer","","Recommended","Matrix Reasoning Item Bank - Item 67","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_68","Integer","","Recommended","Matrix Reasoning Item Bank - Item 68","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_69","Integer","","Recommended","Matrix Reasoning Item Bank - Item 69","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_70","Integer","","Recommended","Matrix Reasoning Item Bank - Item 70","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_71","Integer","","Recommended","Matrix Reasoning Item Bank - Item 71","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_72","Integer","","Recommended","Matrix Reasoning Item Bank - Item 72","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_73","Integer","","Recommended","Matrix Reasoning Item Bank - Item 73","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_74","Integer","","Recommended","Matrix Reasoning Item Bank - Item 74","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_75","Integer","","Recommended","Matrix Reasoning Item Bank - Item 75","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
"mars_ib_76","Integer","","Recommended","Matrix Reasoning Item Bank - Item 76","0;1;-9","0=Incorrect; 1=Correct; -9=Missing",""
