"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","rad_doa"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"rad_1_ab","Integer","","Recommended","1. Anthony and Beth take turns using the computer to ensure that each gets equal time","0;1","0=Yes; 1=No",""
"rad_2_ab","Integer","","Recommended","2. Anthony makes the decisions and Beth follows them","0;1","0=Yes; 1=No",""
"rad_3_ab","Integer","","Recommended","3. When asked for a donation by a Salvation Army Worker, Anthony and Beth decided they should both give $10","0;1","0=No; 1=Yes",""
"rad_1_ap","Integer","","Recommended","1. Alan keeps track of the time he spends with Patty relative to the time he spends with other people","0;1","0=Yes; 1=No",""
"rad_2_ap","Integer","","Recommended","2. Patty brings home all the money she earns and turns it over to Alan; whenever she needs spending money, she asks Alan and he gives her some","0;1","0=Yes; 1=No",""
"rad_3_ap","Integer","","Recommended","3. Alan and Patty feel like they've always been together, and always will be","0;1","0=No; 1=Yes",""
"rad_4_jk","Integer","","Recommended","4. Karen is careful not to interrupt Jerry when he is speaking, but he interrupts her sometimes","0;1","0=Yes; 1=No",""
"rad_5_jk","Integer","","Recommended","5. Jerry and Karen had to make an important decision","0;1","0=No; 1=Yes",""
"rad_6_jk","Integer","","Recommended","6. Jerry won an award earlier this year. Karen figured that Jerry had earned it and that Jerry's tremendous investment of time and energy had finally paid off.","0;1","0=No; 1=Yes",""
"rad_7_tb","Integer","","Recommended","7. Betty bought Ted a cake for his birthday only because she remembered that he had bought her a cake on her birthday.","0;1","0=Yes; 1=No",""
"rad_8_tb","Integer","","Recommended","8. When eating at a restaurant, Ted and Betty often share their food or drinks.","0;1","0=No; 1=Yes",""
"rad_9_tb","Integer","","Recommended","9. Ted and Betty recently flipped a coin to decide which one of them would choose the movie they would see.","0;1","0=Yes; 1=No",""
"rad_10_mk","Integer","","Recommended","10. When asked for a donation by a Salvation Army worker, Mark and Kelly decided they should both give $10.","0;1","0=Yes; 1=No",""
"rad_11_mk","Integer","","Recommended","11. Mark tells Kelly if he does not like something she cooked, but Kelly does not tell Mark if she does not like something he cooked.","0;1","0=No; 1=Yes",""
"rad_12_mk","Integer","","Recommended","12. Kelly is always thinking about how much time she should spend with Mark and whether being with Mark is a good use of her time","0;1","0=Yes; 1=No",""
"rad_13_at","Integer","","Recommended","13. Albert and Traci hug each other when they meet after not seeing each other for a while","0;1","0=Yes; 1=No",""
"rad_14_at","Integer","","Recommended","14. When Albert and Traci go to a restaurant, Traci always pays the bill; Albert doesn't even bring his wallet","0;1","0=Yes; 1=No",""
"rad_15_at","Integer","","Recommended","15. When eating at a restaurant, Albert and Traci often share their food or drinks","0;1","0=Yes; 1=No",""
"rad_16_kl","Integer","","Recommended","16. Ken and Lisa feel like they've always been together, and always will be","0;1","0=Yes; 1=No",""
"rad_17_kl","Integer","","Recommended","17. When Ken invites Lisa to dinner, they both expect that Lisa will invite Ken over to her place for dinner within a month or so","0;1","0=No; 1=Yes",""
"rad_18_kl","Integer","","Recommended","18. When the new furniture arrived, Ken and Lisa each took four of the chairs, two of the lamps, and one of the small tables","0;1","0=No; 1=Yes",""
"rad_19_gj","Integer","","Recommended","19. Gary is careful not to interrupt Jill when she is speaking, but she interrupts him sometimes","0;1","0=No; 1=Yes",""
"rad_20_gj","Integer","","Recommended","20. Jill makes the decisions and Gary follows them","0;1","0=No; 1=Yes",""
"rad_21_gj","Integer","","Recommended","21. Gary and Jill take turns using the computer to ensure that each gets equal time","0;1","0=Yes; 1=No",""
"rad_22_mp","Integer","","Recommended","22. Margaret buys Paul expensive gifts for his birthday every year; Paul makes certain that Margaret knows how grateful he is","0;1","0=Yes; 1=No",""
"rad_23_mp","Integer","","Recommended","23. Paul and Margaret tend to a garden together, planting whatever they like, just doing what needs to be done","0;1","0=Yes; 1=No",""
"rad_24_mp","Integer","","Recommended","24. Paul and Margaret recently sold some stocks. They divided the profits in proportion to their investments; Margaret got 2/3 and Paul got 1/3","0;1","0=No; 1=Yes",""
"rad_25_ng","Integer","","Recommended","25. When George and Nancy go to a restaurant, they share the food they order, sometimes eating off the same plate","0;1","0=No; 1=Yes",""
"rad_26_ng","Integer","","Recommended","26. Nancy is careful not to interrupt George when he is speaking, but he interrupts her sometimes","0;1","0=Yes; 1=No",""
"rad_27_ng","Integer","","Recommended","27. When George broke his arm mountain climbing, Nancy felt almost as if her own arm was broken. It seemed as if they each felt the pain, and sometimes they even talk about ""when we broke our arm.""","0;1","0=No; 1=Yes",""
"rad_28_ba","Integer","","Recommended","28. Bob and Angie share a bicycle; whoever wants it just takes it and rides it whenever they like","0;1","0=Yes; 1=No",""
"rad_29_ba","Integer","","Recommended","29. Bob makes the decisions and Angie follows them","0;1","0=No; 1=Yes",""
"rad_30_ba","Integer","","Recommended","30. When working together, Bob and Angie watch each other to make sure they do no more or no less than the other person","0;1","0=Yes; 1=No",""
"rad_31_mj","Integer","","Recommended","31. Whenever Matt reads a book he likes, he gives it to Jenny to read, and Jenny gives Matt the books that she likes","0;1","0=Yes; 1=No",""
"rad_32_mj","Integer","","Recommended","32. When asked for a donation by a Salvation Army Worker, Matt insisted that he make a donation for both Jenny and himself","0;1","0=Yes; 1=No",""
"rad_33_mj","Integer","","Recommended","33. Last weekend, Matt brought Jenny a basket of apples from his tree, so this weekend Jenny brought Matt a pie that she baked","0;1","0=No; 1=Yes",""
"rad_34_vm","Integer","","Recommended","34. When Vivian is hungry, she just takes whatever she wants from Martin's refrigerator","0;1","0=Yes; 1=No",""
"rad_35_vm","Integer","","Recommended","35. Martin worked four days a week building the cabin while Vivian worked on it just one day a week. So when they sold the cabin, Martin got four fifths of the price and Vivian got one fifth of the price","0;1","0=No; 1=Yes",""
"rad_36_vm","Integer","","Recommended","36. Martin and Vivian hug each other when they meet after not seeing each other for a while","0;1","0=Yes; 1=No",""
"rad_37_bs","Integer","","Recommended","37. When Bill and Sarah go to a restaurant, they share the food they order, often eating off the same plate","0;1","0=Yes; 1=No",""
"rad_38_bs","Integer","","Recommended","38. Bill and Sarah take turns using the computer to ensure that each gets equal time","0;1","0=No; 1=Yes",""
"rad_39_bs","Integer","","Recommended","39. When Bill won the award, Sarah figured Bill's tremendous investment of time and energy had finally paid off","0;1","0=Yes; 1=No",""
"rad_40_da","Integer","","Recommended","40. When David and Allison go to a restaurant, they share the food they order, sometimes eating off the same plate","0;1","0=No; 1=Yes",""
"rad_41_da","Integer","","Recommended","41. Allison is careful not to interrupt David when he is speaking, but he interrupts her sometimes","0;1","0=Yes; 1=No",""
"rad_42_da","Integer","","Recommended","42. When David broke his arm mountain climbing, Allison felt almost as if her own arm was broken. It seemed as if they each felt the pain, and sometimes they even talk about ""When we broke our arm.""","0;1","0=No; 1=Yes",""
"rad_43_rj","Integer","","Recommended","43. Rachel bought Jason a cake for his birthday only because she remembered that he had bought her a cake on his birthday","0;1","0=No; 1=Yes",""
"rad_44_rj","Integer","","Recommended","44. When eating at a restaurant, Jason and Rachel often share their food or drinks","0;1","0=Yes; 1=No",""
"rad_45_rj","Integer","","Recommended","45. Last weekend, Jason brought Rachel a basket of apples from his tree, so this weekend Rachel brought Jason a pie she baked","0;1","0=No; 1=Yes",""
"rad_46_bk","Integer","","Recommended","46. Katie is careful to not interrupt Brian when he is speaking, but he interrupts her sometimes","0;1","0=Yes; 1=No",""
"rad_47_bk","Integer","","Recommended","47. When Brian and Katie go to a restaurant, they share the food they order, sometimes eating off the same plate","0;1","0=No; 1=Yes",""
"rad_48_bk","Integer","","Recommended","48. Whenever Brian reads a book he likes, he gives it to Katie to read, and Katie gives Brian the books she likes","0;1","0=No; 1=Yes",""
"rad_49_cj","Integer","","Recommended","49. Jim and Carrie had to make an important decision yesterday. They made offers and counter offers to each other, and then signed a contract that states what each of them needs to do.","0;1","0=Yes; 1=No",""
"rad_50_cj","Integer","","Recommended","50. Yesterday, Jim selected the restaurant that he and Carrie went to; Carrie went along with Jim's decision without saying anything even though she does not like the restaurant.","0;1","0=Yes; 1=No",""
"rad_51_cj","Integer","","Recommended","51. When Jim won an award last month, Carrie was just as proud and happy as if she had been given the award","0;1","0=Yes; 1=No",""
"rad_52_bc","Integer","","Recommended","52. When Charles and Becky go to a restaurant, they share the food they order, sometimes eating off the same plate","0;1","0=No; 1=Yes",""
"rad_53_bc","Integer","","Recommended","53. Charles never interrupts Becky when she is speaking, but she interrupts him sometimes","0;1","0=Yes; 1=No",""
"rad_54_bc","Integer","","Recommended","54. When Charles broke his arm mountain climbing, Becky felt almost as if her own arm was broken. It seemed as if they each felt the pain, and sometimes they even talk about ""When we broke our arm.""","0;1","0=No; 1=Yes",""
"rad_55_ma","Integer","","Recommended","55.Ally is careful not to interrupt Matt when he is speaking, but he interrupts her sometimes","0;1","0=No; 1=Yes",""
"rad_56_ma","Integer","","Recommended","56. Matt makes the decisions and Ally follows them","0;1","0=No; 1=Yes",""
"rad_57_ma","Integer","","Recommended","57. Matt tells Ally if he does not like something she cooked, but Ally does not tell Matt if she does not like something he cooked","0;1","0=No; 1=Yes",""
"rad_58_zc","Integer","","Recommended","58. Zack and Carla hug each other when they meet after not seeing each other for a while","0;1","0=No; 1=Yes",""
"rad_59_zc","Integer","","Recommended","59. When Zack and Carla go to a restaurant, Carla always pays the bill; Zack often doesn't even bring his wallet","0;1","0=Yes; 1=No",""
"rad_60_zc","Integer","","Recommended","60. When eating at a restaurant, Zack and Carla often share their food or drinks","0;1","0=No; 1=Yes",""
"rad_61_ds","Integer","","Recommended","61. Doug tracks the time he spends with Susan relative to the time he spends with other people","0;1","0=No; 1=Yes",""
"rad_62_ds","Integer","","Recommended","62. Yesterday, Doug selected the restaurant that he and Susan went to; Susan went along with Doug's decision without saying anything even though she does not like the restaurant.","0;1","0=Yes; 1=No",""
"rad_63_ds","Integer","","Recommended","63. When Doug won the award, Susan was just as proud and happy as if she had been given the award","0;1","0=Yes; 1=No",""
"rad_64_wm","Integer","","Recommended","64. Will buys Mary expensive gifts for her birthday every year; Mary makes certain that Will knows how grateful she truly is","0;1","0=No; 1=Yes",""
"rad_65_wm","Integer","","Recommended","65. Will and Mary tend to a garden together, planting whatever they like, just doing what needs to be done","0;1","0=Yes; 1=No",""
"rad_66_wm","Integer","","Recommended","66. When Will and Mary created a statue together, Will insisted that his name come first on the plaque","0;1","0=No; 1=Yes",""
"rad_67_gt","Integer","","Recommended","67. When asked for a donation by a Salvation Army Worker, George and Tina decided they should both give $10","0;1","0=No; 1=Yes",""
"rad_68_gt","Integer","","Recommended","68. George tells Tina if he does not like something she cooked, but Tina does not tell George if she does not like something he cooked","0;1","0=Yes; 1=No",""
