"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"erns_gen_01","Integer","","Recommended","I am able to feel a wide range of emotions (e.g., happiness, sadness, anger, and fear).","1::5","1 = Entirely typical of me; 2 = Very typical of me; 3 = Somewhat typical of me; 4 = A little typical of me; 5 = Not at all typical of me;",""
"erns_gen_02","Integer","","Recommended","I feel cut off from my emotions.","1::5","1 = Not at all typical of me; 2 = A little typical of me; 3 = Somewhat typical of me; 4 = Very typical of me; 5 = Entirely typical of me",""
"erns_gen_03","Integer","","Recommended","In situations when other people have strong emotional responses, I don't feel anything at all.","1::5","1 = Not at all typical of me; 2 = A little typical of me; 3 = Somewhat typical of me; 4 = Very typical of me; 5 = Entirely typical of me",""
"erns_gen_04","Integer","","Recommended","There are certain emotions that I cannot feel.","1::5","1 = Not at all typical of me; 2 = A little typical of me; 3 = Somewhat typical of me; 4 = Very typical of me; 5 = Entirely typical of me",""
"erns_gen_05","Integer","","Recommended","I think of myself as a very emotional person.","1::5","1 = Entirely typical of me; 2 = Very typical of me; 3 = Somewhat typical of me; 4 = A little typical of me; 5 = Not at all typical of me;",""
"erns_gen_06","Integer","","Recommended","I have a hard time feeling close to people, even my friends or family.","1::5","1 = Not at all typical of me; 2 = A little typical of me; 3 = Somewhat typical of me; 4 = Very typical of me; 5 = Entirely typical of me",""
"erns_gen_07","Integer","","Recommended","I feel like I am emotionally numb.","1::5","1 = Not at all typical of me; 2 = A little typical of me; 3 = Somewhat typical of me; 4 = Very typical of me; 5 = Entirely typical of me",""
"erns_gen_08","Integer","","Recommended","There are some negative emotions that I rarely feel even when there is reason to feel them.","1::5","1 = Not at all typical of me; 2 = A little typical of me; 3 = Somewhat typical of me; 4 = Very typical of me; 5 = Entirely typical of me",""
