"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"num_trial","Integer","","Recommended","Trial number","1::360","1=Trial 1; 360=Trial 360",""
"stimulus_content","Integer","","Recommended","Stimulus image category (alcohol, objects, or non-alcoholic drinks)","1::3","1=Alcohol; 2=Objects; 3=Non-alcoholic drinks",""
"rt_alcohol_pull","Integer","","Recommended","Alcohol stimulus reaction time in pull condition","1::3000;3999","1=1ms; 3000=3000ms; 3999=Null",""
"rt_alcohol_push","Integer","","Recommended","Alcohol stimulus reaction time in push condition","1::3000;3999","1=1ms; 3000=3000ms; 3999=Null",""
"rt_alcohol","Integer","","Recommended","Alcohol stimulus reaction time in pull condition subtracted from alcohol stimulus reaction time in the push condition","1::3000;3999","1=1ms; 3000=3000ms; 3999=Null",""
"rt_objects_pull","Integer","","Recommended","Object stimulus reaction time in pull condition","1::3000;3999","1=1ms; 3000=3000ms; 3999=Null",""
"rt_objects_push","Integer","","Recommended","Objects stimulus reaction time in push condition","1::3000;3999","1=1ms; 3000=3000ms; 3999=Null",""
"rt_objects","Integer","","Recommended","Objects stimulus reaction time in pull condition subtracted from objects stimulus reaction time in the push condition","1::3000;3999","1=1ms; 3000=3000ms; 3999=Null",""
"rt_nadrinks_pull","Integer","","Recommended","Non-Alcoholic beverage stimulus reaction time in pull condition","1::3000;3999","1=1ms; 3000=3000ms; 3999=Null",""
"rt_nadrinks_push","Integer","","Recommended","Non-Alcoholic beverage stimulus reaction time in push condition","1::3000;3999","1=1ms; 3000=3000ms; 3999=Null",""
"rt_nadrinks","Integer","","Recommended","Non-Alcoholic beverage stimulus reaction time in pull condition subtracted from Non-Alcoholic beverage stimulus reaction time in the push condition","1::3000;3999","1=1ms; 3000=3000ms; 3999=Null",""
