"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"rloc_q1","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 1","1;2","1=Children get into trouble because their parents punish them too much; 2=The trouble with most children nowadays is that their parents are too easy with them",""
"rloc_q2","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 2","1;2","1=Many of the unhappy things in people's lives are partly due to bad luck; 2=People's misfortunes result from the mistakes they make",""
"rloc_q3","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 3","1;2","1=One of the major reasons why we have wars is because people don't take enough interest in politics; 2=There will always be wars, no matter how hard people try to prevent them",""
"rloc_q4","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 4","1;2","1=In the long run people get the respect they deserve in this world; 2=Unfortunately, an individual's worth often passes unrecognized no matter how hard he tries",""
"rloc_q5","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 5","1;2","1=The idea that teachers are unfair to students is nonsense; 2=Most students don't realize the extent to which their grades are influenced by accidental happenings",""
"rloc_q6","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 6","1;2","1=Without the right breaks one cannot be an effective leader; 2=Capable people who fail to become leaders have not taken advantage of their opportunities",""
"rloc_q7","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 7","1;2","1=No matter how hard you try some people just don't like you; 2=People who can't get others to like them don't understand how to get along with others",""
"rloc_q8","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 8","1;2","1=Heredity plays the major role in determining one's personality; 2=It is one's experiences in life which determine what they're like",""
"rloc_q9","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 9","1;2","1=I have often found that what is going to happen will happen; 2=Trusting to fate has never turned out as well for me as making a decision to take a definite course of action",""
"rloc_q10","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 10","1;2","1=In the case of the well prepared student there is rarely if ever such a thing as an unfair test; 2=Many times exam questions tend to be so unrelated to course work that studying in really useless",""
"rloc_q11","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 11","1;2","1=Becoming a success is a matter of hard work, luck has little or nothing to do with it; 2=Getting a good job depends mainly on being in the right place at the right time",""
"rloc_q12","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 12","1;2","1=The average citizen can have an influence in government decisions; 2=This world is run by the few people in power, and there is not much the little guy can do about it",""
"rloc_q13","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 13","1;2","1=When I make plans, I am almost certain that I can make them work; 2=It is not always wise to plan too far ahead because many things turn out to- be a matter of good or bad fortune anyhow",""
"rloc_q14","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 14","1;2","1=There are certain people who are just no good; 2=There is some good in everybody",""
"rloc_q15","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 15","1;2","1=In my case getting what I want has little or nothing to do with luck; 2=Many times we might just as well decide what to do by flipping a coin",""
"rloc_q16","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 16","1;2","1=Who gets to be the boss often depends on who was lucky enough to be in the right place first; 2=Getting people to do the right thing depends upon ability. Luck has little or nothing to do with it",""
"rloc_q17","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 17","1;2","1=As far as world affairs are concerned, most of us are the victims of forces we can neither understand, nor control; 2=By taking an active part in political and social affairs the people can control world events",""
"rloc_q18","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 18","1;2","1=Most people don't realize the extent to which their lives are controlled by accidental happenings; 2=There really is no such thing as luck",""
"rloc_q19","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 19","1;2","1=One should always be willing to admit mistakes; 2=It is usually best to cover up one's mistakes",""
"rloc_q20","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 20","1;2","1=It is hard to know whether or not a person really likes you; 2=How many friends you have depends upon how nice a person you are",""
"rloc_q21","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 21","1;2","1=In the long run the bad things that happen to us are balanced by the good ones; 2=Most misfortunes are the result of lack of ability, ignorance, laziness, or all three",""
"rloc_q22","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 22","1;2","1=With enough effort we can wipe out political corruption; 2=It is difficult for people to have much control over the things politicians do in office",""
"rloc_q23","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 23","1;2","1=Sometimes I can't understand how teachers arrive at the grades they give; 2=There is a direct connection between how hard I study and the grades I get",""
"rloc_q24","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 24","1;2","1=A good leader expects people to decide for themselves what they should do; 2=A good leader makes it clear to everybody what their jobs are",""
"rloc_q25","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 25","1;2","1=Many times I feel that I have little influence over the things that happen to me; 2=It is impossible for me to believe that chance or luck plays an important role in my life",""
"rloc_q26","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 26","1;2","1=People are lonely because they don't try to be friendly; 2=There's not much use in trying too hard to please people, if they like you, they like you",""
"rloc_q27","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 27","1;2","1=There is too much emphasis on athletics in high school; 2=Team sports are an excellent way to build character",""
"rloc_q28","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 28","1;2","1=What happens to me is my own doing; 2=Sometimes I feel that I don't have enough control over the direction my life is taking",""
"rloc_q29","Integer","","Recommended","For each question, select the statement that you agree with the most: Question 29","1;2","1=Most of the time I can't understand why politicians behave the way they do; 2=In the long run the people are responsible for bad government on a national as well as on a local level",""
"rloc_score","Integer","","Recommended","Total score for assessment, a high score indicates an External Locus of Control, while a low score indicates an Internal Locus of Control","0::23","",""
