"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pleasflowers","Integer","","Recommended","Flower image","1 :: 10","1=Very Unpleasant, 10=Very Pleasant",""
"pleasgalaxy","Integer","","Recommended","Galaxy image","1 :: 10","1=Very Unpleasant, 10=Very Pleasant",""
"pleasfireworks","Integer","","Recommended","Fireworks image","1 :: 10","1=Very Unpleasant, 10=Very Pleasant",""
"pleasrockwater","Integer","","Recommended","Rockwater image","1 :: 10","1=Very Unpleasant, 10=Very Pleasant",""
"pleasfield","Integer","","Recommended","Field image","1 :: 10","1=Very Unpleasant, 10=Very Pleasant",""
"pleassunset","Integer","","Recommended","Sunset image","1 :: 10","1=Very Unpleasant, 10=Very Pleasant",""
"pleasnightsky","Integer","","Recommended","Nightsky image","1 :: 10","1=Very Unpleasant, 10=Very Pleasant",""
"pleasflowers_11pt","Integer","","Recommended","Rate how pleasant you find this image: Flower","0::10","0= Very unpleasant; 10= Very pleasant",""
"pleasgalaxy_11pt","Integer","","Recommended","Rate how pleasant you find this image: Galaxy","0::10","0= Very unpleasant; 10= Very pleasant",""
"pleasfireworks_11pt","Integer","","Recommended","Rate how pleasant you find this image: Fireworks","0::10","0= Very unpleasant; 10= Very pleasant",""
"pleasrockwater_11pt","Integer","","Recommended","Rate how pleasant you find this image: Rockwater","0::10","0= Very unpleasant; 10= Very pleasant",""
"pleasfield_11pt","Integer","","Recommended","Rate how pleasant you find this image: Field","0::10","0= Very unpleasant; 10= Very pleasant",""
"pleassunset_11pt","Integer","","Recommended","Rate how pleasant you find this image: Sunset","0::10","0= Very unpleasant; 10= Very pleasant",""
"pleasnightsky_11pt","Integer","","Recommended","Rate how pleasant you find this image: Nightsky","0::10","0= Very unpleasant; 10= Very pleasant",""
