"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pres_1a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: People are equal, regardless of their race or ethnic background.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_2a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: About the discrimination people from other racial or ethnic groups have experienced in the past.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_3a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: About important people in the history of other racial or ethnic groups.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_4a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: To read books about the history or traditions of different ethnic and racial groups, other than our own.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_5a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: About the possibility that some people might treat him/her badly or unfairly because of our race or ethnicity.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_6a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: Other racial or ethnic groups are just as trustworthy as people of our own ethnic or racial group.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_7a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: People of all races have an equal chance in life.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_8a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: He/she should try to make friends with people of all races and ethnic backgrounds.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_9a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: About discrimination or prejudice against our ethnic or racial group.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_10a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: About discrimination or prejudice against other ethnic or racial groups.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_11a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: It is important to appreciate people of all racial and ethnic backgrounds.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_12a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: Something unfair that he/she witnessed was due to racial or ethnic discrimination against another ethnic or racial group.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_13a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: In the past people from other racial or ethnic groups were discriminated against because of their race or ethnicity.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_14a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: It is best to have friends who are the same race or ethnic group as we are.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_15a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: The importance of getting along with people of all races and ethnicities.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_16a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: Something he/she saw showed poor treatment of different ethnic or racial groups, other than our own.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_17a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: American society is fair to all races and ethnicities.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_18a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: People from other racial or ethnic groups are sometimes still discriminated against because of their race or ethnicity.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_19a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: To learn about the history or traditions of other racial or ethnic groups","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_20a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: People of our race or ethnic group have better opportunities than people of other racial or ethnic groups.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_21a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: People of different races and ethnicities have different values and beliefs.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_22a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: American society is not always fair to all races and ethnicities.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
"pres_23a","Integer","","Recommended","Please indicate about HOW OFTEN you explicitly or directly tell your child: It is a bad idea to marry someone who is of a different ethnic background or race than ours.","1::5","1=Never; 2=Rarely; 3=Sometimes; 4= Often; 5=Very often",""
