"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"ftpe1","Integer","","Recommended","Many opportunities await me in the future.","1::7","1= Very Untrue; 7= Very True",""
"ftpe2","Integer","","Recommended","I expect that I will set many new goals in the future.","1::7","1= Very Untrue; 7= Very True",""
"ftpe3","Integer","","Recommended","My future is filled with possibilities.","1::7","1= Very Untrue; 7= Very True",""
"ftpe4","Integer","","Recommended","Most of my life lies ahead of me.","1::7","1= Very Untrue; 7= Very True",""
"ftpe5","Integer","","Recommended","My future seems infinite to me.","1::7","1= Very Untrue; 7= Very True",""
"ftpe6","Integer","","Recommended","I could do anything I want in the future.","1::7","1= Very Untrue; 7= Very True",""
"ftpe7","Integer","","Recommended","There is plenty of time left in my life to make new plans.","1::7","1= Very Untrue; 7= Very True",""
"ftpe8","Integer","","Recommended","I have the sense time is running out. (reverse)","1::7","1= Very True 7= Very Untrue",""
"ftpe9","Integer","","Recommended","There are only limited possibilities in my future. (reverse)","1::7","1= Very True 7= Very Untrue",""
"ftpe10","Integer","","Recommended","As I get older, I begin to experience time as limited. (reverse)","1::7","1= Very True 7= Very Untrue",""
"ftpemean","Float","","Recommended","Future Time Perspective Scale Mean","1::7","",""
