"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","record_id"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"eq_total","Integer","","Required","Empathy Quotient Total","0::80; 999","999=NK/NA/missing",""
"eq_t_score","Float","","Required","Empathy Quotient T Score","","",""
"q01_enter_conversation","Integer","","Recommended","I can easily tell if someone else wants to enter a conversation.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q02_prefer_animals","Integer","","Recommended","I prefer animals to humans.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q03_current_trends","Integer","","Recommended","I try to keep up with the current trends and fashions.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q04_difficulty_explaining","Integer","","Recommended","""I find it difficult to explain to others things that I understand easily, when they don't understand it the first time.""","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q05_dreams","Integer","","Recommended","I dream most nights.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q06_caring_for_others","Integer","","Recommended","I really enjoy caring for other people.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q07_solve_own_problems","Integer","","Recommended","I try to solve my own problems rather than discussing them with others.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q08_doing_in_social_situations","Integer","","Recommended","I find it hard to know what to do in a social situation.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q09_morning","Integer","","Recommended","I am my best first thing in the morning.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q10_driving_point_home","Integer","","Recommended","People often tell me that I went too far in driving my point home in a discussion.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q11_late_meeting","Integer","","Recommended","It doesn't bother me too much if I am late meeting a friend.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q12_friendships_too_difficult","Integer","","Recommended","""Friendships and relationships are just too difficult, so I tent not to bother with them.""","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q13_break_the_law","Integer","","Recommended","""I would never break a law, no matter how minor.""","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q14_judging_rudeness","Integer","","Recommended","I often find it difficult to judge if something is rude or polite.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q15_focus_on_self","Integer","","Recommended","""In a conversation, I tend to focus on my own thoughts rather than on what my listener might be thinking. ""","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q16_prefer_practical_jokes","Integer","","Recommended","I prefer practical jokes to verbal humor.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q17_live_for_today","Integer","","Recommended","I live life for today rather than the future.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q18_cutting_up_worms","Integer","","Recommended","""When I was a child, I enjoyed cutting up worms to see what would happen.""","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q19_infer_meaning","Integer","","Recommended","I can pick up quickly if someone says one thing but means another.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q20_strong_moral_opinions","Integer","","Recommended","I tend to have very strong opinions about morality.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q21_unsure_others_upset","Integer","","Recommended","It is hard for me to see why some things upset people so much.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q22_others_shoes","Integer","","Recommended","I find it easy to put myself in sombody else's shoes.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q23_good_manners","Integer","","Recommended","I think that good manners are the most important thing a parent can teach a child.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q24_spontaneity","Integer","","Recommended","I like to do things on the spur of the moment.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q25_predict_others_feelings","Integer","","Recommended","I am good at predicting how someone will feel.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q26_see_others_unconfortable","Integer","","Recommended","I am quick to spot when someone in a group is feeling awkward or uncomfortable.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q27_offended_their_problem","Integer","","Recommended","""If I say something that someone else is offended by, I think that that's their problem, not mine.""","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q28_haircut_truth","Integer","","Recommended","""If anyone asked me if I liked their haircut, I would reply truthfully, even if I didn't like it. ""","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q29_unsure_others_offended","Integer","","Recommended","I can't always see why someone should have felt offended by a remark.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q30_unpredictable","Integer","","Recommended","People often tell me that I am very unpredictable.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q31_center_of_attention","Integer","","Recommended","I enjoy being the center of attention at any social gathering.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q32_unaffected_others_crying","Integer","","Recommended","Seeing people cry doesn't really upset me.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q33_enjoy_politics","Integer","","Recommended","I enjoy having discussions about politics.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q34_blunt_rudeness","Integer","","Recommended","""I am very blunt, which some people take to be rudeness, even though this is unintentional.""","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q35_social_situations","Integer","","Recommended","I don't tend to find social situations confusing.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree","q35_understand_social_situations"
"q36_understand_others_feelings","Integer","","Recommended","Other people tell me I am good at understanding how they are feeling and what they are thinking.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q37_others_experiences","Integer","","Recommended","""When I talk to people, I tend to talk about their experiences rather than my own.""","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q38_animal_in_pain","Integer","","Recommended","It upsets me to see an animal in pain.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q39_impartial_to_feelings","Integer","","Recommended","I am able to make decisions without being influenced by people's feelings.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q40_relax_planning","Integer","","Recommended","I can't relax until I have done everything I had planned to do that day.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q41_know_others_bored","Integer","","Recommended","I can easily tell if someone else is interested or bored with what I am saying.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q42_upset_by_news","Integer","","Recommended","I get upset if I see people suffering on the news programs.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q43_friends_problems","Integer","","Recommended","Friends usually talk to me about their problems as they say I am very understanding.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q44_sense_intruding","Integer","","Recommended","""I can sense if I am intruding, even if the other peson doesn't tell me.""","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q45_new_hobbies","Integer","","Recommended","I often start new hobbies but quickly become bored with them and move on to something else.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q46_excessive_teasing","Integer","","Recommended","People sometimes tell me that I have gone too far with teasing.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q47_nervous_roller_coaster","Integer","","Recommended","I would be too nervous to go on a big roller coaster.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q48_others_say_insensitive","Integer","","Recommended","""Other people often say that I am insensitive, though I don't always see why.""","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q49_other_make_effort","Integer","","Recommended","""If I see a stranger in a group, I think that it is up to them to make an effort to join in.""","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q50_emo_detached_movie","Integer","","Recommended","I usually stay emotionally detached when watching a film.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q51_organized_lists","Integer","","Recommended","I like to be very organized in day-to-day life and often make lists of the chores I have to do.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q52_intune_others_feelings","Integer","","Recommended","I can tune in to how someone else feels rapidly and intuitively.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q53_avoids_risks","Integer","","Recommended","I don't like to take risks.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q54_others_convo_topic","Integer","","Recommended","I can easily work out what another peson might want to talk about.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
"q55_making_emotions","Integer","","Recommended","I can tell if someone is masking their true emotion.","1::4","1 = Strongly agree;2 = Slightly agree;3 = Slightly disagree;4 = Strongly disagree",""
