"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","labid,patid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","testdate"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","agemonths"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"site","String","101","Recommended","Site","","Study Site",""
"study","String","100","Recommended","Study; The code for each individual study","","e.g., the name of the study in multi-grant collections",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"ifs_1","Integer","","Recommended","I feel free to talk with her about almost everything.","1 :: 7; -99; 77; 88;","1 = always disagree; 2 = often disagree; 3 = sometimes disagree; 4 = neither agree nor disagree; 5 = sometimes agree; 6 = often agree; 7 = always agree; -99= N/A; 77= Refused ; 88= Missing",""
"ifs_2","Integer","","Recommended","If she does something which I do not like, I can always talk with her about it.","1 :: 7; -99; 77; 88;","1 = always disagree; 2 = often disagree; 3 = sometimes disagree; 4 = neither agree nor disagree; 5 = sometimes agree; 6 = often agree; 7 = always agree; -99= N/A; 77= Refused ; 88= Missing",""
"ifs_3","Integer","","Recommended","I talk with her about my hopes and plans for the future.","1 :: 7; -99; 77; 88;","1 = always disagree; 2 = often disagree; 3 = sometimes disagree; 4 = neither agree nor disagree; 5 = sometimes agree; 6 = often agree; 7 = always agree; -99= N/A; 77= Refused ; 88= Missing",""
"ifs_4","Integer","","Recommended","I tell her when I have done something that other people would not approve of.","1 :: 7; -99; 77; 88;","1 = always disagree; 2 = often disagree; 3 = sometimes disagree; 4 = neither agree nor disagree; 5 = sometimes agree; 6 = often agree; 7 = always agree; -99= N/A; 77= Refused ; 88= Missing",""
"ifs_5","Integer","","Recommended","I know how she feels about things without her telling me.","1 :: 7; -99; 77; 88;","1 = always disagree; 2 = often disagree; 3 = sometimes disagree; 4 = neither agree nor disagree; 5 = sometimes agree; 6 = often agree; 7 = always agree; -99= N/A; 77= Refused ; 88= Missing",""
"ifs_6","Integer","","Recommended","I know which kinds of books, games, and activities she likes.","1 :: 7; -99; 77; 88;","1 = always disagree; 2 = often disagree; 3 = sometimes disagree; 4 = neither agree nor disagree; 5 = sometimes agree; 6 = often agree; 7 = always agree; -99= N/A; 77= Refused ; 88= Missing",""
"ifs_7","Integer","","Recommended","I know how she feels about the person she likes.","1 :: 7; -99; 77; 88;","1 = always disagree; 2 = often disagree; 3 = sometimes disagree; 4 = neither agree nor disagree; 5 = sometimes agree; 6 = often agree; 7 = always agree; -99= N/A; 77= Refused ; 88= Missing",""
"ifs_8","Integer","","Recommended","I can tell when she is worried about something.","1 :: 7; -99; 77; 88;","1 = always disagree; 2 = often disagree; 3 = sometimes disagree; 4 = neither agree nor disagree; 5 = sometimes agree; 6 = often agree; 7 = always agree; -99= N/A; 77= Refused ; 88= Missing",""
"ifs_9","Integer","","Recommended","I feel close to her.","1 :: 7; -99; 77; 88;","1 = always disagree; 2 = often disagree; 3 = sometimes disagree; 4 = neither agree nor disagree; 5 = sometimes agree; 6 = often agree; 7 = always agree; -99= N/A; 77= Refused ; 88= Missing",""
"ifs_10","Integer","","Recommended","I like her.","1 :: 7; -99; 77; 88;","1 = always disagree; 2 = often disagree; 3 = sometimes disagree; 4 = neither agree nor disagree; 5 = sometimes agree; 6 = often agree; 7 = always agree; -99= N/A; 77= Refused ; 88= Missing",""
"ifs_11","Integer","","Recommended","When she is not around I miss her.","1 :: 7; -99; 77; 88;","1 = always disagree; 2 = often disagree; 3 = sometimes disagree; 4 = neither agree nor disagree; 5 = sometimes agree; 6 = often agree; 7 = always agree; -99= N/A; 77= Refused ; 88= Missing",""
"ifs_12","Integer","","Recommended","When she is not around I keep wondering where she is and what she is doing.","1 :: 7; -99; 77; 88;","1 = always disagree; 2 = often disagree; 3 = sometimes disagree; 4 = neither agree nor disagree; 5 = sometimes agree; 6 = often agree; 7 = always agree; -99= N/A; 77= Refused ; 88= Missing",""
"ifs_13","Integer","","Recommended","The most exciting things happen when I am with her and nobody else is around.","1 :: 7; -99; 77; 88;","1 = always disagree; 2 = often disagree; 3 = sometimes disagree; 4 = neither agree nor disagree; 5 = sometimes agree; 6 = often agree; 7 = always agree; -99= N/A; 77= Refused ; 88= Missing",""
