"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"task_number","Integer","","Recommended","Task number","","",""
"rapm_images","File","","Recommended","Ravens Advanced Progressive Matrices - Images displayed to participant","","Path to file, e.g., Users/username/Documents/rapm_images.pdf",""
"rapm_1","Integer","","Recommended","Ravens Advanced Progressive Matrices - Answer provided for Set A1","0::8;-99","-99= Not completed",""
"rapm_2","Integer","","Recommended","Ravens Advanced Progressive Matrices - Answer provided for Set A2","0::8;-99","-99= Not completed",""
"rapm_3","Integer","","Recommended","Ravens Advanced Progressive Matrices - Answer provided for Set A3","0::8;-99","-99= Not completed",""
"rapm_4","Integer","","Recommended","Ravens Advanced Progressive Matrices - Answer provided for Set A4","0::8;-99","-99= Not completed",""
"rapm_5","Integer","","Recommended","Ravens Advanced Progressive Matrices - Answer provided for Set A5","0::8;-99","-99= Not completed",""
"rapm_6","Integer","","Recommended","Ravens Advanced Progressive Matrices - Answer provided for Set A6","0::8;-99","-99= Not completed",""
"rapm_7","Integer","","Recommended","Ravens Advanced Progressive Matrices - Answer provided for Set A7","0::8;-99","-99= Not completed",""
"rapm_8","Integer","","Recommended","Ravens Advanced Progressive Matrices - Answer provided for Set A8","0::8;-99","-99= Not completed",""
"rapm_9","Integer","","Recommended","Ravens Advanced Progressive Matrices - Answer provided for Set A9","0::8;-99","-99= Not completed",""
"rapm_10","Integer","","Recommended","Ravens Advanced Progressive Matrices - Answer provided for Set A10","0::8;-99","-99= Not completed",""
"rapm_11","Integer","","Recommended","Ravens Advanced Progressive Matrices - Answer provided for Set A11","0::8;-99","-99= Not completed",""
"rapm_12","Integer","","Recommended","Ravens Advanced Progressive Matrices - Answer provided for Set A12","0::8;-99","-99= Not completed",""
"rapm_score","Integer","","Recommended","Ravens Advanced Progressive Matrices - Total score for section A","0::96;-99","-99= Not completed",""
