"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"aq10_item_1","Integer","","Recommended","I often notice small sounds when others do not.","1::4","1=Definitely agree; 2=Slightly agree; 3=Slightly disagree; 4=Definitely disagree","aq_1_sr"
"aq10_item_2","Integer","","Recommended","I usually concentrate more on the whole picture, rather than the small details.","1::4","1=Definitely agree; 2=Slightly agree; 3=Slightly disagree; 4=Definitely disagree","aq_2_sr"
"aq10_item_3","Integer","","Recommended","I find it easy to do more than one thing at once.","1::4","1=Definitely agree; 2=Slightly agree; 3=Slightly disagree; 4=Definitely disagree","aq_3_sr"
"aq10_item_4","Integer","","Recommended","When I''m reading a story, I find it difficult to work out the characters'' intentions.","1::4","1=Definitely agree; 2=Slightly agree; 3=Slightly disagree; 4=Definitely disagree","aq_4_sr"
"aq10_item_5","Integer","","Recommended","I know how to tell if someone listening to me is getting bored.","1::4","1=Definitely agree; 2=Slightly agree; 3=Slightly disagree; 4=Definitely disagree","aq_5_sr"
"aq10_item_6","Integer","","Recommended","I find it easy to work out what someone is thinking or feeling just by looking at their face.","1::4","1=Definitely agree; 2=Slightly agree; 3=Slightly disagree; 4=Definitely disagree","aq_6_sr"
"aq10_item_7","Integer","","Recommended","I find it easy to ''read between the lines'' when someone is talking to me.","1::4","1=Definitely agree; 2=Slightly agree; 3=Slightly disagree; 4=Definitely disagree","aq_7_sr"
"aq10_item_8","Integer","","Recommended","I like to collect information about categories of things (e.g. types of car, types of bird, types of train, types of plant, etc.). C/Ad. S/he likes to collect information about categories of things (e.g. types of car, types of bird,  etc.).","1::4","1=Definitely agree; 2=Slightly agree; 3=Slightly disagree; 4=Definitely disagree","aq_8_sr"
"aq10_item_9","Integer","","Recommended","If there is an interruption, I can switch back to what I was going very quickly. C/Ad. If there is an interruption, s/he can switch back to what s/he was doing very quickly.","1::4","1=Definitely agree; 2=Slightly agree; 3=Slightly disagree; 4=Definitely disagree","aq_9_sr"
"aq10_item_10","Integer","","Recommended","I find it difficult to work out people''s intentions. C/Ad. S/he finds it difficult to work out peoples intentions.","1::4","1=Definitely agree; 2=Slightly agree; 3=Slightly disagree; 4=Definitely disagree","aq_10_sr"
"aq10_total_score","Integer","","Required","Total score summed according to scoring key.","0::10;999","999=Missing",""
"aq_8_score","Integer","","Recommended","AQ 8 Score - Score 1 point for Definitely or Slightly Agree","0;1","if([aq_8_sr]=1,1,if([aq_8_sr]=2,1,if([aq_8_sr]=3,0,if([aq_8_sr]=4,0,'' ''))))","aq_8_score_sr"
"aq_9_score","Integer","","Recommended","AQ 9 Score - Score 1 point for Definitely or Slightly Disagree","0;1","if([aq_9_sr]=1,0,if([aq_9_sr]=2,0,if([aq_9_sr]=3,1,if([aq_9_sr]=4,1,'' ''))))","aq_9_score_sr"
"aq_10_score","Integer","","Recommended","AQ 10 Score - Score 1 point for Definitely or Slightly Agree","0;1","if([aq_10_sr]=1,1,if([aq_10_sr]=2,1,if([aq_10_sr]=3,0,if([aq_10_sr]=4,0,'' ''))))","aq_10_score_sr"
"aq_1_score","Integer","","Recommended","AQ 1 Score - Score 1 point for Definitely or Slightly Agree","0;1","if([aq_1_sr]=1,1,if([aq_1_sr]=2,1,if([aq_1_sr]=3,0,if([aq_1_sr]=4,0,'' ''))))","aq_1_score_sr"
"aq_2_score","Integer","","Recommended","AQ 2 Score - Score 1 point for Definitely or Slightly Disagree","0;1","if([aq_2_sr]=1,0,if([aq_2_sr]=2,0,if([aq_2_sr]=3,1,if([aq_2_sr]=4,1,'' ''))))","aq_2_score_sr"
"aq_3_score","Integer","","Recommended","AQ 3 Score - Score 1 point for Definitely or Slightly Disagree","0;1","if([aq_3_sr]=1,0,if([aq_3_sr]=2,0,if([aq_3_sr]=3,1,if([aq_3_sr]=4,1,'' ''))))","aq_3_score_sr"
"aq_4_score","Integer","","Recommended","AQ 4 Score - Score 1 point for Definitely or Slightly Disagree","0;1","if([aq_4_sr]=1,0,if([aq_4_sr]=2,0,if([aq_4_sr]=3,1,if([aq_4_sr]=4,1,'' ''))))","aq_4_score_sr"
"aq_5_score","Integer","","Recommended","AQ 5 Score - Score 1 point for Definitely or Slightly Disagree","0;1","if([aq_5_sr]=1,0,if([aq_5_sr]=2,0,if([aq_5_sr]=3,1,if([aq_5_sr]=4,1,'' ''))))","aq_5_score_sr"
"aq_6_score","Integer","","Recommended","AQ 6 Score - Score 1 point for Definitely or Slightly Disagree","0;1","if([aq_6_sr]=1,0,if([aq_6_sr]=2,0,if([aq_6_sr]=3,1,if([aq_6_sr]=4,1,'' ''))))","aq_6_score_sr"
"aq_7_score","Integer","","Recommended","AQ 7 Score - Score 1 point for Definitely or Slightly Agree","0;1","if([aq_7_sr]=1,1,if([aq_7_sr]=2,1,if([aq_7_sr]=3,0,if([aq_7_sr]=4,0,'' ''))))","aq_7_score_sr"
