"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","subject_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","dateofscan"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"scan_number","String","20","Recommended","Number ID from MRI Scanner","","",""
"protocol_name","String","100","Recommended","Protocol Name","","","study"
"number_trust","Integer","","Recommended","Number of items marked as trustworthy","","",""
"number_untrust","Integer","","Recommended","Number of items marked as untrustworthy","","",""
"number_skipped","Integer","","Recommended","Number of items skipped","","",""
"correct_trustid","Integer","","Recommended","Number of items correctly identified as trustworthy","","",""
"correct_untrustid","Integer","","Recommended","Number of items correctly identified as untrustworthy","","",""
"fp_trust","Integer","","Recommended","Number of items falsely identified as trustworthy","","",""
"fp_untrust","Integer","","Recommended","Number of items falsely identified as untrustworthy","","",""
"trust_1","Integer","","Recommended","Face 1: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_2","Integer","","Recommended","Face 2: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_3","Integer","","Recommended","Face 3: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_4","Integer","","Recommended","Face 4: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_5","Integer","","Recommended","Face 5: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_6","Integer","","Recommended","Face 6: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_7","Integer","","Recommended","Face 7: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_8","Integer","","Recommended","Face 8: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_9","Integer","","Recommended","Face 9: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_10","Integer","","Recommended","Face 10: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_11","Integer","","Recommended","Face 11: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_12","Integer","","Recommended","Face 12: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_13","Integer","","Recommended","Face 13: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_14","Integer","","Recommended","Face 14: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_15","Integer","","Recommended","Face 15: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_16","Integer","","Recommended","Face 16: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_17","Integer","","Recommended","Face 17: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_18","Integer","","Recommended","Face 18: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_19","Integer","","Recommended","Face 19: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_20","Integer","","Recommended","Face 20: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_21","Integer","","Recommended","Face 21: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_22","Integer","","Recommended","Face 22: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_23","Integer","","Recommended","Face 23: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_24","Integer","","Recommended","Face 24: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_25","Integer","","Recommended","Face 25: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_26","Integer","","Recommended","Face 26: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_27","Integer","","Recommended","Face 27: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_28","Integer","","Recommended","Face 28: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_29","Integer","","Recommended","Face 29: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_30","Integer","","Recommended","Face 30: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_31","Integer","","Recommended","Face 31: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_32","Integer","","Recommended","Face 32: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_33","Integer","","Recommended","Face 33: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_34","Integer","","Recommended","Face 34: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_35","Integer","","Recommended","Face 35: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_36","Integer","","Recommended","Face 36: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_37","Integer","","Recommended","Face 37: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_38","Integer","","Recommended","Face 38: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_39","Integer","","Recommended","Face 39: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_40","Integer","","Recommended","Face 40: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_41","Integer","","Recommended","Face 41: trustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_42","Integer","","Recommended","Face 42: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_43","Integer","","Recommended","Face 43: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_44","Integer","","Recommended","Face 44: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_45","Integer","","Recommended","Face 45: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_46","Integer","","Recommended","Face 46: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
"trust_47","Integer","","Recommended","Face 47: untrustworthy face","1::2","1 = trustworthy 2 = untrustworthy",""
