"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ssei01","Integer","","Recommended","I am better at sex than most other people.","1::5","1=Not at all like me; 2=Only a little like me; 3=Somewhat like me; 4=A lot like me; 5=Exactly like me",""
"ssei02","Integer","","Recommended","I am a pretty good sexual partner.","1::5","1=Not at all like me; 2=Only a little like me; 3=Somewhat like me; 4=A lot like me; 5=Exactly like me",""
"ssei03","Integer","","Recommended","I would rate myself pretty favorably as a sexual partner.","1::5","1=Not at all like me; 2=Only a little like me; 3=Somewhat like me; 4=A lot like me; 5=Exactly like me",""
"ssei04","Integer","","Recommended","I would be very confident in a sexual encounter.","1::5","1=Not at all like me; 2=Only a little like me; 3=Somewhat like me; 4=A lot like me; 5=Exactly like me",""
"ssei05","Integer","","Recommended","My sexual relationship(s) is very good compared to most.","1::5","1=Not at all like me; 2=Only a little like me; 3=Somewhat like me; 4=A lot like me; 5=Exactly like me",""
"ssei06","Integer","","Recommended","I am confident about myself as a sexual partner.","1::5","1=Not at all like me; 2=Only a little like me; 3=Somewhat like me; 4=A lot like me; 5=Exactly like me",""
"ssei07","Integer","","Recommended","I am very satisfied with my sexual relationship(s).","1::5","1=Not at all like me; 2=Only a little like me; 3=Somewhat like me; 4=A lot like me; 5=Exactly like me",""
"ssei08","Integer","","Recommended","I am very satisfied with the way my sexual needs are currently being met.","1::5","1=Not at all like me; 2=Only a little like me; 3=Somewhat like me; 4=A lot like me; 5=Exactly like me",""
"ssei09","Integer","","Recommended","My sexual relationship(s) meets my original expectations.","1::5","1=Not at all like me; 2=Only a little like me; 3=Somewhat like me; 4=A lot like me; 5=Exactly like me",""
"ssei10","Integer","","Recommended","I am very satisfied with the sexual aspects of my life.","1::5","1=Not at all like me; 2=Only a little like me; 3=Somewhat like me; 4=A lot like me; 5=Exactly like me",""
