"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"wsf_test","String","10","Recommended","Wechsler Test","WPPSI-R;WISC-III;WAIS-III","",""
"wsf_vocraw","Integer","","Required","Vocabulary Raw Score","0::66;-999","-999 = Missing value",""
"wsf_compraw","Integer","","Required","Comprehension Raw Score","0::33;-999","-999 = Missing value",""
"wsf_bdraw","Integer","","Required","Block Design Raw Score","0::69;-999","-999 = Missing value",""
"wsf_oaraw","Integer","","Required","Object Assembly Raw Score","0::51;-999","-999 = Missing value",""
"wsf_vocss","Integer","","Required","Vocabulary Scaled Score","1::19;-999","-999 = Missing value",""
"wsf_compss","Integer","","Required","Comprehension Scaled Score","1::19;-999","-999 = Missing value",""
"wsf_bdss","Integer","","Required","Block Design Scaled Score","1::19;-999","-999 = Missing value",""
"wsf_oass","Integer","","Required","Object Assembly Scaled Score","1::19;-999","-999 = Missing value",""
"wsf_fsiq","Integer","","Required","Full Scale IQ","39::161;-999","-999 = Missing value",""
"wsf_viq","Integer","","Required","Verbal IQ","39::161;-999","-999 = Missing value",""
"wsf_piq","Integer","","Required","Performance DQ","39::161;-999","-999 = Missing value",""
"wsf_vld","Integer","","Required","Validity","1;2;3","1 = Valid; 2 = Questionnable; 3 = Invalid",""
"wsf_vocae","Integer","","Recommended","Vocabulary Age Equiv","36::200;-999","-999 = Missing value",""
"wsf_compae","Integer","","Recommended","Comprehension Age Equiv","36::200;-999","-999 = Missing value",""
"wsf_bdae","Integer","","Recommended","Block Design Age Equiv","36::200;-999","-999 = Missing value",""
"wsf_oaae","Integer","","Recommended","Object Assembly Age Equiv","36::200;-999","-999 = Missing value",""
"wsf_vocaetxt","String","10","Recommended","Vocabulary Age Equiv (text)","","",""
"wsf_compaetxt","String","10","Recommended","Comprehension Age Equiv (text)","","",""
"wsf_bdaetxt","String","10","Recommended","Block Design Age Equiv (text)","","",""
"wsf_oaaetxt","String","10","Recommended","Object Assembly Age Equiv (text)","","",""
