"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cms_colonial1","Integer","","Recommended","I tend to divide Filipinos in America into two types: the FOBs (fresh-off-the-boat/newly arrived immigrants) and the Filipino Americans.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial2","Integer","","Recommended","There are situations where I feel inferior because of my ethnic/cultural background.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial3","Integer","","Recommended","I find persons with lighter skin-tones to be more attractive than persons with dark skin-tones.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial4","Integer","","Recommended","In general, I do not associate with newly-arrived Filipino immigrants.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial5","Integer","","Recommended","I do not want my children to be dark-skinned.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial6","Integer","","Recommended","Filipinos should feel privileged and honored that Spain and the United States had contact with them.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial7","Integer","","Recommended","There are situations where I feel that it is more advantageous or necessary to deny my ethnic/cultural heritage.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial8","Integer","","Recommended","The American ways of living or the American culture is generally more admirable, desirable, or better than the Filipino culture.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial9","Integer","","Recommended","There are situations where I feel ashamed of my ethnic/cultural background.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial10","Integer","","Recommended","I generally think that a person that is part white and part Filipino is more attractive than a full-blooded Filipino.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial11","Integer","","Recommended","I believe that Filipino Americans are superior, more admirable, and more civilized than Filipinos in the Philippines.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial12","Integer","","Recommended","In general, I am ashamed of newly arrived Filipino immigrants because of the way they dress and act.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial13","Integer","","Recommended","I find persons who have bridged noses (like Whites) as more attractive than persons with Filipino noses.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial14","Integer","","Recommended","I generally do not like newly-arrived Filipino immigrants.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial15","Integer","","Recommended","I would like to have a skin-tone that is lighter than the skin-tone I have.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial16","Integer","","Recommended","I think newly arrived immigrants should become as Americanized as quickly as possible.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial17","Integer","","Recommended","I would like to have children with light skin-tones.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial18","Integer","","Recommended","Spain and the United States are highly responsible for civilizing Filipinos and improving their ways of life.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial19","Integer","","Recommended","I think newly-arrived immigrant Filipinos are backwards, have accents, and act weird.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial20","Integer","","Recommended","I would like to have a nose that is more bridged (like Whites) than the nose I have.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial21","Integer","","Recommended","Filipinos should be thankful to Spain and the United States for transforming the Filipino ways of life into a White/European American ways of life.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial22","Integer","","Recommended","I tend to pay more attention to the opinions of Filipinos who are very Americanized than to the opinions of FOBs/newly-arrived immigrants.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial23","Integer","","Recommended","In general, Filipino Americans should be thankful and feel fortunate for being in the United States.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial24","Integer","","Recommended","In general, I feel that being a Filipino American is not as good as being White/European American.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial25","Integer","","Recommended","I do not want my children to have Filipino noses.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial26","Integer","","Recommended","In general, Filipino Americans do not have anything to complain about because they are lucky to be in the United States.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial27","Integer","","Recommended","I feel that there are very few things about the Filipino culture that I can be proud of.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial28","Integer","","Recommended","The colonization of the Philippines by Spain and the United States produced very little damage to the Filipino culture.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial29","Integer","","Recommended","In general, I feel that being Filipino is a curse.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial30","Integer","","Recommended","In general, I am ashamed of newly-arrived Filipino immigrants because of their inability to speak fluent, accent-free English.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial31","Integer","","Recommended","In general, I am embarrassed of the Filipino culture and traditions.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial32","Integer","","Recommended","In general, I make fun of, tease, or badmouth Filipinos who are not very Americanized in their behaviors.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial33","Integer","","Recommended","There are moments when I wish I was a member of a ethnic/cultural group that is different from my own.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial34","Integer","","Recommended","I make fun of, tease, or badmouth Filipinos who speak English with strong accents.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial35","Integer","","Recommended","In general, I feel ashamed of the Filipino culture and traditions.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_colonial36","Integer","","Recommended","In general, I feel that being a person of my ethnic/cultural background is not as good as being White.","1::6","1=Strongly Disagree; 2=Disagree; 3=Somewhat Disagree; 4=Somewhat Agree; 5=Agree; 6=Strongly Agree",""
"cms_intinferior","Float","","Recommended","Internalized Ethnic and Cultural Inferiority","","Average of cms_colonial2, cms_colonial7, cms_colonial9, cms_colonial24, cms_colonial36",""
"cms_culturalshame","Float","","Recommended","Cultural Shame and Embarrassment","","Average of cms_colonial27, cms_colonial29, cms_colonial31, cms_colonial33, cms_colonial35",""
"cms_wgdiscrim","Float","","Recommended","Within-Group Discrimination","","Average of cms_colonial1, cms_colonial4, cms_colonial11, cms_colonial12, cms_colonial14, cms_colonial16, cms_colonial19, cms_colonial22, cms_colonial30, cms_colonial32, cms_colonial34",""
"cms_physchar","Float","","Recommended","Physical Characteristics","","Average of cms_colonial3, cms_colonial5, cms_colonial10, cms_colonial13, cms_colonial15, cms_colonial17, cms_colonial20, cms_colonial25",""
"cms_cd","Float","","Recommended","Colonial Debt","","Average of cms_colonial6, cms_colonial8, cms_colonial18, cms_colonial21, cms_colonial23, cms_colonial26, cms_colonial28",""
