"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"father_prob_drugs","Integer","","Recommended","In your judgment, has your blood or natural father had/did your blood or natural father have problems with drugs at ANY time in his life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"mother_prob_drugs","Integer","","Recommended","Has your blood or natural mother had/did your blood or natural mother have problems with drugs at ANY time in her life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"num_full_bros","Integer","","Recommended","How many full brothers have you had who lived to be at least 10 years old, including those who are still living? By full brothers, I mean brothers who have the same natural mother AND the same natural father as you do.","","0 = None;- 9 = REFUSED OR DON'T KNOW",""
"brother_prob_drugs","Integer","","Recommended","Did your full brother have problems with drugs at ANY time in his life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"number_bros_prob_drugs","Integer","","Recommended","How many of your full brothers had problems with drugs at ANY time in their lives?","","-9 = REFUSED OR DON'T KNOW",""
"num_full_sis","Integer","","Recommended","How many full sisters have you had who lived to be at least 10 years old, including those who are still living? By full sisters, I mean sisters who have the same natural mother AND the same natural father as you do.","","0 = None; -9 = REFUSED OR DON'T KNOW",""
"sister_prob_drugs","Integer","","Recommended","Did your full sister(s) have problems with drugs at ANY time in her life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"number_sisters_prob_drugs","Integer","","Recommended","How many of your full sisters had problems with drugs at ANY time in their lives?","","-9 = REFUSED OR DON'T KNOW",""
"num_natural_sons","Integer","","Recommended","How many natural sons have you had who lived to be at least 10 years old, including those who are still living? By natural, I mean those who you (biologically fathered/gave birth to.)","","0 = None; -9 = REFUSED OR DON'T KNOW",""
"son_prob_drugs","Integer","","Recommended","Did your natural son have problems with drugs at ANY time in his life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"number_sons_prob_drugs","Integer","","Recommended","How many of your natural son(s) had problems with drugs at ANY time in their lives?","","-9 = REFUSED OR DON'T KNOW",""
"num_natural_dau","Integer","","Recommended","How many natural daughters have you had who lived to be at least 10 years old, including those who are still living? By natural, I mean those who you (biologically fathered/gave birth to.)","","0 = None; -9 = REFUSED OR DON'T KNOW",""
"daughters_prob_drugs","Integer","","Recommended","Did your natural daughter have problems with drugs at ANY time in her life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"number_daughters_prob_drugs","Integer","","Recommended","How many of your natural daughters had problems with drugs at ANY time in their lives?","","-9 = REFUSED OR DON'T KNOW",""
"num_natural_pat_uncles","Integer","","Recommended","How many full brothers did your natural father have who lived to be at least 10 years old, including those who are still alive? By full brothers, I mean those who had the SAME TWO natural or blood parents as your father.","","0 = None; -9 = REFUSED OR DON'T KNOW",""
"pat_uncle_prob_drugs","Integer","","Recommended","Did your natural father's full brother have problems with drugs at ANY time in his life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"number_pat_uncles_prob_drugs","Integer","","Recommended","How many of your natural father's full brothers had problems with drugs at ANY time in their lives?","","-9 = REFUSED OR DON'T KNOW",""
"num_natural_pat_aunts","Integer","","Recommended","How many full sisters did your natural father have who lived to be at least 10 years old, including those who are still living? By full sisters, I mean those who had the SAME TWO natural or blood parents as your father.","","0 = None; -9 = REFUSED OR DON'T KNOW",""
"pat_aunt_prob_drugs","Integer","","Recommended","Did your natural father's full sister have problems with drugs at ANY time in her life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"number_pat_aunts_prob_drugs","Integer","","Recommended","How many of your natural father's full sisters had problems with drugs at ANY time in their lives?","","-9 = REFUSED OR DON'T KNOW",""
"num_natural_mat_uncles","Integer","","Recommended","How many full brothers did your natural mother have who lived to be at least 10 years old, including those who are still living? By full brothers, I mean those who had the SAME TWO natural or blood parents as your mother.","","0 = None; -9 = REFUSED OR DON'T KNOW",""
"mat_uncle_prob_drugs","Integer","","Recommended","Did your natural mother's full brother have problems with drugs at ANY time in his life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"number_mat_uncles_prob_drugs","Integer","","Recommended","How many of your natural mother's full brothers had problems with drugs at ANY time in their lives?","","-9 = REFUSED OR DON'T KNOW",""
"num_natural_mat_aunts","Integer","","Recommended","How many full sisters did your natural mother have who lived to be at least 10 years old, including those who are still alive? By full sisters, I mean those who had the SAME TWO natural or blood parents as your mother.","","0 = None; -9 = REFUSED OR DON'T KNOW",""
"mat_aunt_prob_drugs","Integer","","Recommended","Did your natural mother's full sister have problems with drugs at ANY time in her life?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"number_mat_aunts_prob_drugs","Integer","","Recommended","How many of your natural mother's full sisters had problems with drugs at ANY time in their lives?","","-9 = REFUSED OR DON'T KNOW",""
"pat_grandfather_prob_drugs","Integer","","Recommended","Did your natural grandfather on your father's side have problems with drugs at ANY time in his life? By natural grandfather on your father's side, I mean your father's natural or blood father.","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"pat_grandmother_prob_drugs","Integer","","Recommended","Did your natural grandmother on your father's side have problems with drugs at ANY time in her life? By natural grandmother on your father's side, I mean your father's natural or blood mother.","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"mat_grandfather_prob_drugs","Integer","","Recommended","Did your natural grandfather on your mother's side have problems with drugs at ANY time in his life? By natural grandfather on your mother's side, I mean your mother's natural or blood father.","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"mat_grandmother_prob_drugs","Integer","","Recommended","Did your natural grandmother on your mother's side have problems with drugs at ANY time in her life? By natural grandmother on your mother's side, I mean your mother's natural or blood mother.","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"married_to_some1_prob_drugs","Integer","","Recommended","Were you EVER married to someone who had problems with drugs?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"current_spouse_prob_drugs","Integer","","Recommended","Is that your current (husband/wife)?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"current_spouse_prob_drugs_now","Integer","","Recommended","Would you say that (he/she) has problems with drugs at this time?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"live_with_some1_asif","Integer","","Recommended","Did you EVER live with someone as if you were married?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"live_w_some1_prob_drugs","Integer","","Recommended","Did you EVER live as if married with someone who had problems with drugs?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"live_w_some1_now_prob_drugs","Integer","","Recommended","Is that the person you live with now?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
"live_w_some1_prob_drugs_cur","Integer","","Recommended","Would you say that (he/she) has drug problems at this time?","1;2;7","1 = Yes; 2 = No; 7 = Refused OR Don't Know",""
