"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","date_raven2"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","","version"
"currschool","String","255","Recommended","Current school","","",""
"currgradelevel","String","50","Recommended","Current grade level","","",""
"totaltime","String","20","Recommended","Total time taken for testing","","","ravens_std_time"
"rv_a1_answer","Integer","","Recommended","Answer provided for A1","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_a1_answer"
"rv_a1_score","Integer","","Recommended","Score calculated for A1","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_a1_score"
"rv_a2_answer","Integer","","Recommended","Answer provided for A2","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_a2_answer"
"rv_a2_score","Integer","","Recommended","Score calculated for A2","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_a2_score"
"rv_a3_answer","Integer","","Recommended","Answer provided for A3","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_a3_answer"
"rv_a3_score","Integer","","Recommended","Score calculated for A3","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_a3_score"
"rv_a4_answer","Integer","","Recommended","Answer provided for A4","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_a4_answer"
"rv_a4_score","Integer","","Recommended","Score calculated for A4","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_a4_score"
"rv_a5_answer","Integer","","Recommended","Answer provided for A5","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_a5_answer"
"rv_a5_score","Integer","","Recommended","Score calculated for A5","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_a5_score"
"rv_a6_answer","Integer","","Recommended","Answer provided for A6","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_a6_answer"
"rv_a6_score","Integer","","Recommended","Score calculated for A6","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_a6_score"
"rv_a7_answer","Integer","","Recommended","Answer provided for A7","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_a7_answer"
"rv_a7_score","Integer","","Recommended","Score calculated for A7","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_a7_score"
"rv_a8_answer","Integer","","Recommended","Answer provided for A8","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_a8_answer"
"rv_a8_score","Integer","","Recommended","Score calculated for A8","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_a8_score"
"rv_a9_answer","Integer","","Recommended","Answer provided for A9","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_a9_answer"
"rv_a9_score","Integer","","Recommended","Score calculated for A9","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_a9_score"
"rv_a10_answer","Integer","","Recommended","Answer provided for A10","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_a10_answer"
"rv_a10_score","Integer","","Recommended","Score calculated for A10","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_a10_score"
"rv_a11_answer","Integer","","Recommended","Answer provided for A11","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_a11_answer"
"rv_a11_score","Integer","","Recommended","Score calculated for A11","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_a11_score"
"rv_a12_answer","Integer","","Recommended","Answer provided for A12","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_a12_answer"
"rv_a12_score","Integer","","Recommended","Score calculated for A12","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_a12_score"
"rv_b1_answer","Integer","","Recommended","Answer provided for B1","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_b1_answer"
"rv_b1_score","Integer","","Recommended","Score provided for B1","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_b1_score"
"rv_b2_answer","Integer","","Recommended","Answer provided for B2","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_b2_answer"
"rv_b2_score","Integer","","Recommended","Score provided for B2","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_b2_score"
"rv_b3_answer","Integer","","Recommended","Answer provided for B3","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_b3_answer"
"rv_b3_score","Integer","","Recommended","Score provided for B3","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_b3_score"
"rv_b4_answer","Integer","","Recommended","Answer provided for B4","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_b4_answer"
"rv_b4_score","Integer","","Recommended","Score provided for B4","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_b4_score"
"rv_b5_answer","Integer","","Recommended","Answer provided for B5","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_b5_answer"
"rv_b5_score","Integer","","Recommended","Score provided for B5","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_b5_score"
"rv_b6_answer","Integer","","Recommended","Answer provided for B6","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_b6_answer"
"rv_b6_score","Integer","","Recommended","Score provided for B6","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_b6_score"
"rv_b7_answer","Integer","","Recommended","Answer provided for B7","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_b7_answer"
"rv_b7_score","Integer","","Recommended","Score provided for B7","0;1;444;555;999","0= Incorrect; 1 = Correct; 444 = Missing; 555 = Not applicable/Not asked","rv_s_b7_score"
"rv_b8_answer","Integer","","Recommended","Answer provided for B8","1::6;444;555;999","444 = Missing; 555 = Not applicable/Not asked","rv_s_b8_answer"
