"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"promis_sfsat101","Integer","","Recommended","In the past 30 days, how satisfied have you been with your sex life?","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_sfsat102","Integer","","Recommended","In the past 30 days, how much pleasure has your sex life given you?","1::5","1 = None; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = A lot",""
"promis_sfsat103","Integer","","Recommended","In the past 30 days, how often have you thought that your sex life is wonderful?","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_sfsat104","Integer","","Recommended","In the past 30 days, how satisfied have you been with your sexual relationship with a partner?","0::5","0 = Have not had a partner in the past 30 days; 1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very",""
"promis_sfsat105","Integer","","Recommended","In the past 30 days, when you have had sexual activity, how much have you enjoyed it?","0::5","0 = Have not had sexual activity in the past 30 days; 1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_sfsat106","Integer","","Recommended","In the past 30 days, when you have had sexual activity, how satisfying has it been?","0::5","0 = Have not had sexual activity in the past 30 days; 1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_sfsat001","Integer","","Recommended","In the past 30 days, I am satisfied with my sex life.","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_sfsat_tscore","Float","","Recommended","PROMIS Global Satisfaction with Sex Life: Final T-score","","999 = Missing",""
"promis_sfsat_raw","Integer","","Recommended","PROMIS Global Satisfaction with Sex Life: Final Raw Score","4::35;999","999 = Missing",""
