"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"enc_1","Integer","","Recommended","I am in regular contact with my family in the Philippines through telephone calls, email, mail, or texting","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_2","Integer","","Recommended","Failing to recognize someone's social status or family standing is offensive","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_3","Integer","","Recommended","I always listen to those in positions of authority","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_4","Integer","","Recommended","I visit the Philippines often","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_5","Integer","","Recommended","When my doctor gives me treatments or recommendations, I tend to be afraid or ashamed to ask questions","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_6","Integer","","Recommended","Children should give unquestioning respect and obedience to their elders and authority figures","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_7","Integer","","Recommended","I would like to retire in the Philippines","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_8","Integer","","Recommended","Instead of confronting someone face to face, I would rather talk about this person behind his or her back","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_9","Integer","","Recommended","Praying cannot help cure illness","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_10","Integer","","Recommended","I always celebrate Rizal Day (December 30th)","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_11","Integer","","Recommended","If I am unsure about how much I need to repay someone who has done me a favor, I keep trying to pay back the favor so that I do not look ungrateful","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_12","Integer","","Recommended","Going to church is not very important to me","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_13","Integer","","Recommended","I am familiar with many important events in Filipino history","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_14","Integer","","Recommended","My behavior is determined by what other will say, think, or do","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_15","Integer","","Recommended","Parents must teach children the importance of religion","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_16","Integer","","Recommended","I prefer to see a Pilipino(a) physician","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_17","Integer","","Recommended","A personal failure is a letdown for the entire family","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_18","Integer","","Recommended","Committing suicide is a mortal sin","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_19","Integer","","Recommended","I greet the elderly by gently placing the back of their hand on my forehead and saying 'mano po' (kissing the hand)","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_20","Integer","","Recommended","I try to please others, even if it is inconvenient to myself","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_21","Integer","","Recommended","Children are a blessing and gifts of God","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_22","Integer","","Recommended","When speaking with elders, I address them with 'po' or 'ho'","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_23","Integer","","Recommended","Using a third party is a good way to avoid the shame of making a request or a complaint face to face","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_24","Integer","","Recommended","I leave things to God's will","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_25","Integer","","Recommended","I frequently read Filipino newspapers/ magazines/ books","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_26","Integer","","Recommended","I may say I understand something, even when I only partly understand the instructions or what is being said","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_27","Integer","","Recommended","One must obey parental advice on education and money","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_28","Integer","","Recommended","While I currently do not live there, I consider the Philippines my home","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_29","Integer","","Recommended","I would give a job to a relative or friend, before giving it to a more qualified person that I did not know","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
"enc_30","Integer","","Recommended","Siblings should respect the decisions and instructions of older siblings","1::6","1=Strongly Disagree; 2=Somewhat Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Somewhat Agree; 6=Strongly Agree",""
