"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bfi_pdmm_1","Integer","","Recommended","Bashful","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_2","Integer","","Recommended","Bold","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_3","Integer","","Recommended","Careless","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_4","Integer","","Recommended","Cold","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_5","Integer","","Recommended","Complex","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_6","Integer","","Recommended","Cooperative","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_7","Integer","","Recommended","Creative","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_8","Integer","","Recommended","Deep","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_9","Integer","","Recommended","Disorganized","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_10","Integer","","Recommended","Efficient","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_11","Integer","","Recommended","Energetic","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_12","Integer","","Recommended","Envious","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_13","Integer","","Recommended","Extraverted","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_14","Integer","","Recommended","Fretful","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_15","Integer","","Recommended","Harsh","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_16","Integer","","Recommended","Imaginative","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_17","Integer","","Recommended","Inefficient","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_18","Integer","","Recommended","Intellectual","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_19","Integer","","Recommended","Jealous","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_20","Integer","","Recommended","Kind","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_21","Integer","","Recommended","Moody","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_22","Integer","","Recommended","Organized","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_23","Integer","","Recommended","Philosophical","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_24","Integer","","Recommended","Practical","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_25","Integer","","Recommended","Quiet","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_26","Integer","","Recommended","Relaxed","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_27","Integer","","Recommended","Rude","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_28","Integer","","Recommended","Shy","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_29","Integer","","Recommended","Sloppy","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_30","Integer","","Recommended","Sympathetic","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_31","Integer","","Recommended","Systematic","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_32","Integer","","Recommended","Talkative","1::9","1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_33","Integer","","Recommended","Temperamental","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
"bfi_pdmm_34","Integer","","Recommended","Touchy","1::9","NEGATIVELY LOADED; 1 = Extremely inaccurate; 2 = Very inaccurate; 3 = Moderately inaccurate; 4 = Slightly inaccurate; 5 = Neither inaccurate nor accurate; 6 = Slightly accurate; 7 = Moderately accurate; 8 = Very accurate; 9 = Extremely accurate",""
