"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","effort_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"version","String","20","Recommended","Version/code of assessment","","",""
"reward_sensitivity_beta","Float","","Required","Beta value for reward sensitivity. Reward magnitud (RM_beta)","","999 = Missing",""
"e_20_rew1","Float","","Recommended","probability of effortful choice at effort level 20 with potential reward of $1.50","","",""
"e_20_rew2","Float","","Recommended","probability of effortful choice at effort level 20 with potential reward of $2","","",""
"e_20_rew3","Float","","Recommended","probability of effortful choice at effort level 20 with potential reward of $2.50","","",""
"e_20_rew4","Float","","Recommended","probability of effortful choice at effort level 20 with potential reward of $3","","",""
"e_20_rew5","Float","","Recommended","probability of effortful choice at effort level 20 with potential reward of $5","","",""
"e_30_rew1","Float","","Recommended","probability of effortful choice at effort level 30 with potential reward of $1.50","","",""
"e_30_rew2","Float","","Recommended","probability of effortful choice at effort level 30 with potential reward of $2","","",""
"e_30_rew3","Float","","Recommended","probability of effortful choice at effort level 30 with potential reward of $2.50","","",""
"e_30_rew4","Float","","Recommended","probability of effortful choice at effort level 30 with potential reward of $3","","",""
"e_30_rew5","Float","","Recommended","probability of effortful choice at effort level 30 with potential reward of $5","","",""
"e_40_rew1","Float","","Recommended","probability of effortful choice at effort level 40 with potential reward of $1.50","","",""
"e_40_rew2","Float","","Recommended","probability of effortful choice at effort level 40 with potential reward of $2","","",""
"e_40_rew3","Float","","Recommended","probability of effortful choice at effort level 40 with potential reward of $2.50","","",""
"e_40_rew4","Float","","Recommended","probability of effortful choice at effort level 40 with potential reward of $3","","",""
"e_40_rew5","Float","","Recommended","probability of effortful choice at effort level 40 with potential reward of $5","","",""
"e_60_rew1","Float","","Recommended","probability of effortful choice at effort level 60 with potential reward of $1.50","","",""
"e_60_rew2","Float","","Recommended","probability of effortful choice at effort level 60 with potential reward of $2","","",""
"e_60_rew3","Float","","Recommended","probability of effortful choice at effort level 60 with potential reward of $2.50","","",""
"e_60_rew4","Float","","Recommended","probability of effortful choice at effort level 60 with potential reward of $3","","",""
"e_60_rew5","Float","","Recommended","probability of effortful choice at effort level 60 with potential reward of $5","","",""
"e_80_rew1","Float","","Recommended","probability of effortful choice at effort level 80 with potential reward of $1.50","","",""
"e_80_rew2","Float","","Recommended","probability of effortful choice at effort level 80 with potential reward of $2","","",""
"e_80_rew3","Float","","Recommended","probability of effortful choice at effort level 80 with potential reward of $2.50","","",""
"e_80_rew4","Float","","Recommended","probability of effortful choice at effort level 80 with potential reward of $3","","",""
"e_80_rew5","Float","","Recommended","probability of effortful choice at effort level 80 with potential reward of $5","","",""
"breaks","Integer","","Recommended","Number of breaks","","",""
"num_trials","Integer","","Recommended","Number of trials completed","","-999=NA or Missing",""
"squeeze_time","Float","","Recommended","Length of time a participant needed to squeeze grip device for it to count as a successful squueze","","",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"data_file1","File","255","Recommended","Data file 1","","",""
