"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pps_size_neutral","Float","","Recommended","The size of peripersonal space in the neutral condition during VR (Virtual Reality) tasks","0::2","",""
"pps_size_friendly","Float","","Recommended","The size of peripersonal space in the friendly condition during VR (Virtual Reality) tasks","0::2","",""
"pps_size_threatening","Float","","Recommended","The size of peripersonal space in the threatening condition during VR (Virtual Reality) tasks","0::2","",""
"pps_slope_neutral","Float","","Recommended","The slope of peripersonal space in the neutral condition during VR (Virtual Reality) tasks","0::1","",""
"pps_slope_friendly","Float","","Recommended","The slope of peripersonal space in the friendly condition during VR (Virtual Reality) tasks","0::1","",""
"pps_slope_threatening","Float","","Recommended","The slope of peripersonal space in the threatening condition during VR (Virtual Reality) tasks","0::1","",""
"ipd_passive_friendly","Float","","Recommended","The interpersonal distance in the friendly condition during passive VR (Virtual Reality) tasks","0::6","",""
"ipd_passive_threatening","Float","","Recommended","The interpersonal distance in the threatening condition during passive VR (Virtual Reality) tasks","0::6","",""
"ipd_active_freindly","Float","","Recommended","The interpersonal distance in the friendly condition during active VR (Virtual Reality) tasks","0::6","",""
"ipd_active_threatening","Float","","Recommended","The interpersonal distance in the threatening condition during active VR (Virtual Reality) tasks","0::6","",""
