"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"ddeb_01a","Integer","","Recommended","1. I tried hard to get rid of all the chips...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_01b","Integer","","Recommended","1. I tried hard to get rid of all the chips...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_02a","Integer","","Recommended","2. I played a non-matching chip only if I had no other choice...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_02b","Integer","","Recommended","2. I played a non-matching chip only if I had no other choice...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_03a","Integer","","Recommended","3. I had a defined strategy and I stuck to it during most games...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_03b","Integer","","Recommended","3. I had a defined strategy and I stuck to it during most games...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_04a","Integer","","Recommended","4. I didn't care when a non-matching chip was challenged...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_04b","Integer","","Recommended","4. I didn't care when a non-matching chip was challenged...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_05a","Integer","","Recommended","5. I was afraid I would be challenged when I played a matching chip...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_05b","Integer","","Recommended","5. I was afraid I would be challenged when I played a matching chip...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_06a","Integer","","Recommended","6. I was calm when I played a non-matching chip...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_06b","Integer","","Recommended","6. I was calm when I played a non-matching chip...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_07a","Integer","","Recommended","7. I usually chose the next chip to play according to my opponent's last moves...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_07b","Integer","","Recommended","7. I usually chose the next chip to play according to my opponent's last moves...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_08a","Integer","","Recommended","8. I felt satisfied when a matching chip was challenged...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_08b","Integer","","Recommended","8. I felt satisfied when a matching chip was challenged...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_09a","Integer","","Recommended","9. I didn't want to be challenged when I played a non- matching chip...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_09b","Integer","","Recommended","9. I didn't want to be challenged when I played a non- matching chip...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_10a","Integer","","Recommended","10. I felt upset when a non-matching chip was challenged...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_10b","Integer","","Recommended","10. I felt upset when a non-matching chip was challenged...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_11a","Integer","","Recommended","11. I did everything I could to win the game...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_11b","Integer","","Recommended","11. I did everything I could to win the game...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_12a","Integer","","Recommended","12. I felt proud when I played a matching chip...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_12b","Integer","","Recommended","12. I felt proud when I played a matching chip...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_13a","Integer","","Recommended","13. I was glad when I played a non-matching chip...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_13b","Integer","","Recommended","13. I was glad when I played a non-matching chip...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_14a","Integer","","Recommended","14. I didn't care when a non-matching chip was not challenged...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_14b","Integer","","Recommended","14. I didn't care when a non-matching chip was not challenged...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_15a","Integer","","Recommended","15. When my opponent didn't challenge me I tended to pick a matching chip in my next step...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_15b","Integer","","Recommended","15. When my opponent didn't challenge me I tended to pick a matching chip in my next step...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_16a","Integer","","Recommended","16. I was calm when I played a matching chip...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_16b","Integer","","Recommended","16. I was calm when I played a matching chip...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_17a","Integer","","Recommended","17. I didn't care when a matching chip was not challenged...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_17b","Integer","","Recommended","17. I didn't care when a matching chip was not challenged...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_18a","Integer","","Recommended","18. I was afraid I would be challenged when I played a non-matching chip...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_18b","Integer","","Recommended","18. I was afraid I would be challenged when I played a non-matching chip...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_19a","Integer","","Recommended","19. I picked up the domino chips randomly...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_19b","Integer","","Recommended","19. I picked up the domino chips randomly...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_20a","Integer","","Recommended","20. I didn't care when a matching chip was challenged...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_20b","Integer","","Recommended","20. I didn't care when a matching chip was challenged...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_21a","Integer","","Recommended","21. I didn't care about losing the game...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_21b","Integer","","Recommended","21. I didn't care about losing the game...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_22a","Integer","","Recommended","22. I was glad when I played a matching chip...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_22b","Integer","","Recommended","22. I was glad when I played a matching chip...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_23a","Integer","","Recommended","23. I felt upset when a matching chip was not challenged...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_23b","Integer","","Recommended","23. I felt upset when a matching chip was not challenged...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_24a","Integer","","Recommended","24. I only played the chips after choosing them first...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_24b","Integer","","Recommended","24. I only played the chips after choosing them first...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_25a","Integer","","Recommended","25. I wanted to be challenged when I played a matching chip...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_25b","Integer","","Recommended","25. I wanted to be challenged when I played a matching chip...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_26a","Integer","","Recommended","26. I took my opponent's last moves into account before deciding which chip to play next...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_26b","Integer","","Recommended","26. I took my opponent's last moves into account before deciding which chip to play next...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_27a","Integer","","Recommended","27. I usually played the first available chip...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_27b","Integer","","Recommended","27. I usually played the first available chip...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_28a","Integer","","Recommended","28. I wanted to be challenged when I played a non-matching chip...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_28b","Integer","","Recommended","28. I wanted to be challenged when I played a non-matching chip...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_29a","Integer","","Recommended","29. I felt upset when a non-matching chip was challenged...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_29b","Integer","","Recommended","29. I felt upset when a non-matching chip was challenged...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_30a","Integer","","Recommended","30. I felt glad when a matching chip was challenged...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_30b","Integer","","Recommended","30. I felt glad when a matching chip was challenged...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_31a","Integer","","Recommended","31. I didn't want to win the game...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_31b","Integer","","Recommended","31. I didn't want to win the game...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_32a","Integer","","Recommended","32. I was anxious when I played a non-matching chip...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_32b","Integer","","Recommended","32. I was anxious when I played a non-matching chip...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_33a","Integer","","Recommended","33. I felt ashamed when a non-matching chip was challenged...Human","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
"ddeb_33b","Integer","","Recommended","33. I felt ashamed when a non-matching chip was challenged...Computer","1::5","1= doesn't apply to you at all; 2; 3; 4; 5= it applies to you very much",""
