"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sgses_1","Integer","","Recommended","When I make plans, I am certain I can make them work","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"sgses_2","Integer","","Recommended","One of my problems is that I cannot get down to work when I should","1::5","1=Strongly Agree; 2=Agree; 3=Neither Agree nor Disagree; 4=Disagree; 5=Strongly Disagree",""
"sgses_3","Integer","","Recommended","If I can't do a job the first time I keep trying until I can","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"sgses_4","Integer","","Recommended","When I set important goals for myself, I rarely achieve them","1::5","1=Strongly Agree; 2=Agree; 3=Neither Agree nor Disagree; 4=Disagree; 5=Strongly Disagree",""
"sgses_5","Integer","","Recommended","I give up on things before completing them","1::5","1=Strongly Agree; 2=Agree; 3=Neither Agree nor Disagree; 4=Disagree; 5=Strongly Disagree",""
"sgses_6","Integer","","Recommended","I avoid facing difficulties","1::5","1=Strongly Agree; 2=Agree; 3=Neither Agree nor Disagree; 4=Disagree; 5=Strongly Disagree",""
"sgses_7","Integer","","Recommended","If something looks too complicated, I will not even bother to try it","1::5","1=Strongly Agree; 2=Agree; 3=Neither Agree nor Disagree; 4=Disagree; 5=Strongly Disagree",""
"sgses_8","Integer","","Recommended","When I have something unpleasant to do, I stick to it until I finish it","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"sgses_9","Integer","","Recommended","When I decide to do something new, I go right to work on it","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"sgses_10","Integer","","Recommended","When trying to learn something new, I soon give up if I am not initially successful","1::5","1=Strongly Agree; 2=Agree; 3=Neither Agree nor Disagree; 4=Disagree; 5=Strongly Disagree",""
"sgses_11","Integer","","Recommended","When unexpected problems occur, I don't handle them well","1::5","1=Strongly Agree; 2=Agree; 3=Neither Agree nor Disagree; 4=Disagree; 5=Strongly Disagree",""
"sgses_12","Integer","","Recommended","I avoid trying to learn new things when they look too difficult for me","1::5","1=Strongly Agree; 2=Agree; 3=Neither Agree nor Disagree; 4=Disagree; 5=Strongly Disagree",""
"sgses_13","Integer","","Recommended","Failure just makes me try harder","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"sgses_14","Integer","","Recommended","I feel insecure about my ability to do things","1::5","1=Strongly Agree; 2=Agree; 3=Neither Agree nor Disagree; 4=Disagree; 5=Strongly Disagree",""
"sgses_15","Integer","","Recommended","I am a self-reliant person","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"sgses_16","Integer","","Recommended","I give up easily","1::5","1=Strongly Agree; 2=Agree; 3=Neither Agree nor Disagree; 4=Disagree; 5=Strongly Disagree",""
"sgses_17","Integer","","Recommended","I do not seem capable of dealing with most problems that come up in life","1::5","1=Strongly Agree; 2=Agree; 3=Neither Agree nor Disagree; 4=Disagree; 5=Strongly Disagree",""
"ssses_1","Integer","","Recommended","It is difficult for me to make new friends","1::5","1=Strongly Agree; 2=Agree; 3=Neither Agree nor Disagree; 4=Disagree; 5=Strongly Disagree",""
"ssses_2","Integer","","Recommended","If I see someone I would like to meet, I go to that person instead of waiting for him or her to come to me","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"ssses_3","Integer","","Recommended","If I meet someone interesting who is hard to make friends with, I'll soon stop trying to make friends with that person","1::5","1=Strongly Agree; 2=Agree; 3=Neither Agree nor Disagree; 4=Disagree; 5=Strongly Disagree",""
"ssses_4","Integer","","Recommended","When I'm trying to become friends with someone who seems uninterested at first, I don't give up easily","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"ssses_5","Integer","","Recommended","I do not handle myself well in social gatherings","1::5","1=Strongly Agree; 2=Agree; 3=Neither Agree nor Disagree; 4=Disagree; 5=Strongly Disagree",""
"ssses_6","Integer","","Recommended","I have acquired my friends through my personal abilities at making friends","1::5","1=Strongly Disagree; 2=Disagree; 3=Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
