"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"promis_smkcop01","Integer","","Recommended","I rely on smoking to deal with stress.","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_smkcop10","Integer","","Recommended","Smoking helps me deal with anxiety.","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_smkcop11","Integer","","Recommended","Smoking calms me down.","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_smkcop12","Integer","","Recommended","I am tempted to smoke when I am anxious.","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_smkcop02","Integer","","Recommended","When I'm angry, a cigarette can calm me down.","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_smkcop03","Integer","","Recommended","Smoking allows me to take a break from my problems for a few minutes.","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_smkcop04","Integer","","Recommended","I am tempted to smoke when I feel depressed.","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_smkcop06","Integer","","Recommended","When I'm upset with someone, a cigarette helps me cope.","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_smkcop07","Integer","","Recommended","Smoking helps me when I'm upset about something.","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_smkcop08","Integer","","Recommended","Smoking helps me reduce tension.","1::5","1 = Not at all; 2 = A little bit; 3 = Somewhat; 4 = Quite a bit; 5 = Very much",""
"promis_smkcop09","Integer","","Recommended","When I am worrying about something, a cigarette is helpful.","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Always",""
"promis_smkcop_tscore","Float","","Recommended","PROMIS Smoking Coping Expectancies: Final T-score","","999 = Missing",""
"promis_smkcop_raw","Integer","","Recommended","PROMIS Smoking Coping Expectancies: Final Raw Score","11::55;999","999 = Missing",""
