"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"currentlevel","Integer","","Recommended","Current Grade Level","","",""
"version_form","String","121","Recommended","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2",""
"site","String","101","Recommended","Site","","Study Site",""
"completed","Integer","","Recommended","Checks if completed","0::3","0=No; 1=Yes; 2=Yes, lost; 3=Unverified",""
"comp_assess","Integer","","Recommended","Please indicated when assessment completed","1::3;-9","1=Pre-infusion; 2=Post-infusion; 3=Follow-up Visit; -9=Unknown",""
"sort_p_01","Integer","","Recommended","Did the student pronounce the following word correctly? see","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_02","Integer","","Recommended","Did the student pronounce the following word correctly? look","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_03","Integer","","Recommended","Did the student pronounce the following word correctly? mother","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_04","Integer","","Recommended","Did the student pronounce the following word correctly? little","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_05","Integer","","Recommended","Did the student pronounce the following word correctly? here","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_06","Integer","","Recommended","Did the student pronounce the following word correctly? can","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_07","Integer","","Recommended","Did the student pronounce the following word correctly? want","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_08","Integer","","Recommended","Did the student pronounce the following word correctly? come","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_09","Integer","","Recommended","Did the student pronounce the following word correctly? one","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_10","Integer","","Recommended","Did the student pronounce the following word correctly? baby","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_11","Integer","","Recommended","Did the student pronounce the following word correctly? three","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_12","Integer","","Recommended","Did the student pronounce the following word correctly? run","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_13","Integer","","Recommended","Did the student pronounce the following word correctly? jump","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_14","Integer","","Recommended","Did the student pronounce the following word correctly? down","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_15","Integer","","Recommended","Did the student pronounce the following word correctly? is","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_16","Integer","","Recommended","Did the student pronounce the following word correctly? up","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_17","Integer","","Recommended","Did the student pronounce the following word correctly? make","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_18","Integer","","Recommended","Did the student pronounce the following word correctly? ball","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_19","Integer","","Recommended","Did the student pronounce the following word correctly? help","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_p_20","Integer","","Recommended","Did the student pronounce the following word correctly? play","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_01","Integer","","Recommended","Did the student pronounce the following word correctly? with","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_02","Integer","","Recommended","Did the student pronounce the following word correctly? friends","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_03","Integer","","Recommended","Did the student pronounce the following word correctly? came","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_04","Integer","","Recommended","Did the student pronounce the following word correctly? horse","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_05","Integer","","Recommended","Did the student pronounce the following word correctly? ride","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_06","Integer","","Recommended","Did the student pronounce the following word correctly? under","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_07","Integer","","Recommended","Did the student pronounce the following word correctly? was","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_08","Integer","","Recommended","Did the student pronounce the following word correctly? what","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_09","Integer","","Recommended","Did the student pronounce the following word correctly? bump","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_10","Integer","","Recommended","Did the student pronounce the following word correctly? live","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_11","Integer","","Recommended","Did the student pronounce the following word correctly? very","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_12","Integer","","Recommended","Did the student pronounce the following word correctly? puppy","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_13","Integer","","Recommended","Did the student pronounce the following word correctly? dark","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_14","Integer","","Recommended","Did the student pronounce the following word correctly? first","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_15","Integer","","Recommended","Did the student pronounce the following word correctly? wish","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_16","Integer","","Recommended","Did the student pronounce the following word correctly? basket","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_17","Integer","","Recommended","Did the student pronounce the following word correctly? food","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_18","Integer","","Recommended","Did the student pronounce the following word correctly? road","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_19","Integer","","Recommended","Did the student pronounce the following word correctly? hill","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_001_20","Integer","","Recommended","Did the student pronounce the following word correctly? along","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_01","Integer","","Recommended","Did the student pronounce the following word correctly? game","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_02","Integer","","Recommended","Did the student pronounce the following word correctly? hide","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_03","Integer","","Recommended","Did the student pronounce the following word correctly? grass","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_04","Integer","","Recommended","Did the student pronounce the following word correctly? across","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_05","Integer","","Recommended","Did the student pronounce the following word correctly? around","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_06","Integer","","Recommended","Did the student pronounce the following word correctly? breakfast","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_07","Integer","","Recommended","Did the student pronounce the following word correctly? field","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_08","Integer","","Recommended","Did the student pronounce the following word correctly? large","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_09","Integer","","Recommended","Did the student pronounce the following word correctly? better","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_10","Integer","","Recommended","Did the student pronounce the following word correctly? suddenly","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_11","Integer","","Recommended","Did the student pronounce the following word correctly? happen","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_12","Integer","","Recommended","Did the student pronounce the following word correctly? farmer","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_13","Integer","","Recommended","Did the student pronounce the following word correctly? river","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_14","Integer","","Recommended","Did the student pronounce the following word correctly? lunch","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_15","Integer","","Recommended","Did the student pronounce the following word correctly? sheep","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_16","Integer","","Recommended","Did the student pronounce the following word correctly? hope","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_17","Integer","","Recommended","Did the student pronounce the following word correctly? forest","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_18","Integer","","Recommended","Did the student pronounce the following word correctly? stars","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_19","Integer","","Recommended","Did the student pronounce the following word correctly? heavy","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_002_20","Integer","","Recommended","Did the student pronounce the following word correctly? station","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_003_01","Integer","","Recommended","Did the student pronounce the following word correctly? safe","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_003_02","Integer","","Recommended","Did the student pronounce the following word correctly? against","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_003_03","Integer","","Recommended","Did the student pronounce the following word correctly? smash","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_003_04","Integer","","Recommended","Did the student pronounce the following word correctly? reward","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_003_05","Integer","","Recommended","Did the student pronounce the following word correctly? evening","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_003_06","Integer","","Recommended","Did the student pronounce the following word correctly? stream","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_003_07","Integer","","Recommended","Did the student pronounce the following word correctly? empty","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_003_08","Integer","","Recommended","Did the student pronounce the following word correctly? stone","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_003_09","Integer","","Recommended","Did the student pronounce the following word correctly? grove","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_003_10","Integer","","Recommended","Did the student pronounce the following word correctly? desire","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_003_11","Integer","","Recommended","Did the student pronounce the following word correctly? ocean","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_003_12","Integer","","Recommended","Did the student pronounce the following word correctly? bench","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_003_13","Integer","","Recommended","Did the student pronounce the following word correctly? damp","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_003_14","Integer","","Recommended","Did the student pronounce the following word correctly? timid","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
"sort_003_15","Integer","","Recommended","Did the student pronounce the following word correctly? perform","0;1","0= Incorrect pronunciation; 1= Correct pronunciation",""
