"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"myst_ex01","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Freedom from the limitations of your personal self and feeling a unity or bond with what was felt to be greater than your personal self.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex02","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Experience of pure being and pure awareness (beyond the world of sense impressions).","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex03","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Experience of oneness in relation to an ''inner world'' within","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex04","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Experience of the fusion of your personal self into a larger whole.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex05","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Experience of unity with ultimate reality.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex06","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Feeling that you experienced eternity or infinity.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex07","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Experience of oneness or unity with objects and/or persons perceived in your surroundings.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex08","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Experience of the insight that ''all is One''.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex09","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Awareness of the life or living presence in all things.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex10","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Gain of insightful knowledge experienced at an intuitive level.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex11","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Certainty of encounter with ultimate reality (in the sense of being able to ''know'' and ''see'' what is really real at some point during your experience.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex12","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: You are convinced now, as you look back on your experience, that in it you encountered ultimate reality (i.e., that you ''knew'' and ''saw'' what was really real)","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex13","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Sense of being at a spiritual height.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex14","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Sense of reverence.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex15","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Feeling that you experienced something profoundly sacred and holy.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex16","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Experience of amazement.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex17","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Feelings of tenderness and gentleness.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex18","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Feelings of peace and tranquility.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex19","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Experience of ecstasy.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex20","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Sense of awe or awesomeness.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex21","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Feelings of joy.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex22","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Loss of your usual sense of time.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex23","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Loss of your usual sense of space.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex24","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Loss of usual awareness of where you were.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex25","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Sense of being ''outside of'' time, beyond past and future.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex26","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Being in a realm with no space boundaries","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex27","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Experience of timelessness.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex28","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Sense that the experience cannot be described adequately in words.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex29","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Feeling that you could not do justice to your experience by describing it in words","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
"myst_ex30","Integer","","Recommended","Looking back on the entirety of your psilocybin session, please rate the degree to which at any time during the session you experienced the phenomena: Feeling that it would be difficult to communicate your own experience to others who have not had similar experiences.","0::5","0=None; 1= So slight cannot decide; 2=Slight; 3=Moderate; 4=Strong, 5=Extreme",""
