"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"height_stad","Float","","Recommended","Height (cm)","0::214","From stadiometer",""
"weight_inbody","Float","","Recommended","Weight from body composition analysis (lb.)","0::300","Result from InBody970",""
"fat_percent","Float","","Recommended","Percent body fat from body composition analysis","0::100","Result from InBody970",""
"muscle_percent","Float","","Recommended","Percent muscle mass from body composition analysis","0::100","Derived from InBody970 skeletal muscle mass and weight",""
"bone_percent","Float","","Recommended","Percent bone weight from body composition analysis","0::100","Derived fromInBody970 lean body mass, skeletal muscle mass, and weight",""
"water_percent","Float","","Recommended","Percent water weight from body composition analysis","0::100","Derived fromInBody970; total body water and weight",""
"visceral_fat","Float","","Recommended","Visceral fat area from body composition analysis","0::250","Result from InBody970",""
"right_ankle_circum_1","Float","","Recommended","Right ankle circumference (first measurement) - circumference around widest part of ankle","0::150","Unit in centimeters",""
"right_ankle_circum_2","Float","","Recommended","Right ankle circumference (second measurement) - circumference around widest part of ankle","0::150","Unit in centimeters",""
"left_ankle_circumference_1","Float","","Recommended","Left ankle circumference (first measurement) - circumference around widest part of ankle","0::150","Unit in centimeters",""
"left_ankle_circumference_2","Float","","Recommended","Left ankle circumference (second measurement)","0::150","Unit in centimeters",""
"right_feet_width_1","Float","","Recommended","Right feet width (first measurement) - side to side measurement at the widest part of foot, where toes connect to rest of foot","0::150","Unit in centimeters",""
"right_feet_width_2","Float","","Recommended","Right feet width (second measurement) - side to side measurement at the widest part of foot, where toes connect to rest of foot","0::150","Unit in centimeters",""
"left_feet_width_1","Float","","Recommended","Left feet width (first measurement) - side to side measurement at the widest part of foot, where toes connect to rest of foot","0::150","Unit in centimeters",""
"left_feet_width_2","Float","","Recommended","Left feet width (second measurement) - side to side measurement at the widest part of foot, where toes connect to rest of foot","0::150","Unit in centimeters",""
"right_feet_length_1","Float","","Recommended","Right feet length (first measurement) - front to back measurement of longest part of foot, from bottom of heel to bottom of longest toe","0::150","Unit in centimeters",""
"right_feet_length_2","Float","","Recommended","Right feet length (second measurement) - front to back measurement of longest part of foot, from bottom of heel to bottom of longest toe","0::150","Unit in centimeters",""
"left_feet_length_1","Float","","Recommended","Left feet length (first measurement) - front to back measurement of longest part of foot, from bottom of heel to bottom of longest toe","0::150","Unit in centimeters",""
"left_feet_length_2","Float","","Recommended","Left feet length (second measurement) - front to back measurement of longest part of foot, from bottom of heel to bottom of longest toe","0::150","Unit in centimeters",""
"right_neck_length_1","Float","","Recommended","Right neck length (first measurement) - measurement from mandible to medial clavicle","0::150","Unit in centimeters",""
"right_neck_length_2","Float","","Recommended","Right neck length (second measurement) - measurement from mandible to medial clavicle","0::150","Unit in centimeters",""
"left_neck_length_1","Float","","Recommended","Left neck length (first measurement) - measurement from mandible to medial clavicle","0::150","Unit in centimeters",""
"left_neck_length_2","Float","","Recommended","Left neck length (second measurement) - measurement from mandible to medial clavicle","0::150","Unit in centimeters",""
"neck_girth_1","Float","","Recommended","Neck girth (first measurement) - circumference around middle of neck","0::150","Unit in centimeters",""
"neck_girth_2","Float","","Recommended","Neck girth (second measurement) - circumference around middle of neck","0::150","Unit in centimeters",""
"shoulder_width_1","Float","","Recommended","Shoulder width (first measurement) - side to side measurement on back, spanning from left acromion to right acromion","0::150","Unit in centimeters",""
"shoulder_width_2","Float","","Recommended","Shoulder width (second measurement) - side to side measurement on back, spanning from left acromion to right acromion","0::150","Unit in centimeters",""
"right_upper_arm_length_1","Float","","Recommended","Right upper arm length (first measurement) - measurement from end of shoulder to elbow","0::150","Unit in centimeters",""
"right_upper_arm_length_2","Float","","Recommended","Right upper arm length (second measurement) - measurement from end of shoulder to elbow","0::150","Unit in centimeters",""
"left_upper_arm_length_1","Float","","Recommended","Left upper arm length (first measurement) - measurement from end of shoulder to elbow","0::150","Unit in centimeters",""
"left_upper_arm_length_2","Float","","Recommended","Left upper arm length (second measurement) - measurement from end of shoulder to elbow","0::150","Unit in centimeters",""
"right_upper_arm_girth_1","Float","","Recommended","Right upper arm girth (first measurement) - circumference at the halfway point between end of shoulder and elbow","0::150","Unit in centimeters",""
"right_upper_arm_girth_2","Float","","Recommended","Right upper arm girth (second measurement) - circumference at the halfway point between end of shoulder and elbow","0::150","Unit in centimeters",""
"left_upper_arm_girth_1","Float","","Recommended","Left upper arm girth (first measurement) - circumference at the halfway point between end of shoulder and elbow","0::150","Unit in centimeters",""
"left_upper_arm_girth_2","Float","","Recommended","Left upper arm girth (second measurement) - circumference at the halfway point between end of shoulder and elbow","0::150","Unit in centimeters",""
"right_elbow_girth_1","Float","","Recommended","Right elbow girth (first measurement) - circumference around elbow","0::150","Unit in centimeters",""
"right_elbow_girth_2","Float","","Recommended","Right elbow girth (second measurement) - circumference around elbow","0::150","Unit in centimeters",""
"left_elbow_girth_1","Float","","Recommended","Left elbow girth (first measurement) - circumference around elbow","0::150","Unit in centimeters",""
"left_elbow_girth_2","Float","","Recommended","Left elbow girth (second measurement) - circumference around elbow","0::150","Unit in centimeters",""
"right_lower_arm_length_1","Float","","Recommended","Right lower arm length (first measurement) - measurement from elbow to wrist","0::150","Unit in centimeters",""
"right_lower_arm_length_2","Float","","Recommended","Right lower arm length (second measurement) - measurement from elbow to wrist","0::150","Unit in centimeters",""
"left_lower_arm_length_1","Float","","Recommended","Left lower arm length (first measurement) - measurement from elbow to wrist","0::150","Unit in centimeters",""
"left_lower_arm_length_2","Float","","Recommended","Left lower arm length (second measurement) - measurement from elbow to wrist","0::150","Unit in centimeters",""
"right_lower_arm_girth_1","Float","","Recommended","Right lower arm girth (first measurement) - circumference around halfway point between elbow and wrist","0::150","Unit in centimeters",""
"right_lower_arm_girth_2","Float","","Recommended","Right lower arm girth (second measurement) - circumference around halfway point between elbow and wrist","0::150","Unit in centimeters",""
"left_lower_arm_girth_1","Float","","Recommended","Left lower arm girth (first measurement) - circumference around halfway point between elbow and wrist","0::150","Unit in centimeters",""
"left_lower_arm_girth_2","Float","","Recommended","Left lower arm girth (second measurement) - circumference around halfway point between elbow and wrist","0::150","Unit in centimeters",""
"right_wrist_circumference_1","Float","","Recommended","Right wrist circumference (first measurement) - circumference around wrist","0::150","Unit in centimeters",""
"right_wrist_circumference_2","Float","","Recommended","Right wrist circumference (second measurement) - circumference around wrist","0::150","Unit in centimeters",""
"left_wrist_circumference_1","Float","","Recommended","Left wrist circumference (first measurement) - circumference around wrist","0::150","Unit in centimeters",""
"left_wrist_circumference_2","Float","","Recommended","Left wrist circumference (second measurement) - circumference around wrist","0::150","Unit in centimeters",""
"right_hand_width_1","Float","","Recommended","Right hand width (first measurement) - circumference around hand, at the level where the thumb begins","0::150","Unit in centimeters",""
"right_hand_width_2","Float","","Recommended","Right hand width (second measurement) - circumference around hand, at the level where the thumb begins","0::150","Unit in centimeters",""
"left_hand_width_1","Float","","Recommended","Left hand width (first measurement) - circumference around hand, at the level where the thumb begins","0::150","Unit in centimeters",""
"left_hand_width_2","Float","","Recommended","Left hand width (second measurement) - circumference around hand, at the level where the thumb begins","0::150","Unit in centimeters",""
"right_hand_length_1","Float","","Recommended","Right hand length (first measurement) - measurement between wrist and tip of middle finger","0::150","Unit in centimeters",""
"right_hand_length_2","Float","","Recommended","Right hand length (second measurement) - measurement between wrist and tip of middle finger","0::150","Unit in centimeters",""
"left_hand_length_1","Float","","Recommended","Left hand length (first measurement) - measurement between wrist and tip of middle finger","0::150","Unit in centimeters",""
"left_hand_length_2","Float","","Recommended","Left hand length (second measurement) - measurement between wrist and tip of middle finger","0::150","Unit in centimeters",""
"bust_girth_1","Float","","Recommended","Bust girth (first measurement) - bust circumference around the fullest part of the chest","0::150","Unit in centimeters",""
"bust_girth_2","Float","","Recommended","Bust girth (second measurement) - bust circumference around the fullest part of the chest","0::150","Unit in centimeters",""
"chest_girth_1","Float","","Recommended","Chest girth (first measurement) - chest circumference at armpit level","0::150","Unit in centimeters",""
"chest_girth_2","Float","","Recommended","Chest girth (second measurement) - chest circumference at armpit level","0::150","Unit in centimeters",""
"stomach_form_1","Float","","Recommended","Stomach form (first measurement) - distance between end of sternum and pubis bone","0::150","Unit in centimeters",""
"stomach_form_2","Float","","Recommended","Stomach form (second measurement) - distance between end of sternum and pubis bone","0::150","Unit in centimeters",""
"waist_circumference_1","Float","","Recommended","Waist circumference (first measurement) - circumference at the narrowest part of the waist","0::150","Unit in centimeters",""
"waist_circumference_2","Float","","Recommended","Waist circumference (second measurement) - circumference at the narrowest part of the waist","0::150","Unit in centimeters",""
"buttocks_hips_circumference_1","Float","","Recommended","Hip Circumference (first measurement) - circumference around hip, at buttocks level","0::150","Unit in centimeters",""
"buttocks_hips_circumference_2","Float","","Recommended","Hip Circumference (second measurement) - circumference around hip, at buttocks level","0::150","Unit in centimeters",""
"hip_width_1","Float","","Recommended","Hip Width (first measurement) - side to side measurement at widest part of hips, from front of person","0::150","Unit in centimeters",""
"hip_width_2","Float","","Recommended","Hip Width (second measurement) - side to side measurement at widest part of hips, from front of person","0::150","Unit in centimeters",""
"torso_height_1","Float","","Recommended","Torso Height (first measurement) - distance between topmost thoracic vertebrae and beginning of hip bone","0::150","Unit in centimeters",""
"torso_height_2","Float","","Recommended","Torso Height (second measurement) - distance between topmost thoracic vertebrae and beginning of hip bone","0::150","Unit in centimeters",""
"right_thigh_height_1","Float","","Recommended","Right thigh height (first measurement) - distance between top of hip and kneecap","0::150","Unit in centimeters",""
"right_thigh_height_2","Float","","Recommended","Right thigh height (second measurement) - distance between top of hip and kneecap","0::150","Unit in centimeters",""
"left_thigh_height_1","Float","","Recommended","Left thigh height (first measurement) - distance between top of hip and kneecap","0::150","Unit in centimeters",""
"left_thigh_height_2","Float","","Recommended","Left thigh height (second measurement) - distance between top of hip and kneecap","0::150","Unit in centimeters",""
"right_thigh_girth_1","Float","","Recommended","Right thigh girth(first measurement) - circumference of thigh at halfway point between hip and knee","0::150","Unit in centimeters",""
"right_thigh_girth_2","Float","","Recommended","Right thigh girth (second measurement) - circumference of thigh at halfway point between hip and knee","0::150","Unit in centimeters",""
"left_thigh_girth_1","Float","","Recommended","Left thigh girth (first measurement) - circumference of thigh at halfway point between hip and knee","0::150","Unit in centimeters",""
"left_thigh_girth_2","Float","","Recommended","Left thigh girth (second measurement) - circumference of thigh at halfway point between hip and knee","0::150","Unit in centimeters",""
"right_knee_girth_1","Float","","Recommended","Right knee girth (first measurement) - circumference around knee, at kneecap level","0::150","Unit in centimeters",""
"right_knee_girth_2","Float","","Recommended","Right knee girth (second measurement) - circumference around knee, at kneecap level","0::150","Unit in centimeters",""
"left_knee_girth_1","Float","","Recommended","Left knee girth (first measurement) - circumference around knee, at kneecap level","0::150","Unit in centimeters",""
