"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"y74m1","Integer","","Recommended","I have enough money to afford the kind of home I would like to have.","1::5;-99","1= Strongly disagree; 2= Disagree; 3= Neutral/Mixed; 4= Agree; 5= Strongly agree; -99= NA/RF",""
"y74m2","Integer","","Recommended","I have enough money to afford the kind of clothing I should have.","1::5;-99","1= Strongly disagree; 2= Disagree; 3= Neutral/Mixed; 4= Agree; 5= Strongly agree; -99= NA/RF",""
"y74m3","Integer","","Recommended","I have enough money to afford the kind of furniture or household equipment I should have.","1::5;-99","1= Strongly disagree; 2= Disagree; 3= Neutral/Mixed; 4= Agree; 5= Strongly agree; -99= NA/RF",""
"y74m4","Integer","","Recommended","I have enough money to afford the kind of car I need.","1::5;-99","1= Strongly disagree; 2= Disagree; 3= Neutral/Mixed; 4= Agree; 5= Strongly agree; -99= NA/RF",""
"y74m5","Integer","","Recommended","I have enough money to afford the kind of food I should have.","1::5;-99","1= Strongly disagree; 2= Disagree; 3= Neutral/Mixed; 4= Agree; 5= Strongly agree; -99= NA/RF",""
"y74m6","Integer","","Recommended","I have enough money to afford the kind of medical care I should have.","1::5;-99","1= Strongly disagree; 2= Disagree; 3= Neutral/Mixed; 4= Agree; 5= Strongly agree; -99= NA/RF",""
"y74m7","Integer","","Recommended","I have enough money to afford the kind of leisure and fun activities in which I want to participate.","1::5;-99","1= Strongly disagree; 2= Disagree; 3= Neutral/Mixed; 4= Agree; 5= Strongly agree; -99= NA/RF",""
"y74m8","Integer","","Recommended","How much difficulty have you had paying your bills?","1::5;-99","1= A great deal of difficulty; 2= Quite a bit of difficulty; 3= Some difficulty; 4= A little difficulty; 5= No difficulty at all; -99= NA/RF",""
"y74m9","Integer","","Recommended","Generally, at the end of each month, I end up with:","1::4;-99","1= Not enough money to make ends meet; 2= Just enough money to make ends meet; 3= Some money left over; 4= More than enough money left over; -99= NA/RF",""
"y74m10","Integer","","Recommended","How would you describe your financial/money situation right now?","1::4;-99","1= Cannot make ends meet; 2= Have to cut back; 3= Enough but no extra; 4= Comfortable; -99= NA/RF",""
