"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"afq1_y","Integer","","Recommended","My life won't be good until I feel happy.","0::4; 777; 999","0 = Not at all true; 1 = A little true; 2 = Pretty true; 3 = True; 4 = Very true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"afq2_y","Integer","","Recommended","My thoughts and feelings mess up my life.","0::4; 777; 999","0 = Not at all true; 1 = A little true; 2 = Pretty true; 3 = True; 4 = Very true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"afq3_y","Integer","","Recommended","The bad things I think about myself must be true.","0::4; 777; 999","0 = Not at all true; 1 = A little true; 2 = Pretty true; 3 = True; 4 = Very true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"afq4_y","Integer","","Recommended","If my heart beats fast, there must be something wrong with me.","0::4; 777; 999","0 = Not at all true; 1 = A little true; 2 = Pretty true; 3 = True; 4 = Very true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"afq5_y","Integer","","Recommended","I stop doing things that are important to me whenever I feel bad.","0::4; 777; 999","0 = Not at all true; 1 = A little true; 2 = Pretty true; 3 = True; 4 = Very true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"afq6_y","Integer","","Recommended","I do worse in school when I have thoughts that make me feel sad.","0::4; 777; 999","0 = Not at all true; 1 = A little true; 2 = Pretty true; 3 = True; 4 = Very true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"afq7_y","Integer","","Recommended","I am afraid of my feelings.","0::4; 777; 999","0 = Not at all true; 1 = A little true; 2 = Pretty true; 3 = True; 4 = Very true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"afq8_y","Integer","","Recommended","I can't be a good friend when I feel upset.","0::4; 777; 999","0 = Not at all true; 1 = A little true; 2 = Pretty true; 3 = True; 4 = Very true; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"afq_tot_ybl","Integer","","Recommended","Experiential Avoidance Score - AFQ-Y8 Baseline","0::32; 999","Higher scores indicate a greater tendency to engage in distraction or rumination; 999 = No data (participant did not see/complete that scale); 999 = No data (participant did not see/complete that scale)",""
