"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"program","String","50","Recommended","Which program was the participant assigned to","","",""
"rtt_start","Date","","Recommended","Recognize The Triggers Start Date","","",""
"rtt_end","Date","","Recommended","Recognize The Triggers End Date","","",""
"rtt_total","Float","","Recommended","Recognize the Triggers Total Time To Complete in Hours","0::24","Time in hours, time is based on time participants spend on the module",""
"dwc_start","Date","","Recommended","Deal With Craving Start Date","","",""
"dwc_end","Date","","Recommended","Deal With Craving End Date","","",""
"dwc_total","Float","","Recommended","Deal With Craving Total Time To Complete in Hours","0::24","Time in hours, time is based on time participants spend on the module",""
"sufy_start","Date","","Recommended","Stand Up For Yourself Start Date","","",""
"sufy_end","Date","","Recommended","Stand Up For Yourself End Date","","",""
"sufy_total","Float","","Recommended","Stand Up For Yourself Total Time To Complete in Hours","0::24","Time in hours, time is based on time participants spend on the module",""
"pdp_start","Date","","Recommended","Plan Don't Panic Start Date","","",""
"pdp_end","Date","","Recommended","Plan Don't Panic End Date","","",""
"pdp_total","Float","","Recommended","Plan Don't Panic Total Time To Complete in Hours","0::24","Time in hours, time is based on time participants spend on the module",""
"sat_start","Date","","Recommended","Stop and Think Start Date","","",""
"sat_end","Date","","Recommended","Stop and Think End Date","","",""
"sat__total","Float","","Recommended","Stop and Think Total Time To Complete in Hours","0::24","Time in hours, time is based on time participants spend on the module",""
"gatf_start","Date","","Recommended","Go Against the Flow Start Date","","",""
"gatf_end","Date","","Recommended","Go Against the Flow End Date","","",""
"gatf_total","Float","","Recommended","Go Against the Flow Total Time To Complete in Hours","0::24","Time in hours, time is based on time participants spend on the module",""
"ss_start","Date","","Recommended","Stay Safe Start Date","","",""
"ss_end","Date","","Recommended","Stay Safe End Date","","",""
"ss_total","Float","","Recommended","Stay Safe Total Time To Complete in Hours","0::24","Time in hours, time is based on time participants spend on the module",""
