"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"ibm1pos","Integer","","Recommended","They are probably out to get fresh bread to surprise you.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm1neg","Integer","","Recommended","You startle and wonder whether they were late for an important job interview.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm1ang","Integer","","Recommended","You are angry because they didn't bother to say goodbye to you.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm1rej","Integer","","Recommended","You panic. Maybe they decided to leave you.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm2pos","Integer","","Recommended","They probably had to wait longer and accidentally forgot to put on their mobile.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm2neg","Integer","","Recommended","You are afraid something bad might've happened.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm2ang","Integer","","Recommended","You become angry. It is unacceptable that they let you wait for so long and do not even bother to put on their mobile phone.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm2rej","Integer","","Recommended","Maybe they will not come and they decided to break up with you.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm3pos","Integer","","Recommended","You are happy your partner is faithful to you.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm3neg","Integer","","Recommended","You are jealous and immediately approach the attractive person to show them you are with your partner.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm3ang","Integer","","Recommended","You are angry, approach the attractive person, and start to insult them.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm3rej","Integer","","Recommended","Maybe they find this person interesting and will consider ending your relationship.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm4pos","Integer","","Recommended","They are very romantic and want to surprise you.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm4neg","Integer","","Recommended","Maybe they had a bad meeting with their boss, and they want to tell you that they are fired.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm4ang","Integer","","Recommended","They probably want to bring up the argument you had the day before and want to have the last word.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm4rej","Integer","","Recommended","You think that ''something important'' can't mean something good. You hope they don't want to break up with you.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm5pos","Integer","","Recommended","They are probably very busy at work. You write them an e-mail to invite them for dinner.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm5neg","Integer","","Recommended","You get worried and call them at their work to check whether they are okay.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm5ang","Integer","","Recommended","You are angry with them and write them an angry text message.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm5rej","Integer","","Recommended","They probably didn't enjoy the day you spent together, and they don't want to meet with you anymore. You feel abandoned.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm6pos","Integer","","Recommended","You don't mind and accompany them to the party.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm6neg","Integer","","Recommended","You are disappointed and watch a movie by yourself.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm6ang","Integer","","Recommended","You are furious and blame them for choosing their friends above you.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm6rej","Integer","","Recommended","This is a first sign you are not their first priority anymore. You have to be careful not to lose them.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm7pos","Integer","","Recommended","You think it is nice that the woman still loves her husband so dearly, and she is still sad when he goes on a business trip.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm7neg","Integer","","Recommended","You are afraid something serious has happened in the neighbors' family.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm7ang","Integer","","Recommended","You are angry and think, ''The bastard; men always run away after a fight.''","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm7rej","Integer","","Recommended","You feel pity for the woman who is being left alone with her children.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm8pos","Integer","","Recommended","Now you will have to put some more time into it, but you are still happy they have already started.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm8neg","Integer","","Recommended","You are disappointed that they did such a poor job and will discuss this problem with them.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm8ang","Integer","","Recommended","You are angry because they appear to have done a very lousy job.","1::4","1 = Most Likely; 4 = Least Likely",""
"ibm8rej","Integer","","Recommended","It might be best not to mention anything to them, because you might lose their friendship.","1::4","1 = Most Likely; 4 = Least Likely",""
