"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bnt_choir","String","20","Recommended","Out of 1,000 people in a small town 500 are members of a choir. Out of these 500 members in the choir 100 are men. Out of the 500 inhabitants that are not in the choir 300 are men. What is the probability that a randomly drawn man is a member of the choir? Please indicate the probability in percent.","","Correct answer: 25%","bnt_adaptive1,bnt_paper2,bnt_single"
"bnt_5die","String","20","Recommended","Imagine we are throwing a five-sided die 50 times. On average, out of these 50 throws how many times would this five-sided die show an odd number (1, 3 or 5)?","","Correct answer: 30 out of 50 throws","bnt_adaptive2a,bnt_paper1"
"bnt_6die","String","20","Recommended","Imagine we are throwing a loaded die (6 sides). The probability that the die shows a 6 is twice as high as the probability of each of the other numbers. On average, out of these 70 throws how many times would the die show the number 6?","","Correct answer: 20 out of 70 throws","bnt_adaptive2b,bnt_paper3"
"bnt_mushroom","String","20","Recommended","In a forest 20% of mushrooms are red, 50% brown and 30% white. A red mushroom is poisonous with a probability of 20%. A mushroom that is not red is poisonous with a probability of 5%. What is the probability that a poisonous mushroom in the forest is red?","","Correct answer: 50%","bnt_adaptive3,bnt_paper4"
"bnt_adaptive_score","Integer","","Recommended","Total Score - Berlin Numeracy Test, Computer Adaptive Test form, 2-3 items","1::4","1= Q1 incorrect, Q2a incorrect; 2= Q1 incorrect, Q2a correct; 3= Q1 correct, Q2b incorrect, Q3 incorrect; 4= Q1 correct, Q2b incorrect and Q3 correct OR Q2b correct",""
"bnt_paper_score","Integer","","Recommended","Total Score - Berlin Numeracy Test, Paper and Pencil format, 4 items","0::4","Number of correct items",""
"bnt_single_score","Integer","","Recommended","Total Score - Berlin Numeracy Test, Single item format","0::1","Number of correct items",""
"bnt_choir_mult","Integer","","Recommended","Imagine we are throwing a five-sided die 50 times. On average, out of these 50 throws how many times would this five-sided die show an odd number (1, 3 or 5)?","1::4","1= a) 5 out of 50 throws; 2= b) 25 out of 50 throws; 3= c) 30 out of 50 throws (correct); 4= d) None of the above",""
"bnt_5die_mult","Integer","","Recommended","Out of 1,000 people in a small town 500 are members of a choir. Out of these 500 members in the choir 100 are men. Out of the 500 inhabitants that are not in the choir 300 are men. What is the probability that a randomly drawn man is a member of the choir? Please indicate the probability in percent.","1::4","1= a) 10%; 2= b) 25% (correct); 3= c) 40%; 4= d) None of the above",""
"bnt_6die_mult","Integer","","Recommended","Imagine we are throwing a loaded die (6 sides). The probability that the die shows a 6 is twice as high as the probability of each of the other numbers. On average, out of these 70 throws how many times would the die show the number 6?","1::4","1= a) 20 out of 50 throws (correct); 2= b) 23 out of 50 throws; 3= c) 35 out of 50 throws; 4= d) None of the above",""
"bnt_mushroom_mult","Integer","","Recommended","In a forest 20% of mushrooms are red, 50% brown and 30% white. A red mushroom is poisonous with a probability of 20%. A mushroom that is not red is poisonous with a probability of 5%. What is the probability that a poisonous mushroom in the forest is red?","1::4","1= a) 4%; 2= b) 20%; 3= c) 50% (correct); 4= d) None of the above",""
"bnt_mult_score","Integer","","Recommended","Total Score - Berlin Numeracy Test, Multiple Choice format, 4 items","0::4","Number of correct items",""
"numeracy_q1_date","Date","","Recommended","Date on which the first numeracy question was completed (if different then Interview_date). MM/DD/YYYY","","Intended to deal with a survey that included one question on a different session",""
