"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"black_indiv","Integer","","Recommended","Participant identifies as Black Individual","0;1","0=No; 1=Yes",""
"iros_1","Integer","","Recommended","I identify with African values and beliefs. (Reverse Scored)","1::5","5=Strongly disagree; 4=Disagree; 3=Neither agree nor disagree; 2=Agree; 1=Strongly agree",""
"iros_2","Integer","","Recommended","I wish I looked more white.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_3","Integer","","Recommended","There were universities and other learning centers in Africa more than 2000 years ago. (Reverse Scored)","1::5","5=Strongly disagree; 4=Disagree; 3=Neither agree nor disagree; 2=Agree; 1=Strongly agree",""
"iros_4","Integer","","Recommended","I would like a partner with lighter skin, to insure that my children will have lighter skin.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_5","Integer","","Recommended","Most criminals are black men.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_6","Integer","","Recommended","Straight hair is better than my natural hair texture.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_7","Integer","","Recommended","African people have no written history.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_8","Integer","","Recommended","I do not tend to associate myself with an African heritage.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_9","Integer","","Recommended","I would never date someone with a natural or an Afro hairstyle.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_10","Integer","","Recommended","Black women are confrontational.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_11","Integer","","Recommended","The first mathematicians and scientists were European.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_12","Integer","","Recommended","I value respecting elders in my community. (Reverse Scored)","1::5","5=Strongly disagree; 4=Disagree; 3=Neither agree nor disagree; 2=Agree; 1=Strongly agree",""
"iros_13","Integer","","Recommended","I prefer my hair to be natural. (Reverse Scored)","1::5","5=Strongly disagree; 4=Disagree; 3=Neither agree nor disagree; 2=Agree; 1=Strongly agree",""
"iros_14","Integer","","Recommended","It is okay to straighten or relax my hair.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_15","Integer","","Recommended","The earliest civilizations were in Africa. (Reverse Scored)","1::5","5=Strongly disagree; 4=Disagree; 3=Neither agree nor disagree; 2=Agree; 1=Strongly agree",""
"iros_16","Integer","","Recommended","Having full lips is not attractive to me.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_17","Integer","","Recommended","Earlier Egyptians were either White or Arabic.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_18","Integer","","Recommended","I don't attend any cultural programs with African-centered values.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_19","Integer","","Recommended","It is okay for Black people to change their appearance through surgery.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_20","Integer","","Recommended","Being a part of family celebrations is not important.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_21","Integer","","Recommended","Harmony and balance are important values in my life. (Reverse Scored)","1::5","5=Strongly disagree; 4=Disagree; 3=Neither agree nor disagree; 2=Agree; 1=Strongly agree",""
"iros_22","Integer","","Recommended","I hesitate to do business with Black-owned companies because of their mismanagement.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_23","Integer","","Recommended","There were no institutions of higher learning in Africa.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_24","Integer","","Recommended","There were Africans in the Americas prior to Europeans. (Reverse Scored)","1::5","5=Strongly disagree; 4=Disagree; 3=Neither agree nor disagree; 2=Agree; 1=Strongly agree",""
"iros_25","Integer","","Recommended","I wish my nose were narrower.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_26","Integer","","Recommended","Black people are lazy.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_27","Integer","","Recommended","It is fine to use skin care products to lighten skin color.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_28","Integer","","Recommended","Cannibalism was widely practiced in Africa.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_29","Integer","","Recommended","I wish my skin was lighter than it is now.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_30","Integer","","Recommended","Black women are controlling.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_31","Integer","","Recommended","I texturize my hair.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_32","Integer","","Recommended","Money management is something that Black people cannot do.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_33","Integer","","Recommended","Lighter skin is more attractive.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_34","Integer","","Recommended","Most Black people are on welfare.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_35","Integer","","Recommended","Black men are irresponsible.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"iros_36","Integer","","Recommended","I like it when my partner wears his/her hair natural. (Reverse Scored)","1::5","5=Strongly disagree; 4=Disagree; 3=Neither agree nor disagree; 2=Agree; 1=Strongly agree",""
"iros_overall","Integer","","Recommended","Internalized Racial Oppression Scale for Black Individuals (IROS) - Overall Score","36::180","Sum of items iros_1-36",""
"iros_brh","Integer","","Recommended","Internalized Racial Oppression Scale for Black Individuals (IROS) - Biased Representation of History (BRH) Subscale","7::35","Sum of items iros_3 (reversed), 11, 15 (reversed), 17, 23, 24 (reversed), 28",""
"iros_daw","Integer","","Recommended","Internalized Racial Oppression Scale for Black Individuals (IROS) - Devaluation of the African Worldview and Motifs (DAW) Subscale","9::45","Sum of items iros_1 (reversed), 2, 8-9, 12 (reversed), 18, 20, 21 (reversed), 22",""
"iros_apa","Integer","","Recommended","Internalized Racial Oppression Scale for Black Individuals (IROS) - Alteration of Physical Appearance (APA) Subscale","8::40","Sum of items iros_4, 7, 16, 19, 25, 27, 29, 33",""
"iros_ins","Integer","","Recommended","Internalized Racial Oppression Scale for Black Individuals (IROS) - Internalization of Negative Stereotypes (INS) Subscale","7::35","Sum of items iros_5, 10, 26, 30, 32, 34, 35",""
"iros_hc","Integer","","Recommended","Internalized Racial Oppression Scale for Black Individuals (IROS) - Hair Change (HC) Subscale","5::25","Sum of items iros_6, 13 (reversed), 14, 31, 36 (reversed)",""
