"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"respondent","String","20","Recommended","Respondent","Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;Biological mom;Biological dad;Adoptive mom;Adoptive dad;Grandparent;Other caregiver;NA","NA=Not Applicable",""
"respondent_other_specify","String","50","Recommended","Respondent: Other (specify)","","",""
"sa_9mo_personality___1","Integer","","Recommended","How would you describe your baby's personality? Calm","0;1;-99","0 = No; 1 = Yes; -99= Missing",""
"sa_9mo_personality___2","Integer","","Recommended","How would you describe your baby's personality? Happy","0;1;-99","0 = No; 1 = Yes; -99= Missing",""
"sa_9mo_personality___3","Integer","","Recommended","How would you describe your baby's personality? Silly/Funny","0;1;-99","0 = No; 1 = Yes; -99= Missing",""
"sa_9mo_personality___4","Integer","","Recommended","How would you describe your baby's personality? Serious","0;1;-99","0 = No; 1 = Yes; -99= Missing",""
"sa_9mo_personality___5","Integer","","Recommended","How would you describe your baby's personality? Smart","0;1;-99","0 = No; 1 = Yes; -99= Missing",""
"sa_9mo_personality___6","Integer","","Recommended","How would you describe your baby's personality? Stubborn","0;1;-99","0 = No; 1 = Yes; -99= Missing",""
"sa_9mo_personality___7","Integer","","Recommended","How would you describe your baby's personality? Energetic","0;1;-99","0 = No; 1 = Yes; -99= Missing",""
"sa_9mo_personality___8","Integer","","Recommended","How would you describe your baby's personality? None of these","0;1;-99","0 = No; 1 = Yes; -99= Missing",""
"sa_9mo_personality____77","Integer","","Recommended","How would you describe your baby's personality? Don't know","0;1;-99","0 = No; 1 = Yes; -99= Missing",""
"sa_9mo_books","Integer","","Recommended","In the past 7 days, on how many days did you or anyone else read to or look at books with your baby?","0::7;-77;-99","Number of days; -77= Don't know; -99=Missing",""
"sa_9mo_breastmilk","Integer","","Recommended","Are you feeding your baby any of the following? Breastmilk","0;1;-77;-99","0= No; 1= Yes; -77= Don't know ; -99= Missing",""
"sa_9mo_formula","Integer","","Recommended","Are you feeding your baby any of the following? Formula","0;1;-77;-99","0= No; 1= Yes; -77= Don't know ; -99= Missing",""
"sa_9mo_rice","Integer","","Recommended","Are you feeding your baby any of the following? Rice cereal","0;1;-77;-99","0= No; 1= Yes; -77= Don't know ; -99= Missing",""
"sa_9mo_otherfood","Integer","","Recommended","Are you feeding your baby any of the following? Other solid food","0;1;-77;-99","0= No; 1= Yes; -77= Don't know ; -99= Missing",""
"sa_9mo_cc","Integer","","Recommended","Is your baby cared for outside of your home one or more days per week on a regular basis?","1::3;-77;-99","1= Yes, by one child care provider; 2= Yes, by more than one child care provider; 3= No; -77, Don't know; -99= Missing",""
"sa_9mo_dm1","Integer","","Recommended","Makes sounds like ''ga,'' ''ma,'' or ''ba''","0::2;-99","0= Not Yet; 1= Somewhat; 2= Very Much; -99= Missing",""
"sa_9mo_dm2","Integer","","Recommended","Looks when you call his or her name","0::2;-99","0= Not Yet; 1= Somewhat; 2= Very Much; -99= Missing",""
"sa_9mo_dm3","Integer","","Recommended","Looks for you or another caregiver when upset","0::2;-99","0= Not Yet; 1= Somewhat; 2= Very Much; -99= Missing",""
"sa_9mo_dm4","Integer","","Recommended","Holds up arms to be picked up","0::2;-99","0= Not Yet; 1= Somewhat; 2= Very Much; -99= Missing",""
"sa_9mo_dm5","Integer","","Recommended","Gets into a sitting position by him or herself","0::2;-99","0= Not Yet; 1= Somewhat; 2= Very Much; -99= Missing",""
"sa_9mo_dm6","Integer","","Recommended","Picks up food and eats it","0::2;-99","0= Not Yet; 1= Somewhat; 2= Very Much; -99= Missing",""
"sa_9mo_dm7","Integer","","Recommended","Pulls up to standing","0::2;-99","0= Not Yet; 1= Somewhat; 2= Very Much; -99= Missing",""
"sa_9mo_dm8","Integer","","Recommended","Plays games like ''peek-a-boo'' or ''pat-a-cake''","0::2;-99","0= Not Yet; 1= Somewhat; 2= Very Much; -99= Missing",""
"sa_9mo_dm9","Integer","","Recommended","Calls you ''mama'' or ''dada'' or similar name","0::2;-99","0= Not Yet; 1= Somewhat; 2= Very Much; -99= Missing",""
"sa_9mo_dm10","Integer","","Recommended","Looks around when you say things like ''Where's your bottle?'' or ''Where's your blanket?''","0::2;-99","0= Not Yet; 1= Somewhat; 2= Very Much; -99= Missing",""
"sa_9mo_dm11","Integer","","Recommended","Copies sounds that you make","0::2;-99","0= Not Yet; 1= Somewhat; 2= Very Much; -99= Missing",""
"sa_9mo_dm12","Integer","","Recommended","Walks across a room without help","0::2;-99","0= Not Yet; 1= Somewhat; 2= Very Much; -99= Missing",""
"sa_9mo_dm13","Integer","","Recommended","Follows directions- like ''Come here'' or ''Give me the ball''","0::2;-99","0= Not Yet; 1= Somewhat; 2= Very Much; -99= Missing",""
"sa_9mo_sleep","Integer","","Recommended","Has a regular sleep schedule","0::2;-99","0= Not Yet; 1= Somewhat; 2= Very Much; -99= Missing",""
"sa_9mo_bpsc1","Integer","","Recommended","Does [baby's name] have a hard time being with new people?","0::2;-99","0= Not at all; 1= Somewhat; 2= Very much; -99= Missing",""
"sa_9mo_bpsc2","Integer","","Recommended","Does [baby's name] have a hard time in new places?","0::2;-99","0= Not at all; 1= Somewhat; 2= Very much; -99= Missing",""
"sa_9mo_bpsc3","Integer","","Recommended","Does [baby's name] have a hard time with change?","0::2;-99","0= Not at all; 1= Somewhat; 2= Very much; -99= Missing",""
"sa_9mo_bpsc4","Integer","","Recommended","Does [baby's name] mind being held by other people?","0::2;-99","0= Not at all; 1= Somewhat; 2= Very much; -99= Missing",""
"sa_9mo_bpsc5","Integer","","Recommended","Does [baby's name] cry a lot?","0::2;-99","0= Not at all; 1= Somewhat; 2= Very much; -99= Missing",""
"sa_9mo_bpsc6","Integer","","Recommended","Does [baby's name] have a hard time calming down?","0::2;-99","0= Not at all; 1= Somewhat; 2= Very much; -99= Missing",""
"sa_9mo_bpsc12","Integer","","Recommended","Does [baby's name] have trouble staying asleep?","0::2;-99","0= Not at all; 1= Somewhat; 2= Very much; -99= Missing",""
"sa_9mo_bpsc8","Integer","","Recommended","Is it hard to comfort [baby's name]?","0::2;-99","0= Not at all; 1= Somewhat; 2= Very much; -99= Missing",""
"sa_9mo_bpsc9","Integer","","Recommended","Is it hard to keep [baby's name] on a schedule or routine?","0::2;-99","0= Not at all; 1= Somewhat; 2= Very much; -99= Missing",""
"sa_9mo_bpsc10","Integer","","Recommended","Is it hard to put [baby's name] to sleep?","0::2;-99","0= Not at all; 1= Somewhat; 2= Very much; -99= Missing",""
"sa_9mo_bpsc11","Integer","","Recommended","Is it hard to get enough sleep because of [baby's name]?","0::2;-99","0= Not at all; 1= Somewhat; 2= Very much; -99= Missing",""
"sa_9mo_bpsc7","Integer","","Recommended","Is [baby's name] fussy or irritable?","0::2;-99","0= Not at all; 1= Somewhat; 2= Very much; -99= Missing",""
"sa_9mo_devoconcern","Integer","","Recommended","Do you have any concerns about [baby's name]'s learning or development?","0::2;-99","0= Not at all; 1= Somewhat; 2= Very much; -99= Missing",""
"sa_9mo_behconcern","Integer","","Recommended","Do you have any concerns about [baby's name]'s behavior?","0::2;-99","0= Not at all; 1= Somewhat; 2= Very much; -99= Missing",""
