"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"psdis1","Integer","","Recommended","My child has what it takes to reach their goals.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis2","Integer","","Recommended","My child thinks of more than one way to solve a problem.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis3","Integer","","Recommended","My child considers many possibilities when they makes plans for their future.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis4","Integer","","Recommended","My child knows what they do best.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis5","Integer","","Recommended","My child plans weekend activities they like to do.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis6","Integer","","Recommended","My child keeps trying even after they get something wrong.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis7","Integer","","Recommended","My child sets their own goals.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis8","Integer","","Recommended","My child thinks trying hard helps them get what they want.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis9","Integer","","Recommended","My child chooses activities they want to do.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis10","Integer","","Recommended","My child works hard to reach their goals.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis11","Integer","","Recommended","My child figures out ways to get around obstacles.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis12","Integer","","Recommended","My child is confident in their abilities.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis13","Integer","","Recommended","My child's past experiences help them plan what they will do next.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis14","Integer","","Recommended","My child thinks about each of their goals.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis15","Integer","","Recommended","My child makes choices that are important to them.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis16","Integer","","Recommended","My child looks for new experiences they think they will like.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis17","Integer","","Recommended","My child is able to focus to reach their goals.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis18","Integer","","Recommended","My child chooses what their room looks like.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis19","Integer","","Recommended","My child takes action when new opportunities come their way.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis20","Integer","","Recommended","My child knows their strengths.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"psdis21","Integer","","Recommended","My child comes up with ways to reach their goals.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis1","Integer","","Recommended","I have what it takes to reach my goals.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis2","Integer","","Recommended","I think of more than one way to solve a problem.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis3","Integer","","Recommended","I consider many possibilities when I make plans for my future.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis4","Integer","","Recommended","I know what I do best.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis5","Integer","","Recommended","I plan weekend activities I like to do.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis6","Integer","","Recommended","I keep trying even after I get something wrong.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis7","Integer","","Recommended","I set my own goals.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis8","Integer","","Recommended","I think trying hard helps me get what I want.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis9","Integer","","Recommended","I choose activities I want to do.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis10","Integer","","Recommended","I work hard to reach my goals.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis11","Integer","","Recommended","I figure out ways to get around obstacles.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis12","Integer","","Recommended","I am confident in my abilities.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis13","Integer","","Recommended","My past experiences help me plan what I will do next.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis14","Integer","","Recommended","I think about each of my goals.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis15","Integer","","Recommended","I make choices that are important to me.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis16","Integer","","Recommended","I look for new experiences I think I will like.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis17","Integer","","Recommended","I am able to focus to reach my goals.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis18","Integer","","Recommended","I choose what my room looks like.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis19","Integer","","Recommended","I take action when new opportunities come my way.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis20","Integer","","Recommended","I know my strengths.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"ysdis21","Integer","","Recommended","I come up with ways to reach my goals.","0::100; 999","0= Disagree; 100= Agree; 999= Missing",""
"respondent","String","20","Recommended","Respondent","Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;Biological mom;Biological dad;Adoptive mom;Adoptive dad;Grandparent;Other caregiver;NA","NA=Not Applicable",""
