"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"rapid_aa_base_or_bio","Integer","","Recommended","Ecological momentary assessment period (baseline period, or biofeedback period) within the RAPID study","1;2","1= Baseline period; 2= Biofeedback period",""
"rapid_daynumber","Integer","","Recommended","Day number in this portion of the RAPID study's ecological momentary assessments","1::20","",""
"rapid_surveynumber","Integer","","Recommended","Survey number each day (1-6)","1::6","",""
"sars_analyzed","Integer","","Recommended","Since the previous survey... I analyzed the meaning of my feelings","1::10","1= Not at all; 10= Very much",""
"sars_wished","Integer","","Recommended","Since the previous survey... I thought about a recent situation, wishing it had gone better","1::10","1= Not at all; 10= Very much",""
"sars_wondered","Integer","","Recommended","Since the previous survey... I wondered why I react the way I do","1::10","1= Not at all; 10= Very much",""
"sars_wandered","Integer","","Recommended","Since the previous survey... My mind wandered","1::10","1= Not at all; 10= Very much",""
"sars_daydreamed","Integer","","Recommended","Since the previous survey... I daydreamed or fantasized about something","1::10","1= Not at all; 10= Very much",""
"sars_worried","Integer","","Recommended","Since the previous survey... I worried about something","1::10","1= Not at all; 10= Very much",""
"sars_unpleasant","Integer","","Recommended","There are a number of ways people respond to unpleasant thoughts or feelings. To what extent did you do any of these since the previous survey? I tried to think about things that were less unpleasant","0::10","0= N/A (I didn't do this because I didn't have any unpleasant thoughts or feelings); 1= Not at all; 10= Very much",""
"sars_positively","Integer","","Recommended","There are a number of ways people respond to unpleasant thoughts or feelings. To what extent did you do any of these since the previous survey? I tried to see a situation more positively","0::10","0= N/A (I didn't do this because I didn't have any unpleasant thoughts or feelings); 1= Not at all; 10= Very much",""
"sars_accepted","Integer","","Recommended","There are a number of ways people respond to unpleasant thoughts or feelings. To what extent did you do any of these since the previous survey? When I noticed a difficult feeling, I simply accepted it as it was","0::10","0= N/A (I didn't do this because I didn't have any unpleasant thoughts or feelings); 1= Not at all; 10= Very much",""
"sars_somethingelse","Integer","","Recommended","There are a number of ways people respond to unpleasant thoughts or feelings. To what extent did you do any of these since the previous survey? I tried to think about something else instead of how I was feeling","0::10","0= N/A (I didn't do this because I didn't have any unpleasant thoughts or feelings); 1= Not at all; 10= Very much",""
"sars_changethink","Integer","","Recommended","There are a number of ways people respond to unpleasant thoughts or feelings. To what extent did you do any of these since the previous survey? I tried to change the way I was thinking about a situation","0::10","0= N/A (I didn't do this because I didn't have any unpleasant thoughts or feelings); 1= Not at all; 10= Very much",""
"sars_feelingsarise","Integer","","Recommended","There are a number of ways people respond to unpleasant thoughts or feelings. To what extent did you do any of these since the previous survey? I allowed feelings to arise without trying to change them","0::10","0= N/A (I didn't do this because I didn't have any unpleasant thoughts or feelings); 1= Not at all; 10= Very much",""
"sars_wontlast","Integer","","Recommended","There are a number of ways people respond to unpleasant thoughts or feelings. To what extent did you do any of these since the previous survey? I reminded myself that difficult feelings won't last","0::10","0= N/A (I didn't do this because I didn't have any unpleasant thoughts or feelings); 1= Not at all; 10= Very much",""
"sars_observeunpleasant","Integer","","Recommended","There are a number of ways people respond to unpleasant thoughts or feelings. To what extent did you do any of these since the previous survey? I could observe unpleasant feelings without being drawn into them","0::10","0= N/A (I didn't do this because I didn't have any unpleasant thoughts or feelings); 1= Not at all; 10= Very much",""
"sars_separate","Integer","","Recommended","There are a number of ways people respond to unpleasant thoughts or feelings. To what extent did you do any of these since the previous survey? I could separate myself from my thoughts and feelings","0::10","0= N/A (I didn't do this because I didn't have any unpleasant thoughts or feelings); 1= Not at all; 10= Very much",""
"sars_success","Integer","","Recommended","There are a number of ways people respond to unpleasant thoughts or feelings. To what extent did you do any of these since the previous survey? I was successful at regulating my emotions","0::10","0= N/A (I didn't do this because I didn't have any unpleasant thoughts or feelings); 1= Not at all; 10= Very much",""
