"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","record_id"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"version_form","String","121","Recommended","Form used/assessment name","","",""
"fspgod","String","70","Recommended","Subject's gender OTHER describe","","",""
"negativedominant","Integer","","Recommended","Subscale: Negative/Dominant","","Sum of subscale items",""
"negativesubmissive","Integer","","Recommended","Subscale: Negative/Submissive","","Sum of subscale items",""
"positivedominant","Integer","","Recommended","Subscale: Positive/Dominant","","Sum of subscale items",""
"positivesubmissive","Integer","","Recommended","Subscale: Positive/Submissive","","Sum of subscale items",""
"miniponstotalscore","Integer","","Required","Overall sum for the Profile of Nonverbal Sensitivity","","Grand total",""
"evalpons1","Integer","","Recommended","Selection for Scene 1","1;2","1=correct; 2=incorrect",""
"evalpons2","Integer","","Recommended","Selection for Scene 2","1;2","1=correct; 2=incorrect",""
"evalpons3","Integer","","Recommended","Selection for Scene 3","1;2","1=correct; 2=incorrect",""
"evalpons4","Integer","","Recommended","Selection for Scene 4","1;2","1=correct; 2=incorrect",""
"evalpons5","Integer","","Recommended","Selection for Scene 5","1;2","1=correct; 2=incorrect",""
"evalpons6","Integer","","Recommended","Selection for Scene 6","1;2","1=correct; 2=incorrect",""
"evalpons7","Integer","","Recommended","Selection for Scene 7","1;2","1=correct; 2=incorrect",""
"evalpons8","Integer","","Recommended","Selection for Scene 8","1;2","1=correct; 2=incorrect",""
"evalpons9","Integer","","Recommended","Selection for Scene 9","1;2","1=correct; 2=incorrect",""
"evalpons10","Integer","","Recommended","Selection for Scene 10","1;2","1=correct; 2=incorrect",""
"evalpons11","Integer","","Recommended","Selection for Scene 11","1;2","1=correct; 2=incorrect",""
"evalpons12","Integer","","Recommended","Selection for Scene 12","1;2","1=correct; 2=incorrect",""
"evalpons13","Integer","","Recommended","Selection for Scene 13","1;2","1=correct; 2=incorrect",""
"evalpons14","Integer","","Recommended","Selection for Scene 14","1;2","1=correct; 2=incorrect",""
"evalpons15","Integer","","Recommended","Selection for Scene 15","1;2","1=correct; 2=incorrect",""
"evalpons16","Integer","","Recommended","Selection for Scene 16","1;2","1=correct; 2=incorrect",""
"evalpons17","Integer","","Recommended","Selection for Scene 17","1;2","1=correct; 2=incorrect",""
"evalpons18","Integer","","Recommended","Selection for Scene 18","1;2","1=correct; 2=incorrect",""
"evalpons19","Integer","","Recommended","Selection for Scene 19","1;2","1=correct; 2=incorrect",""
"evalpons20","Integer","","Recommended","Selection for Scene 20","1;2","1=correct; 2=incorrect",""
"evalpons21","Integer","","Recommended","Selection for Scene 21","1;2","1=correct; 2=incorrect",""
"evalpons22","Integer","","Recommended","Selection for Scene 22","1;2","1=correct; 2=incorrect",""
"evalpons23","Integer","","Recommended","Selection for Scene 23","1;2","1=correct; 2=incorrect",""
"evalpons24","Integer","","Recommended","Selection for Scene 24","1;2","1=correct; 2=incorrect",""
"evalpons25","Integer","","Recommended","Selection for Scene 25","1;2","1=correct; 2=incorrect",""
"evalpons26","Integer","","Recommended","Selection for Scene 26","1;2","1=correct; 2=incorrect",""
"evalpons27","Integer","","Recommended","Selection for Scene 27","1;2","1=correct; 2=incorrect",""
"evalpons28","Integer","","Recommended","Selection for Scene 28","1;2","1=correct; 2=incorrect",""
"evalpons29","Integer","","Recommended","Selection for Scene 29","1;2","1=correct; 2=incorrect",""
"evalpons30","Integer","","Recommended","Selection for Scene 30","1;2","1=correct; 2=incorrect",""
"evalpons31","Integer","","Recommended","Selection for Scene 31","1;2","1=correct; 2=incorrect",""
"evalpons32","Integer","","Recommended","Selection for Scene 32","1;2","1=correct; 2=incorrect",""
"evalpons33","Integer","","Recommended","Selection for Scene 33","1;2","1=correct; 2=incorrect",""
"evalpons34","Integer","","Recommended","Selection for Scene 34","1;2","1=correct; 2=incorrect",""
"evalpons35","Integer","","Recommended","Selection for Scene 35","1;2","1=correct; 2=incorrect",""
"evalpons36","Integer","","Recommended","Selection for Scene 36","1;2","1=correct; 2=incorrect",""
"evalpons37","Integer","","Recommended","Selection for Scene 37","1;2","1=correct; 2=incorrect",""
"evalpons38","Integer","","Recommended","Selection for Scene 38","1;2","1=correct; 2=incorrect",""
"evalpons39","Integer","","Recommended","Selection for Scene 39","1;2","1=correct; 2=incorrect",""
"evalpons40","Integer","","Recommended","Selection for Scene 40","1;2","1=correct; 2=incorrect",""
"evalpons41","Integer","","Recommended","Selection for Scene 41","1;2","1=correct; 2=incorrect",""
"evalpons42","Integer","","Recommended","Selection for Scene 42","1;2","1=correct; 2=incorrect",""
"evalpons43","Integer","","Recommended","Selection for Scene 43","1;2","1=correct; 2=incorrect",""
"evalpons44","Integer","","Recommended","Selection for Scene 44","1;2","1=correct; 2=incorrect",""
"evalpons45","Integer","","Recommended","Selection for Scene 45","1;2","1=correct; 2=incorrect",""
"evalpons46","Integer","","Recommended","Selection for Scene 46","1;2","1=correct; 2=incorrect",""
"evalpons47","Integer","","Recommended","Selection for Scene 47","1;2","1=correct; 2=incorrect",""
"evalpons48","Integer","","Recommended","Selection for Scene 48","1;2","1=correct; 2=incorrect",""
"evalpons49","Integer","","Recommended","Selection for Scene 49","1;2","1=correct; 2=incorrect",""
"evalpons50","Integer","","Recommended","Selection for Scene 50","1;2","1=correct; 2=incorrect",""
"evalpons51","Integer","","Recommended","Selection for Scene 51","1;2","1=correct; 2=incorrect",""
"evalpons52","Integer","","Recommended","Selection for Scene 52","1;2","1=correct; 2=incorrect",""
"evalpons53","Integer","","Recommended","Selection for Scene 53","1;2","1=correct; 2=incorrect",""
"evalpons54","Integer","","Recommended","Selection for Scene 54","1;2","1=correct; 2=incorrect",""
"evalpons55","Integer","","Recommended","Selection for Scene 55","1;2","1=correct; 2=incorrect",""
"evalpons56","Integer","","Recommended","Selection for Scene 56","1;2","1=correct; 2=incorrect",""
"evalpons57","Integer","","Recommended","Selection for Scene 57","1;2","1=correct; 2=incorrect",""
"evalpons58","Integer","","Recommended","Selection for Scene 58","1;2","1=correct; 2=incorrect",""
"evalpons59","Integer","","Recommended","Selection for Scene 59","1;2","1=correct; 2=incorrect",""
"evalpons60","Integer","","Recommended","Selection for Scene 60","1;2","1=correct; 2=incorrect",""
"evalpons61","Integer","","Recommended","Selection for Scene 61","1;2","1=correct; 2=incorrect",""
"evalpons62","Integer","","Recommended","Selection for Scene 62","1;2","1=correct; 2=incorrect",""
"evalpons63","Integer","","Recommended","Selection for Scene 63","1;2","1=correct; 2=incorrect",""
"evalpons64","Integer","","Recommended","Selection for Scene 64","1;2","1=correct; 2=incorrect",""
"evalpons65","Integer","","Recommended","Selection for Scene 65","1;2","1=correct; 2=incorrect",""
"evalpons66","Integer","","Recommended","Selection for Scene 66","1;2","1=correct; 2=incorrect",""
"evalpons67","Integer","","Recommended","Selection for Scene 67","1;2","1=correct; 2=incorrect",""
"evalpons68","Integer","","Recommended","Selection for Scene 68","1;2","1=correct; 2=incorrect",""
"evalpons69","Integer","","Recommended","Selection for Scene 69","1;2","1=correct; 2=incorrect",""
"evalpons70","Integer","","Recommended","Selection for Scene 70","1;2","1=correct; 2=incorrect",""
"evalpons71","Integer","","Recommended","Selection for Scene 71","1;2","1=correct; 2=incorrect",""
"evalpons72","Integer","","Recommended","Selection for Scene 72","1;2","1=correct; 2=incorrect",""
"evalpons73","Integer","","Recommended","Selection for Scene 73","1;2","1=correct; 2=incorrect",""
"evalpons74","Integer","","Recommended","Selection for Scene 74","1;2","1=correct; 2=incorrect",""
"evalpons75","Integer","","Recommended","Selection for Scene 75","1;2","1=correct; 2=incorrect",""
"evalpons76","Integer","","Recommended","Selection for Scene 76","1;2","1=correct; 2=incorrect",""
"evalpons77","Integer","","Recommended","Selection for Scene 77","1;2","1=correct; 2=incorrect",""
"evalpons78","Integer","","Recommended","Selection for Scene 78","1;2","1=correct; 2=incorrect",""
"evalpons79","Integer","","Recommended","Selection for Scene 79","1;2","1=correct; 2=incorrect",""
"evalpons80","Integer","","Recommended","Selection for Scene 80","1;2","1=correct; 2=incorrect",""
"evalpons81","Integer","","Recommended","Selection for Scene 81","1;2","1=correct; 2=incorrect",""
"evalpons82","Integer","","Recommended","Selection for Scene 82","1;2","1=correct; 2=incorrect",""
"evalpons83","Integer","","Recommended","Selection for Scene 83","1;2","1=correct; 2=incorrect",""
