"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"nfcs1","Integer","","Recommended","I prefer complex to simple problems.","1::5;-9","1= Extremely uncharacteristic of me; 2= Somewhat uncharacteristic of me; 3= Uncertain; 4= Somewhat characteristic of me; 5= Extremely characteristic of me; -9 = Incomplete",""
"nfcs2","Integer","","Recommended","I like to have the responsibility of handling a situation that requires a lot of thinking.","1::5;-9","1= Extremely uncharacteristic of me; 2= Somewhat uncharacteristic of me; 3= Uncertain; 4= Somewhat characteristic of me; 5= Extremely characteristic of me; -9 = Incomplete",""
"nfcs3","Integer","","Recommended","Thinking is not my idea of fun. (reverse)","1::5;-9","5= Extremely uncharacteristic of me; 4= Somewhat uncharacteristic of me; 3= Uncertain; 2= Somewhat characteristic of me; 1= Extremely characteristic of me; -9 = Incomplete",""
"nfcs4","Integer","","Recommended","I would rather do something that requires little thought than something that is sure to challenger my thinking abilities. (reverse)","1::5;-9","5= Extremely uncharacteristic of me; 4= Somewhat uncharacteristic of me; 3= Uncertain; 2= Somewhat characteristic of me; 1= Extremely characteristic of me; -9 = Incomplete",""
"nfcs5","Integer","","Recommended","I try to anticipate and avoid situations where there is a likely chance I will have to think in depth about something. (reverse)","1::5;-9","5= Extremely uncharacteristic of me; 4= Somewhat uncharacteristic of me; 3= Uncertain; 2= Somewhat characteristic of me; 1= Extremely characteristic of me; -9 = Incomplete",""
"nfcs6","Integer","","Recommended","I find satisfaction in deliberating hard and for long hours.","1::5;-9","1= Extremely uncharacteristic of me; 2= Somewhat uncharacteristic of me; 3= Uncertain; 4= Somewhat characteristic of me; 5= Extremely characteristic of me; -9 = Incomplete",""
"nfcs7","Integer","","Recommended","I only think as hard as I have to. (reverse)","1::5;-9","5= Extremely uncharacteristic of me; 4= Somewhat uncharacteristic of me; 3= Uncertain; 2= Somewhat characteristic of me; 1= Extremely characteristic of me; -9 = Incomplete",""
"nfcs8","Integer","","Recommended","I prefer to think about small daily projkects to long term ones. (reverse)","1::5;-9","5= Extremely uncharacteristic of me; 4= Somewhat uncharacteristic of me; 3= Uncertain; 2= Somewhat characteristic of me; 1= Extremely characteristic of me; -9 = Incomplete",""
"nfcs9","Integer","","Recommended","I like tasks that require little thought once I've learned them. (reverse)","1::5;-9","5= Extremely uncharacteristic of me; 4= Somewhat uncharacteristic of me; 3= Uncertain; 2= Somewhat characteristic of me; 1= Extremely characteristic of me; -9 = Incomplete",""
"nfcs10","Integer","","Recommended","The idea of relying on thought to make my way to the top appeals to me.","1::5;-9","1= Extremely uncharacteristic of me; 2= Somewhat uncharacteristic of me; 3= Uncertain; 4= Somewhat characteristic of me; 5= Extremely characteristic of me; -9 = Incomplete",""
"nfcs11","Integer","","Recommended","I really enjoy a task that involves coming up with new solutions to problems.","1::5;-9","1= Extremely uncharacteristic of me; 2= Somewhat uncharacteristic of me; 3= Uncertain; 4= Somewhat characteristic of me; 5= Extremely characteristic of me; -9 = Incomplete",""
"nfcs12","Integer","","Recommended","Learning new ways to think doesn't excite me very much. (reverse)","1::5;-9","5= Extremely uncharacteristic of me; 4= Somewhat uncharacteristic of me; 3= Uncertain; 2= Somewhat characteristic of me; 1= Extremely characteristic of me; -9 = Incomplete",""
"nfcs13","Integer","","Recommended","I prefer my life to be filled with puzzles I must solve.","1::5;-9","1= Extremely uncharacteristic of me; 2= Somewhat uncharacteristic of me; 3= Uncertain; 4= Somewhat characteristic of me; 5= Extremely characteristic of me; -9 = Incomplete",""
"nfcs14","Integer","","Recommended","The notion of thinking abstractly is appealing to me.","1::5;-9","1= Extremely uncharacteristic of me; 2= Somewhat uncharacteristic of me; 3= Uncertain; 4= Somewhat characteristic of me; 5= Extremely characteristic of me; -9 = Incomplete",""
"nfcs15","Integer","","Recommended","I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.","1::5;-9","1= Extremely uncharacteristic of me; 2= Somewhat uncharacteristic of me; 3= Uncertain; 4= Somewhat characteristic of me; 5= Extremely characteristic of me; -9 = Incomplete",""
"nfcs16","Integer","","Recommended","I feel relief rather than satisfaction after completing a task that requires a lot of mental effort. (reverse)","1::5;-9","5= Extremely uncharacteristic of me; 4= Somewhat uncharacteristic of me; 3= Uncertain; 2= Somewhat characteristic of me; 1= Extremely characteristic of me; -9 = Incomplete",""
"nfcs17","Integer","","Recommended","It's enough for me that something gets the job done; I don't care how or why it works. (reverse)","1::5;-9","5= Extremely uncharacteristic of me; 4= Somewhat uncharacteristic of me; 3= Uncertain; 2= Somewhat characteristic of me; 1= Extremely characteristic of me; -9 = Incomplete",""
"nfcs18","Integer","","Recommended","I usually end up deliberating about issues even when they do not affect me personally.","1::5;-9","1= Extremely uncharacteristic of me; 2= Somewhat uncharacteristic of me; 3= Uncertain; 4= Somewhat characteristic of me; 5= Extremely characteristic of me; -9 = Incomplete",""
"nfcstotal","Integer","","Recommended","Need for Cognition Scale Total","","",""
"nfcs_agree8","Integer","","Recommended","I prefer to think about small daily projects to long term ones. (Reverse Scored)","-4::4","4= Very strong disagreement; 3= Strong disagreement; 2= Moderate disagreement; 1= Slightly disagreement; 0= Neither agreement nor disagreement; -1= Slight agreement; -2= Moderate agreement; -3= Strong agreement; -4= Very strong agreement",""
"nfcs_agree9","Integer","","Recommended","I like tasks that require little thought once I have learned them. (Reverse Scored)","-4::4","4= Very strong disagreement; 3= Strong disagreement; 2= Moderate disagreement; 1= Slightly disagreement; 0= Neither agreement nor disagreement; -1= Slight agreement; -2= Moderate agreement; -3= Strong agreement; -4= Very strong agreement",""
"nfcs_agree10","Integer","","Recommended","The idea of relying on thought to make my way to the top appeals to me.","-4::4","-4= Very strong disagreement; -3= Strong disagreement; -2= Moderate disagreement; -1= Slightly disagreement; 0= Neither agreement nor disagreement; 1= Slight agreement; 2= Moderate agreement; 3= Strong agreement; 4= Very strong agreement",""
"nfcs_agree11","Integer","","Recommended","I really enjoy a task that involves coming up with new solutions to problems.","-4::4","-4= Very strong disagreement; -3= Strong disagreement; -2= Moderate disagreement; -1= Slightly disagreement; 0= Neither agreement nor disagreement; 1= Slight agreement; 2= Moderate agreement; 3= Strong agreement; 4= Very strong agreement",""
"nfcs_agree12","Integer","","Recommended","Learning new ways to think does not excite me very much. (Reverse Scored)","-4::4","4= Very strong disagreement; 3= Strong disagreement; 2= Moderate disagreement; 1= Slightly disagreement; 0= Neither agreement nor disagreement; -1= Slight agreement; -2= Moderate agreement; -3= Strong agreement; -4= Very strong agreement",""
"nfcs_agree13","Integer","","Recommended","I prefer my life to be filled with puzzles I must solve.","-4::4","-4= Very strong disagreement; -3= Strong disagreement; -2= Moderate disagreement; -1= Slightly disagreement; 0= Neither agreement nor disagreement; 1= Slight agreement; 2= Moderate agreement; 3= Strong agreement; 4= Very strong agreement",""
"nfcs_agree14","Integer","","Recommended","The notion of thinking abstractly is appealing to me.","-4::4","-4= Very strong disagreement; -3= Strong disagreement; -2= Moderate disagreement; -1= Slightly disagreement; 0= Neither agreement nor disagreement; 1= Slight agreement; 2= Moderate agreement; 3= Strong agreement; 4= Very strong agreement",""
"nfcs_agree15","Integer","","Recommended","I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.","-4::4","-4= Very strong disagreement; -3= Strong disagreement; -2= Moderate disagreement; -1= Slightly disagreement; 0= Neither agreement nor disagreement; 1= Slight agreement; 2= Moderate agreement; 3= Strong agreement; 4= Very strong agreement",""
"nfcs_agree16","Integer","","Recommended","I feel relief rather than satisfaction after completing a task that requires a lot of mental effort. (Reverse Scored)","-4::4","4= Very strong disagreement; 3= Strong disagreement; 2= Moderate disagreement; 1= Slightly disagreement; 0= Neither agreement nor disagreement; -1= Slight agreement; -2= Moderate agreement; -3= Strong agreement; -4= Very strong agreement",""
"nfcs_agree17","Integer","","Recommended","It is enough for me that something gets the job done; I do not care how or why it works. (Reverse Scored)","-4::4","4= Very strong disagreement; 3= Strong disagreement; 2= Moderate disagreement; 1= Slightly disagreement; 0= Neither agreement nor disagreement; -1= Slight agreement; -2= Moderate agreement; -3= Strong agreement; -4= Very strong agreement",""
"nfcs_agree18","Integer","","Recommended","I usually end up deliberating about issues even when they do not affect me personally.","-4::4","-4= Very strong disagreement; -3= Strong disagreement; -2= Moderate disagreement; -1= Slightly disagreement; 0= Neither agreement nor disagreement; 1= Slight agreement; 2= Moderate agreement; 3= Strong agreement; 4= Very strong agreement",""
"nfcs_agree_total","Integer","","Recommended","Need for Cognition Scale Total (9-point scale)","-72::72","Sum of items nfcs_agree1 through nfcs_agree18 (with items 3-5, 7-9, 12, 16-17 reversed)",""
"nfcs_agree1","Integer","","Recommended","I would prefer complex to simple problems.","-4::4","-4= Very strong disagreement; -3= Strong disagreement; -2= Moderate disagreement; -1= Slightly disagreement; 0= Neither agreement nor disagreement; 1= Slight agreement; 2= Moderate agreement; 3= Strong agreement; 4= Very strong agreement",""
"nfcs_agree2","Integer","","Recommended","I like to have the responsibility of handling a situation that requires a lot of thinking.","-4::4","-4= Very strong disagreement; -3= Strong disagreement; -2= Moderate disagreement; -1= Slightly disagreement; 0= Neither agreement nor disagreement; 1= Slight agreement; 2= Moderate agreement; 3= Strong agreement; 4= Very strong agreement",""
"nfcs_agree3","Integer","","Recommended","Thinking is not my idea of fun. (Reverse Scored)","-4::4","4= Very strong disagreement; 3= Strong disagreement; 2= Moderate disagreement; 1= Slightly disagreement; 0= Neither agreement nor disagreement; -1= Slight agreement; -2= Moderate agreement; -3= Strong agreement; -4= Very strong agreement",""
"nfcs_agree4","Integer","","Recommended","I would rather do something that requires little thought than something that is sure to challenger my thinking abilities. (Reverse Scored)","-4::4","4= Very strong disagreement; 3= Strong disagreement; 2= Moderate disagreement; 1= Slightly disagreement; 0= Neither agreement nor disagreement; -1= Slight agreement; -2= Moderate agreement; -3= Strong agreement; -4= Very strong agreement",""
"nfcs_agree5","Integer","","Recommended","I try to anticipate and avoid situations where there is a likely chance I will have to think in depth about something. (Reverse Scored)","-4::4","4= Very strong disagreement; 3= Strong disagreement; 2= Moderate disagreement; 1= Slightly disagreement; 0= Neither agreement nor disagreement; -1= Slight agreement; -2= Moderate agreement; -3= Strong agreement; -4= Very strong agreement",""
"nfcs_agree6","Integer","","Recommended","I find satisfaction in deliberating hard and for long hours.","-4::4","-4= Very strong disagreement; -3= Strong disagreement; -2= Moderate disagreement; -1= Slightly disagreement; 0= Neither agreement nor disagreement; 1= Slight agreement; 2= Moderate agreement; 3= Strong agreement; 4= Very strong agreement",""
