"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"q4_age2_1r","String","50","Recommended","Shoe. Response","","",""
"q4_age2_1","Integer","","Recommended","Shoe","1;2","1=Correct; 2=Incorrect",""
"q4_age2_2r","String","50","Recommended","Fish. Response","","",""
"q4_age2_2","Integer","","Recommended","Fish","1;2","1=Correct; 2=Incorrect",""
"q4_age2_3r","String","50","Recommended","Chair. Response","","",""
"q4_age2_3","Integer","","Recommended","Chair","1;2","1=Correct; 2=Incorrect",""
"q4_age2_4r","String","50","Recommended","Balloon. Response","","",""
"q4_age2_4","Integer","","Recommended","Balloon","1;2","1=Correct; 2=Incorrect",""
"q4_age2_5r","String","50","Recommended","Spoon. Response","","",""
"q4_age2_5","Integer","","Recommended","Spoon","1;2","1=Correct; 2=Incorrect",""
"q4_age2_6r","String","50","Recommended","Door. Response","","",""
"q4_age2_6","Integer","","Recommended","Door","1;2","1=Correct; 2=Incorrect",""
"q4_age2_7r","String","50","Recommended","Bed. Response","","",""
"q4_age2_7","Integer","","Recommended","Bed","1;2","1=Correct; 2=Incorrect",""
"q4_age2_8r","String","50","Recommended","Hand. Response","","",""
"q4_age2_8","Integer","","Recommended","Hand","1;2","1=Correct; 2=Incorrect",""
"q4_age2_9r","String","50","Recommended","Car. Response","","",""
"q4_age2_9","Integer","","Recommended","Car","1;2","1=Correct; 2=Incorrect",""
"q4_age2_10r","String","50","Recommended","Lion. Response","","",""
"q4_age2_10","Integer","","Recommended","Lion","1;2","1=Correct; 2=Incorrect",""
"q4_age2_11r","String","50","Recommended","Carrot. Response","","",""
"q4_age2_11","Integer","","Recommended","Carrot","1;2","1=Correct; 2=Incorrect",""
"q4_age2_12r","String","50","Recommended","Hat. Response","","",""
"q4_age2_12","Integer","","Recommended","Hat","1;2","1=Correct; 2=Incorrect",""
"q4_age2_13r","String","50","Recommended","House. Response","","",""
"q4_age2_13","Integer","","Recommended","House","1;2","1=Correct; 2=Incorrect",""
"q4_age2_14r","String","50","Recommended","Socks. Response","","",""
"q4_age2_14","Integer","","Recommended","Socks","1;2","1=Correct; 2=Incorrect",""
"q5_age3_15r","String","50","Recommended","Rabbit. Response","","",""
"q5_age3_15","Integer","","Recommended","Rabbit","1;2","1=Correct; 2=Incorrect",""
"q5_age3_16r","String","50","Recommended","Clock. Response","","",""
"q5_age3_16","Integer","","Recommended","Clock","1;2","1=Correct; 2=Incorrect",""
"q5_age3_17r","String","50","Recommended","Flower. Response","","",""
"q5_age3_17","Integer","","Recommended","Flower","1;2","1=Correct; 2=Incorrect",""
"q5_age3_18r","String","50","Recommended","Belt. Response","","",""
"q5_age3_18","Integer","","Recommended","Belt","1;2","1=Correct; 2=Incorrect",""
"q5_age3_19r","String","50","Recommended","People. Response","","",""
"q5_age3_19","Integer","","Recommended","People","1;2","1=Correct; 2=Incorrect",""
"q5_age3_20r","String","50","Recommended","Sun. Response","","",""
"q5_age3_20","Integer","","Recommended","Sun","1;2","1=Correct; 2=Incorrect",""
"q5_age3_21r","String","50","Recommended","Bear. Response","","",""
"q5_age3_21","Integer","","Recommended","Bear","1;2","1=Correct; 2=Incorrect",""
"q5_age3_22r","String","50","Recommended","Thumb. Response","","",""
"q5_age3_22","Integer","","Recommended","Thumb","1;2","1=Correct; 2=Incorrect",""
"q5_age3_23r","String","50","Recommended","Bowl. Response","","",""
"q5_age3_23","Integer","","Recommended","Bowl","1;2","1=Correct; 2=Incorrect",""
"q5_age3_24r","String","50","Recommended","Happy. Response","","",""
"q5_age3_24","Integer","","Recommended","Happy","1;2","1=Correct; 2=Incorrect",""
"q6_age4_25r","String","50","Recommended","Cutting. Response","","",""
"q6_age4_25","Integer","","Recommended","Cutting","1;2","1=Correct; 2=Incorrect",""
"q6_age4_26r","String","50","Recommended","Cookie. Response","","",""
"q6_age4_26","Integer","","Recommended","Cookie","1;2","1=Correct; 2=Incorrect",""
"q6_age4_27r","String","50","Recommended","Nose. Response","","",""
"q6_age4_27","Integer","","Recommended","Nose","1;2","1=Correct; 2=Incorrect",""
"q6_age4_28r","String","50","Recommended","Spilling. Response","","",""
"q6_age4_28","Integer","","Recommended","Spilling","1;2","1=Correct; 2=Incorrect",""
"q6_age4_29r","String","50","Recommended","Crab. Response","","",""
"q6_age4_29","Integer","","Recommended","Crab","1;2","1=Correct; 2=Incorrect",""
"q6_age4_30r","String","50","Recommended","Mailman. Response","","",""
"q6_age4_30","Integer","","Recommended","Mailman","1;2","1=Correct; 2=Incorrect",""
"q6_age4_31r","String","50","Recommended","Knees. Response","","",""
"q6_age4_31","Integer","","Recommended","Knees","1;2","1=Correct; 2=Incorrect",""
"q6_age4_32r","String","50","Recommended","Pear. Response","","",""
"q6_age4_32","Integer","","Recommended","Pear","1;2","1=Correct; 2=Incorrect",""
"q6_age4_33r","String","50","Recommended","Barking. Response","","",""
"q6_age4_33","Integer","","Recommended","Barking","1;2","1=Correct; 2=Incorrect",""
"q6_age4_34r","String","50","Recommended","Open. Response","","",""
"q6_age4_34","Integer","","Recommended","Open","1;2","1=Correct; 2=Incorrect",""
"q7_age5_35r","String","50","Recommended","Jump. Response","","",""
"q7_age5_35","Integer","","Recommended","Jump","1;2","1=Correct; 2=Incorrect",""
"q7_age5_36r","String","50","Recommended","Groceries. Response","","",""
"q7_age5_36","Integer","","Recommended","Groceries","1;2","1=Correct; 2=Incorrect",""
"q7_age5_37r","String","50","Recommended","Jungle. Response","","",""
"q7_age5_37","Integer","","Recommended","Jungle","1;2","1=Correct; 2=Incorrect",""
"q7_age5_38r","String","50","Recommended","Round. Response","","",""
"q7_age5_38","Integer","","Recommended","Round","1;2","1=Correct; 2=Incorrect",""
"q7_age5_39r","String","50","Recommended","Juggler. Response","","",""
"q7_age5_39","Integer","","Recommended","Juggler","1;2","1=Correct; 2=Incorrect",""
"q7_age5_40r","String","50","Recommended","Oval. Response","","",""
"q7_age5_40","Integer","","Recommended","Oval","1;2","1=Correct; 2=Incorrect",""
"q7_age5_41r","String","50","Recommended","Snake. Response","","",""
"q7_age5_41","Integer","","Recommended","Snake","1;2","1=Correct; 2=Incorrect",""
"q7_age5_42r","String","50","Recommended","Diamond. Response","","",""
"q7_age5_42","Integer","","Recommended","Diamond","1;2","1=Correct; 2=Incorrect",""
"q7_age5_43r","String","50","Recommended","Celebration. Response","","",""
"q7_age5_43","Integer","","Recommended","Celebration","1;2","1=Correct; 2=Incorrect",""
"q7_age5_44r","String","50","Recommended","Camera. Response","","",""
"q7_age5_44","Integer","","Recommended","Camera","1;2","1=Correct; 2=Incorrect",""
"q8_age6_45r","String","50","Recommended","Baseball. Response","","",""
"q8_age6_45","Integer","","Recommended","Baseball","1;2","1=Correct; 2=Incorrect",""
"q8_age6_46r","String","50","Recommended","Mailing. Response","","",""
"q8_age6_46","Integer","","Recommended","Mailing","1;2","1=Correct; 2=Incorrect",""
"q8_age6_47r","String","50","Recommended","Broken. Response","","",""
"q8_age6_47","Integer","","Recommended","Broken","1;2","1=Correct; 2=Incorrect",""
"q8_age6_48r","String","50","Recommended","Coat. Response","","",""
"q8_age6_48","Integer","","Recommended","Coat","1;2","1=Correct; 2=Incorrect",""
"q8_age6_49r","String","50","Recommended","Letter. Response","","",""
"q8_age6_49","Integer","","Recommended","Letter","1;2","1=Correct; 2=Incorrect",""
"q8_age6_50r","String","50","Recommended","Stack. Response","","",""
"q8_age6_50","Integer","","Recommended","Stack","1;2","1=Correct; 2=Incorrect",""
"q8_age6_51r","String","50","Recommended","Mop. Response","","",""
"q8_age6_51","Integer","","Recommended","Mop","1;2","1=Correct; 2=Incorrect",""
"q8_age6_52r","String","50","Recommended","Melting. Response","","",""
"q8_age6_52","Integer","","Recommended","Melting","1;2","1=Correct; 2=Incorrect",""
"q8_age6_53r","String","50","Recommended","Number. Response","","",""
"q8_age6_53","Integer","","Recommended","Number","1;2","1=Correct; 2=Incorrect",""
"q8_age6_54r","String","50","Recommended","Pilot. Response","","",""
"q8_age6_54","Integer","","Recommended","Pilot","1;2","1=Correct; 2=Incorrect",""
"q9_age7_55r","String","50","Recommended","Hatching. Response","","",""
"q9_age7_55","Integer","","Recommended","Hatching","1;2","1=Correct; 2=Incorrect",""
"q9_age7_56r","String","50","Recommended","Liquid. Response","","",""
"q9_age7_56","Integer","","Recommended","Liquid","1;2","1=Correct; 2=Incorrect",""
"q9_age7_57r","String","50","Recommended","Pitching. Response","","",""
"q9_age7_57","Integer","","Recommended","Pitching","1;2","1=Correct; 2=Incorrect",""
"q9_age7_58r","String","50","Recommended","Swan. Response","","",""
"q9_age7_58","Integer","","Recommended","Swan","1;2","1=Correct; 2=Incorrect",""
"q9_age7_59r","String","50","Recommended","Sailboat. Response","","",""
"q9_age7_59","Integer","","Recommended","Sailboat","1;2","1=Correct; 2=Incorrect",""
"q9_age7_60r","String","50","Recommended","Onion. Response","","",""
"q9_age7_60","Integer","","Recommended","Onion","1;2","1=Correct; 2=Incorrect",""
"q9_age7_61r","String","50","Recommended","Core. Response","","",""
"q9_age7_61","Integer","","Recommended","Core","1;2","1=Correct; 2=Incorrect",""
"q9_age7_62r","String","50","Recommended","Cliff. Response","","",""
"q9_age7_62","Integer","","Recommended","Cliff","1;2","1=Correct; 2=Incorrect",""
"q9_age7_63r","String","50","Recommended","Eruption. Response","","",""
"q9_age7_63","Integer","","Recommended","Eruption","1;2","1=Correct; 2=Incorrect",""
"q9_age7_64r","String","50","Recommended","Unicycle. Response","","",""
"q9_age7_64","Integer","","Recommended","Unicycle","1;2","1=Correct; 2=Incorrect",""
"q10_age8_9_65r","String","50","Recommended","Saxophone. Response","","",""
"q10_age8_9_65","Integer","","Recommended","Saxophone","1;2","1=Correct; 2=Incorrect",""
"q10_age8_9_66r","String","50","Recommended","Vine. Response","","",""
"q10_age8_9_66","Integer","","Recommended","Vine","1;2","1=Correct; 2=Incorrect",""
"q10_age8_9_67r","String","50","Recommended","Twig. Response","","",""
"q10_age8_9_67","Integer","","Recommended","Twig","1;2","1=Correct; 2=Incorrect",""
"q10_age8_9_68r","String","50","Recommended","Frame. Response","","",""
"q10_age8_9_68","Integer","","Recommended","Frame","1;2","1=Correct; 2=Incorrect",""
"q10_age8_9_69r","String","50","Recommended","Protect. Response","","",""
"q10_age8_9_69","Integer","","Recommended","Protect","1;2","1=Correct; 2=Incorrect",""
"q10_age8_9_70r","String","50","Recommended","Reflection. Response","","",""
"q10_age8_9_70","Integer","","Recommended","Reflection","1;2","1=Correct; 2=Incorrect",""
"q10_age8_9_71r","String","50","Recommended","Discussion. Response","","",""
"q10_age8_9_71","Integer","","Recommended","Discussion","1;2","1=Correct; 2=Incorrect",""
