"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"cia01","Integer","","Recommended","I feel little or no conflict between my racial/ethnic identity and my [piped SO] identity.","1::7;888;999","1 = Disagree strongly; 4 = Neither disagree nor agree; 7 = Agree strongly; 888 = N/A condition skipped; 999 = Missing/no answer",""
"cia02","Integer","","Recommended","I have not yet found a way to integrate being [piped SO] with being a member of my racial/ethnic group.","1::7;888;999","1 = Disagree strongly; 4 = Neither disagree nor agree; 7 = Agree strongly; 888 = N/A condition skipped; 999 = Missing/no answer",""
"cia03","Integer","","Recommended","It is easy for me to be both [piped SO] and a member of my racial/ethnic group.","1::7;888;999","1 = Disagree strongly; 4 = Neither disagree nor agree; 7 = Agree strongly; 888 = N/A condition skipped; 999 = Missing/no answer",""
"cia04","Integer","","Recommended","I separate my [piped SO] and racial/ethnic identities.","1::7;888;999","1 = Disagree strongly; 4 = Neither disagree nor agree; 7 = Agree strongly; 888 = N/A condition skipped; 999 = Missing/no answer",""
"cia05","Integer","","Recommended","I often feel like I'm betraying either my racial/ethnic community or the LGBTQ+ community.","1::7;888;999","1 = Disagree strongly; 4 = Neither disagree nor agree; 7 = Agree strongly; 888 = N/A condition skipped; 999 = Missing/no answer",""
"cia06","Integer","","Recommended","I feel as if my sense of racial/ethnic identity is at odds with my [piped SO] identity.","1::7;888;999","1 = Disagree strongly; 4 = Neither disagree nor agree; 7 = Agree strongly; 888 = N/A condition skipped; 999 = Missing/no answer",""
