"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"erica_01","Integer","","Recommended","I am a happy person","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"erica_02","Integer","","Recommended","When adults are friendly to me, I am friendly to them","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"erica_03","Integer","","Recommended","I handle it well when things change or I have to try something new","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"erica_04","Integer","","Recommended","When I get upset, I can get over it quickly","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"erica_05","Integer","","Recommended","When things don't go my way I get upset easily","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"rev_erica_05","Integer","","Recommended","Reverse scoring of erica_05 - When things don't go my way I get upset easily.","1::6;6666;9999","1= Strongly Agree; 2= Agree; 3= Half and Half ; 4= Disagree; 5= Strongly Disagree; 6666= Missing; 9999= Not Applicable",""
"erica_06","Integer","","Recommended","When other kids are friendly to me, I am friendly to them","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"erica_07","Integer","","Recommended","I have angry outbursts","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"rev_erica_07","Integer","","Recommended","Reverse scoring of erica_07 - I have angry outbursts.","1::6;6666;9999","1= Strongly Agree; 2= Agree; 3= Half and Half ; 4= Disagree; 5= Strongly Disagree; 6666= Missing; 9999= Not Applicable",""
"erica_08","Integer","","Recommended","I am impatient","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"rev_erica_08","Integer","","Recommended","Reverse scoring of erica_08 - I am impatient.","1::6;6666;9999","1= Strongly Agree; 2= Agree; 3= Half and Half ; 4= Disagree; 5= Strongly Disagree; 6666= Missing; 9999= Not Applicable",""
"erica_09","Integer","","Recommended","I enjoy seeing others hurt or upset","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"rev_erica_09","Integer","","Recommended","Reverse scoring of erica_09 - I enjoy seeing others hurt or upset.","1::6;6666;9999","1= Strongly Agree; 2= Agree; 3= Half and Half ; 4= Disagree; 5= Strongly Disagree; 6666= Missing; 9999= Not Applicable",""
"erica_10","Integer","","Recommended","I can be disruptive at the wrong times","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"rev_erica_10","Integer","","Recommended","Reverse scoring of erica_10 - I can be disruptive at the wrong times.","1::6;6666;9999","1= Strongly Agree; 2= Agree; 3= Half and Half ; 4= Disagree; 5= Strongly Disagree; 6666= Missing; 9999= Not Applicable",""
"erica_11","Integer","","Recommended","I get angry when adults tell me what I can and cannot do","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"rev_erica_11","Integer","","Recommended","Reverse scoring of erica_11 - I get angry when adults tell me what I can and cannot do.","1::6;6666;9999","1= Strongly Agree; 2= Agree; 3= Half and Half ; 4= Disagree; 5= Strongly Disagree; 6666= Missing; 9999= Not Applicable",""
"erica_12","Integer","","Recommended","I am a sad person","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"rev_erica_12","Integer","","Recommended","Reverse scoring of erica_12 - I am a sad person.","1::6;6666;9999","1= Strongly Agree; 2= Agree; 3= Half and Half ; 4= Disagree; 5= Strongly Disagree; 6666= Missing; 9999= Not Applicable",""
"erica_13","Integer","","Recommended","I have trouble waiting for something I want","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"rev_erica_13","Integer","","Recommended","Reverse scoring of erica_13 - I have trouble waiting for something I want.","1::6;6666;9999","1= Strongly Agree; 2= Agree; 3= Half and Half ; 4= Disagree; 5= Strongly Disagree; 6666= Missing; 9999= Not Applicable",""
"erica_14","Integer","","Recommended","I am quiet and shy, and I don't show my feelings","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"rev_erica_14","Integer","","Recommended","Reverse scoring of erica_14 - I am quiet and shy, and I don't show my feelings.","1::6;6666;9999","1= Strongly Agree; 2= Agree; 3= Half and Half ; 4= Disagree; 5= Strongly Disagree; 6666= Missing; 9999= Not Applicable",""
"erica_15","Integer","","Recommended","I do things without thinking about them first","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"rev_erica_15","Integer","","Recommended","Reverse scoring of erica_15 - I do things without thinking about them first.","1::6;6666;9999","1= Strongly Agree; 2= Agree; 3= Half and Half ; 4= Disagree; 5= Strongly Disagree; 6666= Missing; 9999= Not Applicable",""
"erica_16","Integer","","Recommended","When others are upset, I become sad or concerned for them","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"erica_17","Integer","","Recommended","I annoy others by not minding my own business","1::6;6666;9999","1= Strongly Disagree; 2= Disagree; 3= Half and Half ; 4= Agree; 5= Strongly Agree; 6666= Missing; 9999= Not Applicable",""
"rev_erica_17","Integer","","Recommended","Reverse scoring of erica_17 - I annoy others by not minding my own business.","1::6;6666;9999","1= Strongly Agree; 2= Agree; 3= Half and Half ; 4= Disagree; 5= Strongly Disagree; 6666= Missing; 9999= Not Applicable",""
"erica_emotionalcontrol_avg","Float","","Recommended","ERICA Emotional Control Subscale Mean","1::6;6666;9999","Average of items 5 (reversed), 7 (reversed), 8 (reversed), 10 (reversed), 11 (reversed), 13 (reversed), 15 (reversed), and 17 (reversed); 6666= Missing; 9999= Applicable",""
"erica_emotionalaware_avg","Float","","Recommended","ERICA Emotional Self-Awareness Subscale Mean","1::6;6666;9999","Average of items 1, 3, 4, 12 (reversed), and 14 (reversed); 6666= Missing; 9999= Applicable",""
"erica_situationalresp_avg","Float","","Recommended","ERICA Situational Responsiveness Subscale Mean","1::6;6666;9999","Average of items 2, 6, 9 (reversed), and 16; 6666= Missing; 9999= Applicable",""
"erica_emotionalcontrol_score","Integer","","Recommended","ERICA Emotional Control Subscale Score","8::48;6666;9999","Sum of items 5 (reversed), 7 (reversed), 8 (reversed), 10 (reversed), 11 (reversed), 13 (reversed), 15 (reversed), and 17 (reversed); 6666= Missing; 9999= Applicable",""
"erica_emotionalaware_score","Integer","","Recommended","ERICA Emotional Self-Awareness Subscale Score","5::30;6666;9999","Sum of items 1, 3, 4, 12 (reversed), and 14 (reversed); 6666= Missing; 9999= Applicable",""
"erica_situationalresp_score","Integer","","Recommended","ERICA Situational Responsiveness Subscale Score","4::24;6666;9999","Sum of items 2, 6, 9 (reversed), and 16; 6666= Missing; 9999= Applicable",""
"erica_sum_score","Integer","","Recommended","ERICA Sum score (Higher scores indicate greater emotional control)","17::102;6666;9999","Sum of items 1-17 (using reversed scores when indicated); 6666= Missing; 9999= Applicable",""
