"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"eac1_y","Integer","","Recommended","I take time to figure out what I'm really feeling.","0::4; 777; 999","0 = I don't do this at all; 1 = I do this a little bit; 2 = I do this a medium amount; 3 = I do this often; 4 = I do this all the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"eac2_y","Integer","","Recommended","I delve into my feelings to get a thorough understanding of them.","0::4; 777; 999","0 = I don't do this at all; 1 = I do this a little bit; 2 = I do this a medium amount; 3 = I do this often; 4 = I do this all the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"eac3_y","Integer","","Recommended","I take time to express my emotions.","0::4; 777; 999","0 = I don't do this at all; 1 = I do this a little bit; 2 = I do this a medium amount; 3 = I do this often; 4 = I do this all the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"eac4_y","Integer","","Recommended","I allow myself to express my emotions.","0::4; 777; 999","0 = I don't do this at all; 1 = I do this a little bit; 2 = I do this a medium amount; 3 = I do this often; 4 = I do this all the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"eac5_y","Integer","","Recommended","I feel free to express my emotions.","0::4; 777; 999","0 = I don't do this at all; 1 = I do this a little bit; 2 = I do this a medium amount; 3 = I do this often; 4 = I do this all the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"eac6_y","Integer","","Recommended","I realize that my feelings are valid and important.","0::4; 777; 999","0 = I don't do this at all; 1 = I do this a little bit; 2 = I do this a medium amount; 3 = I do this often; 4 = I do this all the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"eac7_y","Integer","","Recommended","I let my feelings come out freely.","0::4; 777; 999","0 = I don't do this at all; 1 = I do this a little bit; 2 = I do this a medium amount; 3 = I do this often; 4 = I do this all the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"eac8_y","Integer","","Recommended","I acknowledge my emotions.","0::4; 777; 999","0 = I don't do this at all; 1 = I do this a little bit; 2 = I do this a medium amount; 3 = I do this often; 4 = I do this all the time; 777 = participant should have replied but did not (accidental or intentional skip); 999 = No data (participant did not see/complete that scale)",""
"eac_ep_ybl","Float","","Recommended","Emotional Processing Subscale Average - EAC","0::4; 999","Higher scores suggest greater coping with emotion expression; 999 = No data (participant did not see/complete that scale)",""
"eac_ee_ybl","Float","","Recommended","Emotional Expression Subscale Average - EAC","0::4; 999","Higher scores suggest greater coping with emotion expression; 999 = No data (participant did not see/complete that scale)",""
