"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","stepid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visit","String","60","Recommended","Visit name","","",""
"dayscons","Integer","","Recommended","days since consent","","",""
"pdq1","Integer","","Recommended","I avoid working with others who may criticize me.","0;1;-7","0=False; 1=True; -7=Refused","10420,avdwork"
"pdq2","Integer","","Recommended","I can't make decisions without the advice, or reassurance, of others.","0;1;-7","0=False; 1=True; -7=Refused","10421,advothr"
"pdq3","Integer","","Recommended","I often get lost in details and lose sight of the big picture.","0;1;-7","0=False; 1=True; -7=Refused","10422,bigpictr"
"pdq4","Integer","","Recommended","I need to be the center of attention.","0;1;-7","0=False; 1=True; -7=Refused","10423,ctrattn"
"pdq5","Integer","","Recommended","I have accomplished far more than others give me credit for.","0;1;-7","0=False; 1=True; -7=Refused","10424,farmore"
"pdq6","Integer","","Recommended","I'll go to extremes to prevent those who I love from ever leaving me.","0;1;-7","0=False; 1=True; -7=Refused","10425,leaveme"
"pdq7","Integer","","Recommended","Others have complained that I do not keep up with my work or commitments.","0;1;-7","0=False; 1=True; -7=Refused","10426,keepwork"
"pdq8","Integer","","Recommended","I've been in trouble with the law several times (or would have been if I had been caught).","0;1;-7","0=False; 1=True; -7=Refused","10427,lawtime"
"pdq9","Integer","","Recommended","Spending time with family or friends just doesn't interest me.","0;1;-7","0=False; 1=True; -7=Refused","10428,fmlyfnds"
"pdq10","Integer","","Recommended","I get special messages from things happening around me.","0;1;-7","0=False; 1=True; -7=Refused","10429,aroundme"
"pdq11","Integer","","Recommended","I know that people will take advantage of me, or try to cheat me, if I let them.","0;1;-7","0=False; 1=True; -7=Refused","10430,cheatme"
"pdq12","Integer","","Recommended","Sometimes I get upset.","0;1;-7","0=False; 1=True; -7=Refused","10431,getupset"
"pdq13","Integer","","Recommended","I make friends with people only when I am sure they like me.","0;1;-7","0=False; 1=True; -7=Refused","10432,makefnds"
"pdq14","Integer","","Recommended","I am usually depressed.","0;1;-7","0=False; 1=True; -7=Refused","10433,usualdep"
"pdq15","Integer","","Recommended","I prefer that other people assume responsibility for me.","0;1;-7","0=False; 1=True; -7=Refused","10434,assumeme"
"pdq16","Integer","","Recommended","I waste time trying to make things too perfect.","0;1;-7","0=False; 1=True; -7=Refused","10435,tooprfct"
