"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"gbi4","Integer","","Recommended","P. Has your child had periods of extreme happiness and intense energy that last several days or more when he/she also felt more anxious or tense (jittery, nervous, uptight) than usual (other than relates to the menstrual cycle)?  S. Have you had periods of extreme happiness and intense energy lasting several days or more when you also felt much more anxious or tense (jittery, nervous, uptight) than usual (other than related to the menstrual cycle)?","0::3; 99","0 = Never - Hardly ever; 1 = Sometimes; 2 = Often; 3 = Very often - almost constantly; 99 = prefer not to answer",""
"s7upchildself2","Integer","","Recommended","Have there been times lasting several days or more when you felt you must have lots of excitement, and you actually did a lot of new or different things?","0::3;99","0 = Never or hardly ever; 1 = Sometimes; 2 = Often; 3 = Very often or almost constantly; 99 = Prefer not to answer",""
"gbi6","Integer","","Recommended","P. Has your child had periods of extreme happiness and intense energy (clearly more than his/her normal self) when, for several days or more, it took him/her over an hour to get to sleep at night? S. Have you had periods of extreme happiness and intense energy (clearly more than your usual self) when, for several days or more, it took you over an hour to get to sleep at night?","0::3; 99","0 = Never - Hardly ever; 1 = Sometimes; 2 = Often; 3 = Very often - almost constantly; 99 = prefer not to answer",""
"s7upchildself4","Integer","","Recommended","Have you had periods of extreme happiness and high energy lasting several days or more when what you saw, heard, smelled, tasted, or touched seemed vivid or intense?","0::3;99","0 = Never or hardly ever; 1 = Sometimes; 2 = Often; 3 = Very often or almost constantly; 99 = Prefer not to answer",""
"s7upchildself5","Integer","","Recommended","Have there been periods of several days or more when your thinking was so clear and quick that it was much better than most other people's?","0::3;99","0 = Never or hardly ever; 1 = Sometimes; 2 = Often; 3 = Very often or almost constantly; 99 = Prefer not to answer",""
"s7upchildself6","Integer","","Recommended","Have there been times of a couple days or more when you felt that you were a very important person or that your abilities or talents were better than most other people's?","0::3;99","0 = Never or hardly ever; 1 = Sometimes; 2 = Often; 3 = Very often or almost constantly; 99 = Prefer not to answer",""
"gbi10","Integer","","Recommended","P. Has your child had times when his/her thoughts and ideas came so fast that he/she couldn't get them all out, or they came so quickly others complained that they couldn't keep up with your child's ideas? S. Have you had times when your thoughts and ideas came so fast that you couldn’t get them all out, or they came so quickly others complained that they couldn’t keep up with your ideas?","0::3; 99","0 = Never - Hardly ever; 1 = Sometimes; 2 = Often; 3 = Very often - almost constantly; 99 = prefer not to answer",""
"s7upchildself8","Integer","","Recommended","Have there been times of several days or more when you were so sad that it was quite painful or you felt that you couldn't stand it?","0::3;99","0 = Never or hardly ever; 1 = Sometimes; 2 = Often; 3 = Very often or almost constantly; 99 = Prefer not to answer",""
"s7upchildself9","Integer","","Recommended","Have there been long periods in your life when you felt sad, depressed, or irritable most of the time?","0::3;99","0 = Never or hardly ever; 1 = Sometimes; 2 = Often; 3 = Very often or almost constantly; 99 = Prefer not to answer",""
"s7upchildself10","Integer","","Recommended","Have there been times when you have hated yourself or felt that you were stupid, ugly, unlovable, or useless?","0::3;99","0 = Never or hardly ever; 1 = Sometimes; 2 = Often; 3 = Very often or almost constantly; 99 = Prefer not to answer",""
"s7upchildself11","Integer","","Recommended","Have there been times of several days or more when you really got down on yourself and felt worthless?","0::3;99","0 = Never or hardly ever; 1 = Sometimes; 2 = Often; 3 = Very often or almost constantly; 99 = Prefer not to answer",""
"s7upchildself12","Integer","","Recommended","Have you had periods when it seemed that the future was hopeless and things could not improve?","0::3;99","0 = Never or hardly ever; 1 = Sometimes; 2 = Often; 3 = Very often or almost constantly; 99 = Prefer not to answer",""
"s7upchildself13","Integer","","Recommended","Have there been periods lasting several days or more when you were so down in the dumps that you thought you might never snap out of it?","0::3;99","0 = Never or hardly ever; 1 = Sometimes; 2 = Often; 3 = Very often or almost constantly; 99 = Prefer not to answer",""
"s7upchildself14","Integer","","Recommended","Have there been times when you have felt that you would be better off dead?","0::3;99","0 = Never or hardly ever; 1 = Sometimes; 2 = Often; 3 = Very often or almost constantly; 99 = Prefer not to answer",""
