"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"version_form","String","121","Recommended","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"movers_1","Integer","","Recommended","I can cope with whatever challenges come at me as I work to keep safe","1::5","1= Never true; 2= Sometimes true; 3= Half the time true; 4= Mostly true; 5= Always true",""
"movers_2","Integer","","Recommended","I have to give up too much to keep safe.","1::5","1= Never true; 2= Sometimes true; 3= Half the time true; 4= Mostly true; 5= Always true",""
"movers_3","Integer","","Recommended","I know what to do in response to threats to my safety","1::5","1= Never true; 2= Sometimes true; 3= Half the time true; 4= Mostly true; 5= Always true",""
"movers_4","Integer","","Recommended","I have a good idea about what kinds of support for safety that I can get from people in my community (friends, family, neighbors, people in my faith community, etc.)","1::5","1= Never true; 2= Sometimes true; 3= Half the time true; 4= Mostly true; 5= Always true",""
"movers_5","Integer","","Recommended","I know what my next steps are on the path to keeping safe.","1::5","1= Never true; 2= Sometimes true; 3= Half the time true; 4= Mostly true; 5= Always true",""
"movers_6","Integer","","Recommended","Working to keep safe creates (or will create) new problems for me.","1::5","1= Never true; 2= Sometimes true; 3= Half the time true; 4= Mostly true; 5= Always true",""
"movers_7","Integer","","Recommended","When something doesn't work to keep safe, I can try something else","1::5","1= Never true; 2= Sometimes true; 3= Half the time true; 4= Mostly true; 5= Always true",""
"movers_8","Integer","","Recommended","I feel comfortable asking for help to keep safe.","1::5","1= Never true; 2= Sometimes true; 3= Half the time true; 4= Mostly true; 5= Always true",""
"movers_9","Integer","","Recommended","When I think about keeping safe, I have a clear sense of my goals for the next few years","1::5","1= Never true; 2= Sometimes true; 3= Half the time true; 4= Mostly true; 5= Always true",""
"movers_10","Integer","","Recommended","Working to keep safe creates (or will create) new problems for people I care about.","1::5","1= Never true; 2= Sometimes true; 3= Half the time true; 4= Mostly true; 5= Always true",""
"movers_11","Integer","","Recommended","I feel confident in the decisions I make to keep safe.","1::5","1= Never true; 2= Sometimes true; 3= Half the time true; 4= Mostly true; 5= Always true",""
"movers_12","Integer","","Recommended","I have a good idea about what kinds of support for safety I can get from community programs and services.","1::5","1= Never true; 2= Sometimes true; 3= Half the time true; 4= Mostly true; 5= Always true",""
"movers_13","Integer","","Recommended","Community programs and services provide support I need to keep safe.","1::5","1= Never true; 2= Sometimes true; 3= Half the time true; 4= Mostly true; 5= Always true",""
