"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"multidim_es01","Integer","","Recommended","My thoughts were focused on the task I was performing","1::4","1 = Not at all; 4 = Completely",""
"multidim_es02","Integer","","Recommended","My thoughts involved future events","1::4","1 = Not at all; 4 = Completely",""
"multidim_es03","Integer","","Recommended","My thoughts involved past events","1::4","1 = Not at all; 4 = Completely",""
"multidim_es04","Integer","","Recommended","My thoughts involved myself","1::4","1 = Not at all; 4 = Completely",""
"multidim_es05","Integer","","Recommended","My thoughts involved other people","1::4","1 = Not at all; 4 = Completely",""
"multidim_es06","Integer","","Recommended","The content of my thoughts was: (negative or positive)","1::4","1 = Negative; 4 = Positive",""
"multidim_es07","Integer","","Recommended","My thoughts were in the form of images","1::4","1 = Not at all; 4 = Completely",""
"multidim_es08","Integer","","Recommended","My thoughts were in the form of words","1::4","1 = Not at all; 4 = Completely",""
"multidim_es09","Integer","","Recommended","My thoughts were vivid as if I was there","1::4","1 = Not at all; 4 = Completely",""
"multidim_es10","Integer","","Recommended","My thoughts were detailed and specific","1::4","1 = Not at all; 4 = Completely",""
"multidim_es11","Integer","","Recommended","This thought has recurrent themes similar to those I have had before","1::4","1 = Not at all; 4 = Completely",""
"multidim_es12","Integer","","Recommended","My thoughts tended to evolve in a series of steps","1::4","1 = Not at all; 4 = Completely",""
"multidim_es13","Integer","","Recommended","My thoughts were: (spontaneous or deliberate)","1::4","1 = Spontaneous; 4 = Deliberate",""
