"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"loinc_id","String","8","Recommended","Logical Observation Identifier Names and Codes","","",""
"lab_name","String","100","Recommended","Common name of laboratory test","","",""
"lab_day_surgery","Integer","","Recommended","Days relative to surgery (negative=pre, positive=post)","","",""
"lab_result","Float","","Recommended","Value of reported lab result","","",""
"lab_units","String","20","Recommended","Units of laboratory test","","",""
"lab_unit_high","Float","","Recommended","Upper reference value for lab test","","",""
"lab_unit_low","Float","","Recommended","Lower reference value for lab test","","",""
