"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ed_group","String","2","Recommended","Subject group as defined in the study","bn;hc","bn= Bulimia Nervosa; hc= Healthy Control",""
"fed_state","String","6","Recommended","The fasted and fed-state of subject","fasted;fed","fasted= fasted state, no standardized meal before MRI scan; fed= fed state, ate the standardized meal before MRI scan",""
"psst_run","Integer","","Recommended","Run number","1;2","",""
"psst_trial","Integer","","Recommended","Trial number","1::288","",""
"psst_stimuli","Integer","","Recommended","Stimulus type","1;2","1= Go trial where a button should be pressed; 2= Stop trial where the button should not be pressed",""
"psst_button_press","Integer","","Recommended","Button that was pressed by participant","2;3;-9","2= Left; 3= Right; -9= NA",""
"psst_correct_button","Integer","","Recommended","Button that should be pressed for a correct response","2;3;-9","2= Left; 3= Right; -9= NA",""
"psst_stoplevel","Integer","","Recommended","The difficulty level of stop signal","0::6","0= Go trial with no level; 1= Closest to the mean response time, most difficult condition; 6= Farthest from the mean response time, easiest condition",""
"psst_fmri_trigger_time","Integer","","Recommended","fMRI trigger time (relative to the start of the EPrime experiment)","","",""
"psst_run_end_time","Integer","","Recommended","Run end time (relative to the start of the EPrime experiment)","","",""
"psst_go_start_time","Integer","","Recommended","Go signal start time (relative to the start of the EPrime experiment)","","",""
"psst_go_end_time","Integer","","Recommended","Go signal end time (relative to the start of the EPrime experiment)","","",""
"psst_stop_start_time","Integer","","Recommended","Stop signal start time (relative to the start of the EPrime experiment)","","",""
"psst_stop_end_time","Integer","","Recommended","Stop signal end time (relative to the start of the EPrime experiment)","","",""
"psst_rt_time","Integer","","Recommended","Response time for each trial (relative to the start of the EPrime experiment)","","",""
